rank	username	minecraft:mined/minecraft:blue_concrete
1	Xclax101	12430
2	beeperbeeper5	3904
3	MattieHD	3304
4	joethahobo	2752
5	tartanboy	2541
6	HyperCave	2136
7	Kyrum2169	1591
8	lordpipe	1496
9	Mattesco	1358
10	Druid95	1198
11	Kowcio_	939
12	YungMaki	691
13	Legendosh	679
14	Inchef	657
15	PazinGaming	641
16	ConnorDanky_	630
17	Groovy_MoonBird	589
18	_i_ERROR_i_	583
19	jnp_gaming	548
20	Klerick	532
21	Frozil20	451
22	Jackattack53	446
23	Merv__	409
24	TheSecondLord	390
25	_Dean_123	335
26	xxPipperDipperxx	334
27	Deathkob	324
28	titanlax	258
29	set67	255
30	TheShyPig	254
31	HellsSponge	237
32	Kubeusz2010	233
33	Spacewardharpy7	229
34	LeauVox4921	223
35	noam464	195
36	Jackster03	180
37	__tomato	177
38	CornOnTheCobalt	163
39	pintsizedrogue	142
40	Sheldor097	134
41	Skippeh	130
42	Kim_Jong_eel	129
43	stellarjay	128
44	ElKaySVK	126
45	ImpavidArcher	121
46	Jimb0nat0r	116
47	Soplight	115
48	Lez_	114
48	Orcus113	114
50	Notta	112
51	xzvu	110
52	thewindmillman	100
53	Fullut	89
54	hanaryheatwave	88
55	Maenara	87
56	Steelynan	79
57	teslawolf38	76
58	MakeHistory157	75
59	_Boipl_	68
60	Tyrannosplart	65
60	SvenskaHugo	65
62	Snowflowe	61
62	AdmiralSmoke	61
64	Hiryu27	56
65	fkGrim	53
66	Tobinator_007	51
67	gcaisawesome	48
68	cichy096	47
69	SyK7	46
69	XboxPanda	46
71	_Bguette_	44
72	jessewegottacook	43
73	starbits140	42
74	EMC_	36
75	sp00ky_ghost977	33
76	k_ce	31
77	UCP_TheKingK	29
78	Mr_Byzantine	27
79	500am	26
80	TheBiggestFeller	24
81	TechnoNinja64	20
82	obzii	19
83	Ezekson	18
84	Mahoose	17
85	Truckoss	16
85	MissCeleste7	16
85	RoboTramp7865	16
88	MustaLoordi	15
89	Manaateee	12
90	Jonafrog99	11
91	ROY4LE	10
91	r123moore	10
91	DaviusMaximoose	10
91	SammiWolfGirl	10
95	NotoriousNina	9
96	eitanzaki	8
96	NieToksikpl	8
96	pr33tu	8
96	Arceus1975	8
100	AuroraValkyrie	6
100	Rich_Kat	6
100	Quinasin	6
100	lcvezra	6
104	ShedJr_	5
104	LexMakesHistory	5
104	Iamthejo	5
107	ITDV	4
107	LoboTheLobster	4
107	k1ngGilgamesh	4
107	Elastiq	4
107	LeonelSalamanca	4
112	ColeSnyder	3
112	jacxhadow	3
112	Smashic	3
112	El_Jalapeno	3
112	MightyWertu	3
112	Blaiku	3
112	Enderxz3	3
112	Zoeyfortnite	3
120	Blackberry1310	2
120	GreedyFern8581	2
120	oscminus	2
120	Drewen24	2
120	claivin	2
120	Biites	2
126	Froste131	1
126	ivorico	1
126	SDMNAEK	1
126	Kazekage	1
126	Hyp3rion_	1
126	F_Uhre	1
126	MousePlays	1
126	Akoot_	1
126	ReSynced	1
126	luseis	1
126	lillips	1
126	NameGenerat0r	1
126	WyngGoy	1
126	Decaying_Lotus	1
126	EcksD	1
126	aubergined	1
126	Yahrto	1
126	sea_otter_h	1
