rank	username	minecraft:mined/minecraft:pearlescent_froglight
1	Enderxz3	467
2	beeperbeeper5	393
3	Lez_	353
4	SpacesickPrism	290
5	Hyp3rion_	242
6	hanaryheatwave	164
7	Kowcio_	134
8	mihimihimihi	133
9	Jackattack53	128
10	Crowman1	127
11	Huwulling	126
12	4774	119
13	CattSoup	113
14	Krowuss	55
15	Alteriity	54
15	Manaateee	54
15	YungMaki	54
18	ImpavidArcher	50
19	GooseWithin	45
20	AlexxO_o	43
21	nattybears	29
21	TheSecondLord	29
21	Jimb0nat0r	29
24	Legendosh	27
25	pintsizedrogue	20
25	excelsionprime	20
27	thewindmillman	17
28	Kakolbus	16
29	joethahobo	14
29	FishisTTV	14
31	luseis	13
32	LeonelSalamanca	12
32	FadedSpade82	12
32	PlasticOtari	12
35	MineMaster0012	11
36	bearlystraight	9
36	weabis	9
36	SvenskaHugo	9
36	Nicserso	9
40	IgnoredBee	8
40	BartekB19	8
42	Apollo_993	5
43	non089	4
44	corpsecity	2
45	k_ce	1
45	RoskobiOne	1
45	ECstardust	1
45	rarrq	1
45	xxPipperDipperxx	1
45	Marbz_	1
45	Soplight	1
45	EcksD	1
