rank	username	minecraft:mined/minecraft:chain
1	beeperbeeper5	698
2	noam464	623
3	pintsizedrogue	405
4	SammiWolfGirl	317
5	Freak_Genius	214
6	OtariCharlie	205
7	12Magner05	198
8	Mahoose	196
9	SkateboardR6	170
10	thewindmillman	166
11	burbankbuilder28	127
11	Smoke____	127
13	ImpavidArcher	111
14	mwrty	101
14	Enderslayerxz3	101
16	Werbe	96
16	AssEatrAndLicker	96
18	EveryonesUncle	95
19	PigDab	92
20	sebastiensaborio	73
21	500am	72
22	Blackberry1310	67
23	jacxhadow	63
24	xxPipperDipperxx	56
25	ROY4LE	54
26	Winklepicker279	50
27	Quotary	42
28	kekhon	37
29	Dusk_95	35
30	eitanzaki	34
30	Kakolbus	34
32	Historical_Sand	31
33	_Dean_123	30
34	Fullut	29
34	Chromary	29
34	Legendosh	29
37	Merv__	28
37	TheSecondLord	28
39	gcaisawesome	27
39	MyNameIsDakar	27
41	ApophisNova	26
41	MyNamaSheff	26
43	Blaiku	23
44	Eraxa	21
45	rarrq	20
45	_Karmaa	20
45	Frozil12	20
48	Mr_Byzantine	19
48	r123moore	19
48	Akoot_	19
51	Flores991	18
52	Inchef	17
52	Skylord_Luke	17
52	TheShyPig	17
55	KarlKaek	16
55	BobDeBouwer1337	16
55	MrExplorer	16
58	Cowison	15
58	2Stout	15
58	Shogunite	15
58	SingedBread	15
58	IdeallyGrey	15
58	YungMaki	15
64	Myszoaz	14
64	Awyrlas	14
66	RodSerlingCringe	13
66	ogoa	13
66	SvenskaHugo	13
69	CoffeeNoir	12
69	Soplight	12
71	Dedalus36	11
71	himak1	11
71	purpolepickle	11
71	Ezekson	11
75	Mimiir345	10
75	Arceus1975	10
75	fred870d	10
75	KeruNatsema	10
75	Spacewardharpy7	10
75	djancak	10
75	ZeroKraken	10
75	Kubeusz2010	10
83	bloodbiter	9
83	lordpipe	9
83	Optiprimus	9
83	Erased_Identity	9
87	Di_infiri	8
87	Lord_Jord	8
87	HellsSponge	8
87	Luigipunch989	8
87	Eczbek	8
87	EcksDofficial	8
93	SpaceGrenadier	7
93	CalebDHawk	7
93	WYFYoyo	7
96	Travasaur	6
96	CharlieButt	6
96	Zythose	6
96	Nycteus_	6
96	ElectricDragon81	6
101	AuroraValkyrie	5
101	Tommhh	5
101	TheFlfthHorseman	5
101	LoboTheLobster	5
101	noodlepack	5
101	benediktine1	5
101	GlitchyPlate810	5
108	ShedJr_	4
108	Swexti	4
108	titanlax	4
108	CaptainBadKid	4
108	SlayerCrypto	4
108	Snowflowe	4
108	Hoid_the_Roamer	4
108	seramalen	4
108	FishyBoy3811	4
108	brofrickcheaters	4
108	anbbang	4
119	Groovy_MoonBird	3
119	PhantomsGhost_	3
119	fanofbands101	3
119	EMC_	3
119	NinjaKnifeKill	3
119	Myrlewen	3
119	Chickenchaser2	3
119	Mattesco	3
119	The_Quack_Dealer	3
119	Razzgriz	3
119	Freedrik	3
130	teslawolf38	2
130	RatatJuice	2
130	RebelAndroid	2
130	joethahobo	2
130	Prodiginus	2
130	SteveCraftBlocks	2
130	Marbz_	2
130	MousePlays	2
130	NomadicRobin_	2
130	Deathkob	2
130	Racengan	2
130	halfbakedlasagna	2
130	Airem_Core	2
130	Kowcio_	2
130	CACTUSLAD	2
130	Spenduh	2
130	PortlyPete69	2
130	Winston_Ingram	2
130	jnp_gaming	2
149	_stets	1
149	chimpmunker	1
149	rachcl	1
149	JingleLizi	1
149	T045RTY	1
149	SquadMonster	1
149	ratglock	1
149	orxngejuice	1
149	M_Patata	1
149	SuperPooch06	1
149	PuFY	1
149	lizardfightclub	1
149	gustarbite	1
149	MightyWertu	1
149	Vegvisir	1
149	MasterNueve	1
149	VentiHilton	1
149	kinas45y5	1
