rank	username	minecraft:mined/minecraft:barrel
1	Lez_	1312
2	pintsizedrogue	1035
3	EveryonesUncle	987
4	PlasticOtari	820
5	500am	636
6	Mahoose	438
7	EMC_	434
8	FreakGenius	388
9	lordpipe	387
10	Snowflowe	373
11	beeperbeeper5	353
12	Kowcio_	308
13	Eczbek	290
14	TheShyPig	287
15	xolstoi	280
16	Onennon	263
17	Racengan	246
18	Historical_Sand	241
19	xxPipperDipperxx	239
20	noam464	236
21	Eraxa	217
22	Smoke____	215
23	Inchef	201
24	jacxhadow	188
25	m_be9	184
26	kekhon	178
27	Hyp3rion_	173
28	TheSecondLord	165
29	Legendosh	164
30	MineMaster0012	160
31	joethahobo	158
32	ImpavidArcher	156
33	Rebytre	154
34	Merv__	153
35	Awyrlas	149
36	Xclax101	145
37	Touched_Bread	142
38	Di_infiri	140
39	_Dean_123	138
40	Soplight	129
40	Enderxz3	129
42	teslawolf38	127
43	RoskobiOne	119
44	12Magner05	114
45	RoofTyler	112
46	PhantomsGhost_	111
47	thewindmillman	110
47	SvenskaHugo	110
49	Jakobo1337	109
50	Steelynan	105
51	Jackster03	103
51	Ezekson	103
53	Kakolbus	96
54	Arceus1975	95
54	wTXop	95
56	EfficientC52	93
57	Fullut	91
57	luseis	91
59	YungMaki	88
60	Spacewardharpy7	87
61	Mr_Byzantine	84
61	soundad	84
61	RatatJuice	84
61	ShedJr_	84
65	diamondgolem35	82
66	Blaiku	80
66	ConnorDanky_	80
68	MangoTheFish	79
69	SmashingPump	78
69	Prismyst	78
71	RealGroot	77
72	ApophisNova	75
72	Factoroni	75
72	MyNamaSheff	75
75	Lutres_Torane	74
76	T045RTY	72
76	xzvu	72
78	KarlKaek	67
78	IamCL4SSY	67
80	Zythose	66
81	NomadicRobin_	64
82	thescout7	63
83	LeauVox4921	62
84	Quotary	61
85	eitanzaki	58
85	SaintJosie	58
85	Inbefour	58
88	Blackberry1310	57
88	KingMatthew506	57
90	Skylord_Luke	56
90	Lord_Jord	56
92	Dusk_95	55
93	bloodbiter	54
93	Werbe	54
93	valkam13	54
93	camando92	54
97	Rumpletaezer	53
97	Hermanni__	53
97	TechnoNinja64	53
100	Meatlaugh	52
101	Huwulling	51
101	DemTechAlpha	51
103	Truckoss	50
104	Winklepicker279	49
104	Felenov	49
106	ITDV	48
107	Akoot_	46
107	MyNameIsDakar	46
109	SaucyDark	45
109	2Stout	45
111	rarrq	44
111	fkGrim	44
111	ItsJunoIGuess	44
114	SammiWolfGirl	43
115	John6970	41
115	sadvavilloso	41
117	Esme_1	40
117	TooManyDuck	40
117	Kamflame10	40
117	Aiko_Kawashima	40
117	PigDab	40
117	Sheldor097	40
123	CoffeeNoir	39
123	mihimihimihi	39
123	07shiny	39
126	jnp_gaming	38
127	_Bguette_	37
127	Kubeusz2010	37
129	Cryptacity	36
129	ROY4LE	36
131	titanlax	35
131	MyNameIsJobo	35
131	Kim_Jong_eel	35
131	bpmm	35
135	Sleek_Storm_721	34
135	RobotMinion101	34
137	Swexti	33
137	burbankbuilder28	33
137	Nycteus_	33
140	UltraZombie	32
141	Flores991	31
141	Fuad_R	31
143	SlayerCrypto	30
143	MakeHistory157	30
143	sp00ky_ghost977	30
146	_stets	29
146	Prodiginus	29
146	Lord_Doob	29
149	Ryker	28
149	Jackattack53	28
149	Groundler	28
152	6king6colt6	27
152	youhjjhhhjj	27
152	Myszoaz	27
152	Z3braYTIL	27
152	Solar_Power	27
152	Burge_r	27
152	CalebDHawk	27
159	AuroraValkyrie	26
159	prizm_	26
159	Chromary	26
159	Deathkob	26
159	MAns_44	26
164	ThePoliteG	25
164	SuperPooch06	25
164	HellsSponge	25
164	MissCeleste7	25
168	Crowman1	24
168	HyperCave	24
168	groofles	24
168	Nicserso	24
172	H0UNDFRMH3LL	23
172	_Razaria	23
172	_Karmaa	23
172	OffWithTheirHead	23
172	Biites	23
177	r123moore	22
177	TheDankPlatypus	22
177	Karetoko	22
177	NameGenerat0r	22
177	Skippeh	22
182	Kubelz	21
182	BlueZabu	21
184	Frozil20	20
184	heckface	20
184	Mattesco	20
187	Bandito_Roamer	19
187	oreee	19
187	Ze_BaronKrigler	19
187	lcvezra	19
187	Slapface522	19
192	livingdaydreams	18
192	Megarboh	18
192	Xalithia	18
192	wezzzi	18
192	audiocracked	18
192	xorompole	18
192	Freedrik	18
199	_Huge_Male_	17
199	Ardennes	17
199	Smashic	17
199	ehunt54	17
199	3_Solar_3	17
199	Airem_Core	17
199	AvaRosey	17
199	JohnPrice	17
207	PazinGaming	16
207	Vizzoid	16
207	Kkanot	16
207	legal_tax_evader	16
207	pixelviolin	16
207	AltnumberF4	16
213	Apollo_993	15
213	Notta	15
213	UncreativeArtist	15
213	victorLIE	15
213	ogoa	15
213	the_russell1611	15
213	ZoomieZoomie	15
220	dabloons	14
220	XxCookiequeenxX	14
220	WYFYoyo	14
220	diggydog67	14
224	Zlatovlas	13
224	shyshyannne	13
224	GLLogan2	13
224	Covalents	13
224	hdtpm	13
229	CueMix	12
229	slkiey	12
229	Bumpy419	12
229	SvenskaAlvar	12
229	ougstur	12
229	Maenara	12
229	yulgur1	12
229	MightyWertu	12
229	bieeee	12
238	jessewegottacook	11
238	Sleepy_Time_	11
238	BronkerBrum	11
238	Wowful	11
238	rotten_mango	11
238	DarkS0L	11
238	Blu3beast	11
238	UCP_TheKingK	11
238	stellarjay	11
238	SkinnyBois	11
238	felincaus	11
238	bladeefan2009	11
250	Tommhh	10
250	_Boipl_	10
250	drompje	10
250	Hiryu27	10
250	Drewen24	10
250	PortlyPete69	10
250	TheOuterCore	10
257	fanofbands101	9
257	rachcl	9
257	LoboTheLobster	9
257	Ozixar	9
257	ratglock	9
257	paranoid_plant	9
257	Stiar	9
257	olliebollie48	9
257	Windo_licker	9
257	F_Uhre	9
257	AuroraSkies	9
257	ChocolatePepsi	9
257	claivin	9
257	iSammael	9
257	WyngGoy	9
257	pk1297	9
257	00000000-0000-0000-0009-01ff0c3e5e4f	9
274	q_wq	8
274	hm947	8
274	Pofen	8
274	PegLegPete93	8
274	Marbz_	8
274	pappaberg	8
274	Hoid_the_Roamer	8
274	Mr_Sun15	8
274	CACTUSLAD	8
274	SSytex_X	8
274	SpacesickPrism	8
274	EcksD	8
274	CattSoup	8
287	MuffinManzz	7
287	Natty	7
287	Euclidoris	7
287	Jokerman369	7
287	NoraTheYandere	7
287	4774	7
287	XboxPanda	7
287	Gamergirl420628	7
287	ItsMrRamen	7
287	bearlystraight	7
287	MinuteMira	7
287	Darkgon	7
287	El_Jalapeno	7
287	Barlycorn	7
