rank	username	minecraft:mined/minecraft:tripwire_hook
1	m_be9	90
2	thescout7	30
3	Jackattack53	22
4	KG1999	18
5	HellsSponge	16
6	MattieHD	15
7	pintsizedrogue	13
7	El_Jalapeno	13
9	kekhon	11
9	_Karmaa	11
9	sp00ky_ghost977	11
12	PegLegPete93	9
12	xxPipperDipperxx	9
12	noam464	9
15	Merv__	8
15	Mahoose	8
15	Onennon	8
15	Toiton	8
15	Smoke____	8
20	titanlax	7
20	Jiminie	7
22	DinoDoctor_	6
22	beeperbeeper5	6
22	SuperPooch06	6
22	thewindmillman	6
22	RobotMinion101	6
22	TheShyPig	6
22	Maenara	6
22	ese_wn_po	6
22	Optiprimus	6
22	PlasticOtari	6
32	eitanzaki	5
32	_Dean_123	5
32	500am	5
32	Rumpletaezer	5
32	Arceus1975	5
32	Kim_Jong_eel	5
32	oxfordschool	5
39	AuroraValkyrie	4
39	DepressedCubic	4
39	SaucyDark	4
39	livingdaydreams	4
39	NanoShot	4
39	QuiCreans	4
39	Blackberry1310	4
39	Cryptacity	4
39	Rich_Kat	4
39	Fullut	4
39	mwrty	4
39	MyNameIsJobo	4
39	_Boipl_	4
39	MangoTheFish	4
39	Donutt	4
39	EveryonesUncle	4
39	claivin	4
39	MAns_44	4
39	Nycteus_	4
39	Eczbek	4
59	Mr_Byzantine	3
59	KarlKaek	3
59	Prismyst	3
59	TheSecondLord	3
59	MinttyFressh	3
59	ProfessorBee	3
59	slkiey	3
59	Xalithia	3
59	LeauVox4921	3
59	benediktine1	3
59	moist_jellyfish	3
59	Winklepicker279	3
59	Windo_licker	3
59	Di_infiri	3
59	Russiancat1	3
59	Soul_Atreus	3
59	YungMaki	3
59	TechnoNinja64	3
77	Qalech	2
77	ImpavidArcher	2
77	rarrq	2
77	dopplexd	2
77	boog4loo	2
77	xXxSebastianLxXx	2
77	Inchef	2
77	Marbz_	2
77	domagawha	2
77	DScatgirls	2
77	Leyna3	2
77	Akoot_	2
77	audiocracked	2
77	Deathkob	2
77	Meatlaugh	2
77	KermitTheKripple	2
77	DanTheBuilderino	2
77	censorsheep	2
77	fluddd	2
77	monky_irl	2
77	Dusk_95	2
77	djancak	2
77	MissCeleste7	2
77	diggydog67	2
101	EMC_	1
101	Frozil20	1
101	Dedalus36	1
101	omariacts	1
101	Wooptey	1
101	T045RTY	1
101	TheMaster972	1
101	Da_Boss_Rani	1
101	luckymage	1
101	Euclidoris	1
101	Prodiginus	1
101	Kkanot	1
101	peanutbader	1
101	Awyrlas	1
101	Lotvailer	1
101	fallingemma	1
101	gabriels543	1
101	AnnieBathory	1
101	CruncyIsTaken	1
101	HolyVenom	1
101	binman420	1
101	Fuhrer_Teemo	1
101	_Bguette_	1
101	lillips	1
101	chipklip	1
101	DarlaMeow	1
101	VilsSwag	1
101	Spacewardharpy7	1
101	MovingFish7	1
101	lordpipe	1
101	bndo	1
101	LordSpeed37	1
101	Eraxa	1
101	Jij0	1
101	Soplight	1
101	SammiWolfGirl	1
101	CalebDHawk	1
101	laron58	1
101	JungeSchnauzer	1
101	Tenoto	1
101	Powowowow	1
101	Zoeyfortnite	1
101	KASAN420	1
101	Kateesaur	1
