rank	username	minecraft:mined/minecraft:cyan_concrete_powder
1	mwrty	208
2	ROY4LE	196
3	RoboTramp7865	181
4	teslawolf38	109
5	TheShyPig	89
6	Optiprimus	86
7	sebastiensaborio	52
8	PlasticOtari	44
9	ImpavidArcher	40
9	Eraxa	40
11	Rumpletaezer	30
12	TheSecondLord	18
12	Cyntrical	18
14	sp00ky_ghost977	15
14	h2p_emrld	15
16	r123moore	10
16	NameGenerat0r	10
18	Legendosh	9
19	pintsizedrogue	8
19	kekhon	8
21	beeperbeeper5	7
22	Swexti	6
23	The_Thund	4
23	stellarjay	4
25	Fullut	3
25	NotMeanttoChange	3
25	Karetoko	3
25	Maenara	3
25	lordpipe	3
25	Soplight	3
31	rarrq	2
31	Blackberry1310	2
31	ibarker21	2
31	Hiryu27	2
31	KingMatthew506	2
36	Groovy_MoonBird	1
36	Iagoku	1
36	eitanzaki	1
36	Notta	1
36	noam464	1
