rank	username	minecraft:mined/minecraft:white_wall_banner
1	Vizzoid	707
2	Werbe	668
3	beeperbeeper5	363
4	Lez_	251
5	Mahoose	232
6	kekhon	213
7	Legendosh	201
8	ROY4LE	127
9	Enderxz3	122
10	luseis	116
11	eitanzaki	113
12	pintsizedrogue	110
12	PlasticOtari	110
14	12Magner05	108
15	500am	99
16	FreakGenius	98
17	Onennon	71
18	jacxhadow	68
19	Maenara	64
20	xolstoi	59
21	ImpavidArcher	57
21	YungMaki	57
23	burbankbuilder28	56
24	xxPipperDipperxx	48
25	KarlKaek	47
25	Smashic	47
27	TheShyPig	46
28	claivin	45
29	MattieHD	43
30	rarrq	40
31	Merv__	39
31	Huwulling	39
33	Blackberry1310	38
34	Soplight	37
35	fluddd	36
36	ImNotYuqii	32
37	FelixPSY375	31
38	ShedJr_	29
39	EveryonesUncle	26
39	Hermanni__	26
41	Ssor69	25
41	Akoot_	25
43	Fullut	23
44	_Karmaa	22
44	OffWithTheirHead	22
46	joethahobo	21
46	Kakolbus	21
46	Winklepicker279	21
46	lordpipe	21
46	UltraZombie	21
51	Bumpy419	20
51	MovingFish7	20
53	Mattesco	19
53	ougstur	19
53	Jimb0nat0r	19
53	Smoke____	19
57	The11thDoctor	18
57	420BreadLizard	18
59	fr0stss	17
59	_Dean_123	17
59	GlitchyPlate810	17
59	bladeefan2009	17
63	Yatitay	16
63	Historical_Sand	16
63	titanlax	16
63	lorpus	16
63	Eraxa	16
63	Kowcio_	16
63	UCP_TheKingK	16
70	F_Uhre	15
70	NameGenerat0r	15
70	pixelviolin	15
70	Steelynan	15
74	dopplexd	14
74	Lord_Jord	14
74	StinkyDiplomat	14
77	Cryptacity	13
77	noam464	13
77	M_Patata	13
77	SuperPooch06	13
77	ApophisNova	13
77	MAns_44	13
77	Xclax101	13
77	Dusk_95	13
77	MasterNueve	13
77	MyNamaSheff	13
87	LeauVox4921	12
87	ConnorDanky_	12
87	00000000-0000-0000-0009-01ff0c3e5e4f	12
90	Hpdinosaur	11
90	Hyp3rion_	11
90	ZoomieZoomie	11
90	Sral7	11
94	diamondgolem35	10
94	hm947	10
94	Isaac70096	10
94	LionelHutzESQ	10
94	MrExplorer	10
94	AuroraSkies	10
94	Blaiku	10
94	RealGroot	10
94	Dogcorn69420	10
94	jcool7	10
94	Kubeusz2010	10
94	Skippeh	10
106	teslawolf38	9
106	6king6colt6	9
106	m_be9	9
106	Guillemet	9
106	TheDankPlatypus	9
106	thewindmillman	9
106	King_Pancake1	9
106	HellsSponge	9
106	Vellu21	9
115	SaucyDark	8
115	Myszoaz	8
115	ProfessorBee	8
115	himak1	8
115	ARandomHedge	8
115	Giannism	8
115	Skylord_Luke	8
115	Leyna3	8
115	fkGrim	8
115	Deathkob	8
125	k_ce	7
125	CoffeeNoir	7
125	Crowman1	7
125	TheSecondLord	7
125	mwrty	7
125	Tyrannosplart	7
125	Warlord324	7
125	Winston_Ingram	7
125	TechnoNinja64	7
134	Mr_Byzantine	6
134	FazeObama69	6
134	PhantomsGhost_	6
134	Jakobo1337	6
134	Chromary	6
134	hanaryheatwave	6
134	_Boipl_	6
134	Smussa	6
134	binman420	6
134	Racengan	6
134	cichy096	6
134	jnp_gaming	6
134	Calbo_	6
147	MixerDixer	5
147	shineh10	5
147	Tolhart	5
147	jimintyy	5
147	ImDisconnected_	5
147	whoaluv	5
147	Arceus1975	5
147	Rocco_Lane	5
147	Rebytre	5
147	RoofTyler	5
147	SexcMf	5
147	xzvu	5
147	EngagedGrub41	5
147	EcksD	5
161	Bandito_Roamer	4
161	Frozil20	4
161	SirUnderpants	4
161	BlancoFlaco	4
161	CyrusIsTired	4
161	Jackattack53	4
161	Jonafrog99	4
161	Meatlaugh	4
161	The_slideV3	4
161	Quaintster	4
161	El_Jalapeno	4
161	Blu3beast	4
161	Bloo2406	4
161	marumochis	4
161	Ze_BaronKrigler	4
161	BlankityMcBlank	4
161	SammiWolfGirl	4
161	LeeMcGee30	4
161	Nicserso	4
161	JayToe	4
161	561cool	4
182	CompAir	3
182	MOSS000	3
182	Ao_Ken	3
182	jessewegottacook	3
182	Awyrlas	3
182	CollinMH06	3
182	legal_tax_evader	3
182	WET_WET_WET	3
182	Snowflowe	3
182	AnnieBathory	3
182	Solar_Power	3
182	Jeteight	3
182	epiksk8erduck	3
182	NomadicRobin_	3
182	Lutres_Torane	3
182	Fuad_R	3
182	sp00ky_ghost977	3
182	Cocoamallows	3
182	tsitrawhy	3
182	Luigipunch989	3
182	CalebDHawk	3
182	VentiHilton	3
182	anbbang	3
182	Faart	3
206	MuffinManzz	2
206	nuk3	2
206	dudcreeper	2
206	Paint	2
206	SmashingPump	2
206	Foof13	2
206	Sleek_Storm_721	2
206	T045RTY	2
206	Jackster03	2
206	ITDV	2
206	Sleepy_Time_	2
206	bloodbiter	2
206	crying_wolf_13	2
206	KGTV	2
206	eviltunix	2
206	olliebollie48	2
206	TableTim	2
206	PeteO1995	2
206	Rumpletaezer	2
206	Proxy_Man	2
206	SvenskaSara	2
206	Will_Bee	2
206	PigDab	2
206	KeruNatsema	2
206	thgrocks	2
206	Luminad3	2
206	CJPerson	2
206	SaintJosie	2
206	ADEXTV	2
206	fw3xywashere	2
206	privatemeekly	2
206	avalan64	2
206	LexMakesHistory	2
206	MyNameIsDakar	2
206	weabis	2
206	ProfessorDiaper	2
206	NotMeowMix	2
206	iSammael	2
206	Razzgriz	2
206	Soul_Atreus	2
206	Zetsey	2
206	Joshuarumold	2
206	_TCARREIRA_	2
206	ThisUserIsStump	2
206	alderban107	2
206	tartanboy	2
206	Deliriohm	2
253	rats_life	1
253	Astronicky	1
253	Jovaphobic	1
253	peachfuzz1267	1
253	RoskobiOne	1
253	dabloons	1
253	PazinGaming	1
253	AuroraValkyrie	1
253	Tommhh	1
253	bigstankyy	1
253	DinoDoctor_	1
253	Killercatty78	1
253	Ayzole	1
253	Vynser	1
253	HypixelClicker	1
253	Incinere	1
253	HollieDaNugget	1
253	livingdaydreams	1
253	imthatpikachu	1
253	Alteriity	1
253	Natty	1
253	KomputerDude	1
253	Reamdin	1
253	ThiccExotic	1
253	ivorico	1
253	elleparo	1
253	brandonjames_h	1
253	H72l9w	1
253	TheMaster972	1
253	Da_Boss_Rani	1
253	tramizu	1
253	FirsTimeGamingTV	1
253	Stynxy	1
253	Valoth	1
253	Megarboh	1
253	SteveCraftBlocks	1
253	redikul	1
253	excelsionprime	1
253	set67	1
253	Scathra	1
253	xXxSebastianLxXx	1
253	2Stout	1
253	DSYisDizzy	1
253	Stiar	1
253	Covalents	1
253	prizm_	1
253	RustyKedel	1
253	nitram49b	1
