rank	username	minecraft:mined/minecraft:yellow_shulker_box
1	Hyp3rion_	2725
2	Legendosh	1046
3	Skylord_Luke	926
4	Spacewardharpy7	918
5	Eraxa	726
6	Frozil20	648
7	pintsizedrogue	607
8	beeperbeeper5	417
9	MakeHistory157	384
10	TheSecondLord	380
11	PlasticOtari	359
12	Segotep999	354
13	Jovaphobic	330
13	Snowflowe	330
15	AdmiralSmoke	305
16	Kakolbus	302
17	luseis	284
18	joethahobo	283
19	Fullut	276
20	Historical_Sand	249
21	Marbz_	244
21	thewindmillman	244
23	Inbefour	240
24	Dogcorn69420	239
25	MovingFish7	227
26	Mahoose	217
27	Lez_	213
28	YungMaki	202
29	MattieHD	199
30	BumbleBeever	192
31	Apollo_993	189
32	kekhon	188
33	Prodiginus	186
34	500am	184
35	Rebytre	182
36	diggydog67	181
37	Hoid_the_Roamer	180
38	Blaiku	173
39	Jimb0nat0r	171
40	Huwulling	166
41	Awyrlas	155
42	12Magner05	151
43	Njensen7	146
44	EveryonesUncle	145
45	m_be9	141
46	IamCL4SSY	139
47	Steelynan	137
48	MAns_44	133
49	Enderxz3	130
50	Alteriity	124
51	Werbe	123
52	jcool7	122
53	Kowcio_	116
54	Spenduh	115
55	oscminus	113
56	ImpavidArcher	112
56	Jackattack53	112
56	claivin	112
59	set67	111
60	diamondgolem35	110
61	Fuhrer_Teemo	107
61	HellsSponge	107
63	Ezekson	105
64	pixelviolin	103
65	Soap_Bender	99
66	Ecplosive	96
67	LexMakesHistory	94
68	_Virify_	88
69	Akoot_	86
69	lordpipe	86
71	jnp_gaming	84
72	Myszoaz	83
72	lillips	83
74	WyngGoy	82
75	stellarjay	81
76	Yahir091	78
77	hanaryheatwave	77
78	xxPipperDipperxx	75
79	Nycteus_	74
80	Bumpy419	71
80	censorsheep	71
80	anbbang	71
83	Megarboh	70
84	Groovy_MoonBird	69
84	fade_emerge78823	69
84	Hisiste	69
84	sp00ky_ghost977	69
88	fluddd	68
89	Da_Boss_Rani	67
89	burbankbuilder28	67
91	Smashic	66
91	Dreamdbr14	66
93	eitanzaki	65
94	NameGenerat0r	64
94	xzvu	64
94	EngagedGrub41	64
97	PazinGaming	63
98	teslawolf38	61
98	UCP_TheKingK	61
98	SammiWolfGirl	61
101	ConnorDanky_	60
102	Blackberry1310	59
102	IdeallyGrey	59
102	Quotary	59
105	NomadicRobin_	58
106	Auseawesome	57
107	mwrty	56
107	_TCARREIRA_	56
109	SingedBread	55
110	dabloons	53
111	LeEricc	52
112	noam464	51
112	MilleGrug	51
114	Voxin2K	49
114	tonyth3tiger	49
116	titanlax	48
116	Chromary	48
118	Sral7	47
119	SteveCraftBlocks	46
119	AlexxO_o	46
121	Iagoku	45
121	ITDV	45
121	4774	45
121	prizm_	45
121	Mattesco	45
126	ShedJr_	44
127	Di_infiri	42
127	Tyrannosplart	42
129	PhantomsGhost_	41
129	Groundler	41
131	Eczbek	39
132	Xalithia	38
132	XboxPanda	38
134	Soplight	37
134	_Dri_	37
136	MightyWertu	36
136	RadarHz	36
138	tuckerdoodle	33
138	eiC_	33
138	KingMatthew506	33
141	MixerDixer	32
141	Ryan_GEMS	32
141	lcvezra	32
144	gcaisawesome	31
144	PigDab	31
146	1442	30
147	CoffeeNoir	29
147	Deathkob	29
147	fffMike	29
150	ECstardust	28
150	rarrq	28
150	SvenskaHugo	28
153	TooManyDuck	27
153	_Bguette_	27
155	SmashingPump	25
155	Hpdinosaur	25
155	pappaberg	25
155	00000000-0000-0000-0009-01ff0c3e5e4f	25
159	Razzgriz	24
160	Badenbeele	23
160	Maenara	23
160	FreakGenius	23
160	iSammael	23
164	SellyZ	22
164	groofles	22
166	Crowman1	21
166	emrekn	21
166	Inchef	21
166	LeonelSalamanca	21
170	_Boipl_	20
170	Manaateee	20
170	ThatMan_Dave	20
170	Sheldor097	20
170	EcksD	20
170	CattSoup	20
170	AltnumberF4	20
177	yheece	19
177	TheShyPig	19
177	vandmanden	19
180	SuperPooch06	18
180	KartivGal	18
180	_3Stump_	18
180	FishisTTV	18
180	h2p_emrld	18
185	EMC_	17
185	MoistMicrowave	17
185	ProfessorBee	17
185	F_Uhre	17
185	Steve897	17
185	Airem_Core	17
191	ProbablyNick	16
191	Rich_Kat	16
191	Leyna3	16
194	Eczbox	15
194	Kouridragon	15
194	Luminad3	15
194	fw3xy74	15
198	Lepthymo	14
198	CLG_Kata	14
198	r123moore	14
198	audiocracked	14
198	MineMaster0012	14
198	2blox_	14
204	Yatitay	13
204	OffWithTheirHead	13
204	Warlord324	13
204	__tomato	13
204	Skippeh	13
204	JayToe	13
210	I_Am_Mushkin	12
210	ImDisconnected_	12
210	_i_ERROR_i_	12
210	Zoeyfortnite	12
214	SaucyDark	11
214	wezzzi	11
214	Nicserso	11
217	Merv__	10
217	TheDankPlatypus	10
217	Arceus1975	10
217	JETrotter	10
217	Fuad_R	10
217	MS_Pryxx	10
217	ZeroKraken	10
224	Hiryu27	9
224	HyperCave	9
224	ese_wn_po	9
224	Xclax101	9
224	88Hazza88	9
229	Octatrack	8
229	thescout7	8
229	KGTV	8
229	SpacesickPrism	8
233	_lildarki3	7
233	SeverianOfUrth	7
233	longappendage	7
233	Krowuss	7
233	BronkerBrum	7
233	bearlystraight	7
233	Dakar_	7
233	TheOuterCore	7
241	KarlKaek	6
241	Houstonion	6
241	surfinggiraffejp	6
241	nitram49b	6
241	k1ngGilgamesh	6
241	StinkyDiplomat	6
241	TheTommyGun63	6
241	Ze_BaronKrigler	6
241	Hermanni__	6
250	BPTY4618	5
250	MOSS000	5
250	IWorkAtIkea	5
250	Euclidoris	5
250	2Stout	5
250	Touched_Bread	5
250	Winklepicker279	5
250	The_Cruncy	5
250	alderban107	5
250	Powowowow	5
260	MuffinManzz	4
260	AuroraValkyrie	4
260	Flores991	4
260	ZaneABrain	4
260	jessewegottacook	4
260	Notta	4
260	SDMNAEK	4
260	dawerty	4
260	SoftSix	4
260	Flapjacker687	4
260	lorpus	4
260	EnderKill98	4
260	Truckoss	4
260	TruestTurnip	4
260	Typadopoulos	4
260	IAmTheWalrus910	4
260	VentiHilton	4
260	xolstoi	4
278	shineh10	3
278	Creativebuilder2	3
278	ExtraDumb	3
278	hm947	3
278	jimbo61101jr	3
278	H72l9w	3
278	jushykins	3
278	MyNameIsJobo	3
278	xambsam	3
278	The11thDoctor	3
278	p4lp	3
278	FishyBoy3811	3
278	Blu3beast	3
278	ProfessorDiaper	3
278	stavgod	3
278	ZoomieZoomie	3
278	Iamthejo	3
278	little_dUki	3
296	ItsGrayWolf	2
296	Froste131	2
296	TrNrGhost	2
296	jessemgaming	2
296	NoHaHeHa	2
