rank	username	minecraft:mined/minecraft:weeping_vines_plant
1	_Dean_123	250
2	Blackberry1310	211
3	Snowflowe	196
4	djancak	134
5	DarlaMeow	116
6	Winklepicker279	98
7	CliffEmAll	91
8	TheSecondLord	88
9	Marbz_	79
9	PlasticOtari	79
11	6king6colt6	74
12	RoskobiOne	70
13	SammiWolfGirl	63
14	iHuntWeeaboos	62
15	beeperbeeper5	57
15	noam464	57
17	r123moore	56
18	Steelynan	55
19	Smoke____	53
20	Jackattack53	46
21	monky_irl	43
22	BlancoFlaco	41
23	Fullut	38
23	Enderslayerxz3	38
25	thewindmillman	37
25	trexgb	37
27	soundad	35
28	gcaisawesome	34
28	YungMaki	34
30	ooga47	33
31	HellsSponge	30
32	Spacewardharpy7	27
33	pintsizedrogue	26
33	Historical_Sand	26
33	Kakolbus	26
33	oxfordschool	26
37	Cowison	25
38	Akoot_	24
39	Yatitay	23
39	ShedJr_	23
39	Awyrlas	23
39	lordpipe	23
43	Lutres_Torane	22
44	Kubelz	21
44	Freak_Genius	21
46	joethahobo	20
46	fffMike	20
48	RebelAndroid	19
48	lizardfightclub	19
48	Hermanni__	19
51	EcksD	18
52	Blaiku	17
52	MilleGrug	17
54	eitanzaki	16
54	egglapras	16
54	Kubeusz2010	16
54	mobunni	16
58	Mahoose	15
58	KartivGal	15
58	TheEnderman548	15
61	RatatJuice	14
62	livingdaydreams	13
62	kekhon	13
62	Di_infiri	13
62	Winston_Ingram	13
62	00000000-0000-0000-0009-01ff0c3e5e4f	13
67	Chromary	12
67	PigDab	12
67	Deathkob	12
67	SingedBread	12
71	CoffeeNoir	11
71	MSK__	11
71	set67	11
71	diggydog67	11
75	TheWildMateo	10
75	TheShyPig	10
75	Lord_Jord	10
75	Jiminie	10
75	Kowcio_	10
75	brofrickcheaters	10
75	Luigipunch989	10
75	anbbang	10
83	12Magner05	9
83	KeruNatsema	9
83	SkateboardR6	9
83	Eraxa	9
83	UltraZombie	9
83	Eczbek	9
83	athereall	9
90	whoaluv	8
90	ToastedGamingYT	8
90	Vegvisir	8
90	jnp_gaming	8
94	Lumien_	7
94	500am	7
94	himak1	7
94	BasedEphex	7
98	KarlKaek	6
98	hm947	6
98	bloodbiter	6
98	Inchef	6
98	M_Patata	6
98	Arceus1975	6
98	Hyp3rion_	6
98	gustarbite	6
98	Frozil12	6
98	Sheldor097	6
108	BobDeBouwer1337	5
108	TheDankPlatypus	5
108	Rebytre	5
108	ApophisNova	5
108	Gryglu583	5
108	Ze_BaronKrigler	5
108	Eon_57	5
108	Segotep999	5
108	MyNamaSheff	5
108	Legendosh	5
118	Dedalus36	4
118	Hpdinosaur	4
118	tuckerdoodle	4
118	xxPipperDipperxx	4
118	breadbowlgamer	4
118	Zythose	4
118	burbankbuilder28	4
118	cwartzo	4
118	FishyBoy3811	4
118	EveryonesUncle	4
118	MyNameIsDakar	4
118	MightyWertu	4
118	Vorlice	4
118	kyouma777	4
118	2blox	4
118	00000000-0000-0000-0009-01f898304150	4
134	_Virify_	3
134	T045RTY	3
134	Swexti	3
134	titanlax	3
134	crying_wolf_13	3
134	UncreativeArtist	3
134	trixterrx	3
134	YahooScreen9000	3
134	masskedman	3
134	NoChumpChange	3
134	Dusk_95	3
134	sp00ky_ghost977	3
134	PortlyPete69	3
134	Skippeh	3
134	RadarHz	3
134	MeetTheWollo	3
150	catiefsm	2
150	Menthas	2
150	PhantomsGhost_	2
150	strongman951753	2
150	AuroraValkyrie	2
150	teslawolf38	2
150	jimbo61101jr	2
150	Prismyst	2
150	rarrq	2
150	ratglock	2
150	jacxhadow	2
150	eclipseboi	2
150	Master_Kol	2
150	mwrty	2
150	ROY4LE	2
150	ReverendSmith	2
150	Werbe	2
150	fw3xywashere	2
150	NomadicRobin_	2
150	DanTheBuilderino	2
150	El_Jalapeno	2
150	wwwwinnebagoooo	2
150	TheTommyGun63	2
150	ItsDeltaMC	2
150	07shiny	2
150	__tomato	2
150	Soplight	2
150	Poppy235	2
150	Njensen7	2
150	VentiHilton	2
150	tartanboy	2
150	cichy096	2
150	coobert42	2
183	_NieToksikpl_	1
183	_stets	1
183	EMC_	1
183	I_Am_Mushkin	1
183	error10101	1
183	Zipdrip	1
183	Wooptey	1
183	_AceOfSpace_	1
183	migan95	1
183	Sleepy_Time_	1
183	tortillatitan	1
183	Megarboh	1
183	Smashic	1
183	paranoid_plant	1
183	thescout7	1
183	orxngejuice	1
183	mimbo1211	1
183	CarltheCuck	1
183	Hoxy	1
183	Norrhede	1
183	SuperPooch06	1
183	JitteryJared2	1
183	Skylord_Luke	1
183	bee_gorl	1
183	ogoa	1
183	Quinasin	1
183	lillips	1
183	LexMakesHistory	1
183	DemTechAlpha	1
183	Quaintster	1
183	MAns_44	1
183	EfficientC52	1
183	Nycteus_	1
183	Nunui	1
183	GravitySaint	1
183	MasterNueve	1
183	KG1999	1
183	Spenduh	1
183	lcvezra	1
183	_Yonk_	1
183	obzii	1
183	sebbegb	1
183	CalebDHawk	1
183	Ezekson	1
183	AltnumberF4	1
183	HesDemonPants	1
183	TechnoNinja64	1
183	Jordan_R	1
