rank	username	minecraft:mined/minecraft:dark_prismarine
1	joethahobo	3272
2	LuvLuvLove	2341
3	Fullut	1754
4	NameGenerat0r	1528
5	Ezekson	1331
6	12Magner05	1177
7	Bumpy419	1065
8	TheShyPig	1039
9	Comma__	1026
10	lizardfightclub	988
11	Snowflowe	920
12	_witch_craft_	916
13	PigDab	833
14	Spacewardharpy7	792
15	SingedBread	763
16	EngagedGrub41	748
17	powercas_gamer	721
18	pintsizedrogue	698
19	doublemaki	673
20	Yamdalorian	671
21	beeperbeeper5	669
22	PlasticOtari	667
23	Iagoku	629
24	Barlycorn	622
25	Marbz_	545
26	Merv__	535
27	Frozil20	491
28	noam464	488
29	xDraggin	474
30	livingdaydreams	472
31	HellsSponge	453
32	MattieHD	434
33	corvidpartyfor6	420
34	eitanzaki	415
35	EveryonesUncle	414
36	Legendosh	411
37	Winklepicker279	406
37	MilleGrug	406
39	Rebytre	404
40	Maenara	391
41	MightyWertu	373
42	Blaiku	370
43	CaptainDeadBread	368
44	diamondgolem35	363
45	EcksD	361
46	voiding_	351
47	Apollo_993	329
48	EMC_	311
49	Vorlice	306
50	robertsnose	305
51	Hahaa_0	298
52	PhantomsGhost_	294
53	Tyrannosplart	291
54	rarrq	290
55	djancak	275
56	Mahoose	274
57	Rumpletaezer	267
58	I_Am_Mushkin	257
59	blackeemperor	240
60	dimondking777	236
60	Enderxz3	236
62	weabis	235
63	MAns_44	233
64	AuroraValkyrie	230
65	gcaisawesome	228
66	AstreaTSS	216
67	thewindmillman	213
68	Tersea_	205
69	excelsionprime	187
70	Fuad_R	184
70	MakeHistory157	184
72	Cryptacity	178
73	legal_tax_evader	176
74	Powowowow	156
75	Z3braYTIL	155
76	ImpavidArcher	153
77	eiC_	151
78	Steelynan	150
79	Blu3beast	148
80	DairyNickel756	147
81	Mr_Byzantine	143
82	Groundler	142
83	Paintz	138
84	k_ce	133
85	OfficerAnvil	127
86	Niklas20114552	125
86	Azmodan_246	125
86	Hiryu27	125
89	Skippeh	119
90	goldyx	118
91	Hyp3rion_	112
92	oscminus	110
93	Segotep999	109
