rank	username	minecraft:mined/minecraft:birch_wood
1	Smoke____	966
2	The_SlideV5	132
3	Merv__	69
4	Kowcio_	58
5	SpacesickPrism	50
6	Groundler	43
7	Werbe	35
8	rarrq	32
9	PlasticOtari	28
10	Mahoose	21
11	Lez_	17
12	Human_Resource	16
13	oreee	15
14	hm947	6
14	ayamefag	6
14	lcvezra	6
14	Legendosh	6
18	censorsheep	5
19	Di_infiri	3
19	420BreadLizard	3
19	luseis	3
19	LordSpeed37	3
19	Luigipunch989	3
19	Steelynan	3
25	beeperbeeper5	2
25	noam464	2
25	MyNameIsJobo	2
25	Hyp3rion_	2
25	IamCL4SSY	2
30	fr0stss	1
30	500am	1
30	Inchef	1
30	Mattesco	1
