rank	username	minecraft:mined/minecraft:cobbled_deepslate_slab
1	EMC_	460
2	YungMaki	401
3	AltnumberF4	348
4	Buuck_	347
5	Galactic_Badger	343
6	EveryonesUncle	287
7	NLKBuilder	265
8	Kowcio_	215
9	Crowman1	201
10	Hydro___________	182
11	PlasticOtari	177
12	tuckerdoodle	150
13	k_ce	138
14	pretty_pink_reno	125
15	Nicserso	113
16	gcaisawesome	94
17	Mr_Byzantine	74
18	HUNTERmaun	66
19	nattybears	63
19	lordpipe	63
21	Megarboh	62
22	hm947	61
23	ImpavidArcher	60
24	benediktine1	57
25	Huwulling	46
26	Ryker	45
27	Btabtab	44
28	dartwaffle	38
29	myaccountwasgone	36
30	RebytreGT	35
30	kalzor	35
32	BPTY4618	29
33	12Magner05	24
33	prizm_	24
33	TheWildMateo	24
33	TheWickedBird	24
37	Mattesco	23
38	corvidpartyfor6	22
38	Winklepicker279	22
40	Kubelz	20
41	Sorry_Arey	19
41	hermmm_	19
43	Smashic	18
43	Marbz_	18
45	shineh10	17
46	U_Mos_	15
47	CattSoup	14
48	non089	13
49	TheSecondLord	12
50	pintsizedrogue	11
51	RebelAndroid	10
51	SvenskaHugo	10
53	ECstardust	8
53	Mahoose	8
53	Masssonnn	8
53	orxngejuice	8
57	91stCataclysm	7
57	thebaddruid	7
59	CalebDHawk	6
60	Spacewardharpy7	5
60	WYFYoyo	5
60	Yamdalorian	5
63	Prismyst	4
63	skroobiez	4
63	TheKingK_	4
66	JuuustYeet	3
66	mihimihimihi	3
68	PazinGaming	2
68	SquadMonster	2
68	crashomon	2
68	Jackattack53	2
68	MAns_44	2
68	ZoomieZoomie	2
74	rachcl	1
74	excelsionprime	1
74	thewindmillman	1
74	R1CHY2K	1
74	fluddd	1
74	Ezekson	1
