rank	username	minecraft:mined/minecraft:suspicious_gravel
1	j5ylim	502
2	beeperbeeper5	61
3	Archsam	60
4	k_ce	47
5	Werbe	36
6	ECstardust	32
7	MineMaster0012	14
8	Jackattack53	11
9	Secret_Canary	10
9	_Mythic____	10
11	Samificator	9
12	Apollo_993	8
12	TheSecondLord	8
14	Mr_Byzantine	7
14	oscminus	7
14	Enderxz3	7
17	Kowcio_	6
18	pintsizedrogue	4
18	pixelviolin	4
18	Jimb0nat0r	4
21	ZaneABrain	3
22	CLG_Kata	2
22	toastfetchd	2
22	Hahaa_0	2
25	Huwulling	1
25	corvidpartyfor6	1
25	Hyp3rion_	1
25	KamFurnace	1
