rank	username	minecraft:mined/minecraft:white_banner
1	Mahoose	96
2	kekhon	69
3	pintsizedrogue	68
3	ROY4LE	68
5	12Magner05	55
6	Blu3beast	48
7	PigDab	46
8	beeperbeeper5	42
8	Blackberry1310	42
10	YungMaki	40
11	FelixPSY375	39
12	Freak_Genius	36
13	SuperPooch06	35
14	Werbe	34
14	jnp_gaming	34
16	Soplight	28
17	NameGenerat0r	24
17	lordpipe	24
19	MattieHD	23
19	Smoke____	23
21	Legendosh	22
22	eitanzaki	16
23	I_Am_Mushkin	15
23	noam464	15
25	MovingFish7	14
25	EcksDofficial	14
27	FirsTimeGamingTV	13
27	rarrq	13
27	Akoot_	13
27	Kubeusz2010	13
27	oxfordschool	13
32	Merv__	12
32	Eraxa	12
32	SammiWolfGirl	12
32	PlasticOtari	12
36	teslawolf38	11
36	KarlKaek	11
36	thgrocks	11
36	Ze_BaronKrigler	11
40	SteveCraftBlocks	10
40	Jiminie	10
40	claivin	10
43	ImpavidArcher	9
43	TheShyPig	9
43	Meatlaugh	9
43	Th6masss	9
43	00000000-0000-0000-0009-01ff0c3e5e4f	9
48	Bandito_Roamer	8
48	Smashic	8
48	Arceus1975	8
48	CruncyIsTaken	8
48	RodSerlingCringe	8
48	Maenara	8
48	fkGrim	8
48	Racengan	8
56	joethahobo	7
56	_Dean_123	7
56	Parcc	7
56	HellsSponge	7
56	Quaintster	7
56	fluddd	7
56	Hermanni__	7
56	Enderslayerxz3	7
56	TechnoNinja64	7
65	SirUnderpants	6
65	ShedJr_	6
65	Historical_Sand	6
65	jacxhadow	6
65	Fullut	6
65	Jackattack53	6
65	burbankbuilder28	6
65	420BreadLizard	6
65	MilleGrug	6
65	kinas45y5	6
75	T045RTY	5
75	Valoth	5
75	TheSecondLord	5
75	AlphaWolfPlaysMC	5
75	Gryglu583	5
75	UCP_TheKingK	5
75	stahouo	5
75	Cpietr0	5
75	Ezekson	5
75	Sral7	5
75	h2p_emrld	5
86	Foof13	4
86	hm947	4
86	Incinere	4
86	youhjjhhhjj	4
86	brandonjames_h	4
86	Crafter45	4
86	MrExplorer	4
86	SHAOBADMAN	4
86	Di_infiri	4
86	Onennon	4
86	Lutres_Torane	4
86	StinkyDiplomat	4
86	Frozil12	4
86	Spacewardharpy7	4
86	MakeHistory157	4
86	Nagasaki_Riku	4
86	jcool7	4
86	cichy096	4
104	6king6colt6	3
104	Tolhart	3
104	Wooptey	3
104	Batman922	3
104	Vizzoid	3
104	Guillemet	3
104	500am	3
104	redikul	3
104	thescout7	3
104	WET_WET_WET	3
104	ApophisNova	3
104	fred870d	3
104	Lord_Jord	3
104	chipklip	3
104	El_Jalapeno	3
104	Blaiku	3
104	Dusk_95	3
104	AssFullaCum	3
104	tsitrawhy	3
104	Nekomin0	3
104	Steelynan	3
104	MyNamaSheff	3
126	rats_life	2
126	hollowww	2
126	AuroraValkyrie	2
126	KingFaenor	2
126	Alteriity	2
126	Ao_Ken	2
126	shdesolt	2
126	egglapras	2
126	Winklepicker279	2
126	loveseeker	2
126	whoaluv	2
126	GayPeopleSex	2
126	Rocco_Lane	2
126	lOlmantschi	2
126	Shiirazuku	2
126	epiksk8erduck	2
126	Shavrin	2
126	audiocracked	2
126	privatemeekly	2
126	Fuad_R	2
126	_Karmaa	2
126	Razzgriz	2
126	stavgod	2
126	BlankityMcBlank	2
126	starbits140	2
126	__tomato	2
126	_TCARREIRA_	2
126	gaming4Naming	2
126	Njensen7	2
126	HuangMeiHua	2
126	Nicserso	2
157	peachfuzz1267	1
157	JEWISHBadenBeele	1
157	The_Dark_One_00	1
157	Drlzyy	1
157	numbra	1
157	MikeIsSalty	1
157	SaucyDark	1
157	Hpdinosaur	1
157	Jeremopolis	1
157	ivorico	1
157	Simon_Lowell	1
157	H72l9w	1
157	Digcove	1
157	Ssor69	1
157	Stynxy	1
157	dopplexd	1
157	SwankMule	1
157	m_be9	1
157	Ardennes	1
157	ProfessorBee	1
157	eclipseboi	1
157	CarbonatedCola	1
157	boog4loo	1
157	NotMeanttoChange	1
157	Motsaro	1
157	KGTV	1
157	xxPipperDipperxx	1
157	r123moore	1
157	Bolete	1
157	Zaridey	1
157	Kakolbus	1
157	Karetoko	1
157	CollinMH06	1
157	Giannism	1
157	thewindmillman	1
157	GreedyFern8581	1
157	MaGro2010	1
157	_Boipl_	1
157	pappaberg	1
157	LilyNova	1
157	Bumpy419	1
157	Rebytre	1
157	Hiryu27	1
157	KartivGal	1
157	Vetral1	1
157	_naturell	1
157	KeruNatsema	1
157	HoldThatPee	1
157	Sky_light_KING	1
157	yulgur1	1
157	apn999	1
157	kiluaemc	1
157	EveryonesUncle	1
157	Deathkob	1
157	KermitTheKripple	1
157	E775	1
157	Bloo2406	1
157	geekbird	1
157	swimingduck	1
157	Cocoamallows	1
157	33sudo	1
157	Zetsey	1
157	pixelviolin	1
157	Kyrum2169	1
157	Segotep999	1
157	Western_1	1
157	KingMatthew506	1
157	88Hazza88	1
157	Vellu21	1
157	Skippeh	1
157	EcksD	1
157	vandmanden	1
