rank	username	minecraft:mined/minecraft:spruce_hanging_sign
1	LuvLuvLove	10
2	TheWickedBird	9
3	Enderxz3	8
4	milltesco	6
5	bl1ss0	4
5	craaaash	4
5	Mattesco	4
8	Merv__	1
8	Koalander	1
8	cuddlyMonster	1
8	Buuck_	1
