rank	username	minecraft:mined/minecraft:brain_coral_block
1	Legendosh	1932
2	Enderxz3	914
3	TheShyPig	783
4	ImpavidArcher	475
5	Onennon	381
6	luseis	364
7	Kouridragon	343
8	_Dean_123	339
9	Vetral1	307
10	PlasticOtari	289
11	YungMaki	282
12	pintsizedrogue	264
13	Hyp3rion_	233
14	HellsSponge	215
15	Nicserso	195
16	AuroraValkyrie	183
17	Di_infiri	182
18	RoskobiOne	139
19	fkGrim	130
20	Jovaphobic	126
21	Kakolbus	124
22	EcksD	122
23	500am	114
23	Kura2218	114
25	thewindmillman	113
26	Manaateee	105
27	Merv__	96
27	lordpipe	96
29	excelsionprime	95
30	Inbefour	87
31	Mewar	85
32	diamondgolem35	76
32	Maenara	76
34	jessewegottacook	74
34	Fullut	74
36	H0UNDFRMH3LL	70
36	ApophisNova	70
36	MyNamaSheff	70
39	Eerini	66
40	Rumpletaezer	65
41	livingdaydreams	64
42	Arceus1975	61
43	ShedJr_	60
43	mihimihimihi	60
45	groofles	59
46	Iagoku	57
47	Ssor69	55
48	12Magner05	54
49	aec9	52
49	djancak	52
51	Lez_	49
51	kekhon	49
51	Xalithia	49
51	Karbl	49
55	r123moore	47
56	__tomato	45
57	ConnorDanky_	44
58	TheSeismicDuck	41
59	SaucyDark	40
60	SuperPooch06	39
61	Jackattack53	37
62	eitanzaki	34
62	Noah_Bez	34
64	noam464	32
65	burbankbuilder28	31
65	AdmiralSmoke	31
67	PortlyPete69	29
68	stellarjay	28
69	urbeans	26
69	eiC_	26
69	MyNameIsJobo	26
72	NameGenerat0r	25
73	monky_irl	24
74	SpacesickPrism	23
75	Bandito_Roamer	21
76	NotoriousNina	20
77	Marbz_	18
77	h2p_emrld	18
79	hollowww	17
79	Voxin2K	17
81	ratglock	16
81	Fizznut909	16
83	Rebytre	15
83	Xclax101	15
83	laron58	15
86	Druid95	13
86	Zoeyfortnite	13
88	AlexxO_o	12
88	_Karmaa	12
90	oscminus	11
90	claivin	11
90	ZoharGoldMine	11
90	KingMatthew506	11
90	Powowowow	11
95	LeonelSalamanca	10
95	Jiminbub	10
95	Sral7	10
98	erkada	9
99	_Nat666	8
99	censorsheep	8
99	Skippeh	8
102	Mahoose	7
102	emrekn	7
102	1442	7
102	IdeallyGrey	7
102	diggydog67	7
107	SmashingPump	6
107	arcanemagic	6
107	DarkLawD	6
107	Kowcio_	6
111	Foof13	5
111	Prismyst	5
111	Shiirazu	5
111	Jimi7hits	5
111	balin55	5
111	El_Jalapeno	5
111	Blaiku	5
111	bloomkieren	5
111	Jimb0nat0r	5
120	KarlKaek	4
120	Alteriity	4
120	poopybh	4
120	FreakGenius	4
124	RatatJuice	3
124	gaziter10	3
124	Blackberry1310	3
124	Paintz	3
124	M_Patata	3
124	hanaryheatwave	3
124	StinkyDiplomat	3
124	MasterNueve	3
124	jnp_gaming	3
133	PazinGaming	2
133	joethahobo	2
133	Historical_Sand	2
133	Stynxy	2
133	titanlax	2
133	Motsaro	2
133	TheDankPlatypus	2
133	Doom_melon	2
133	Werbe	2
133	_Cloverbelle_	2
133	Tyrannosplart	2
133	Quaintster	2
133	Blu3beast	2
133	SingedBread	2
133	Typadopoulos	2
133	Spacewardharpy7	2
133	Factoroni	2
133	BlankityMcBlank	2
133	_i_ERROR_i_	2
133	Ezekson	2
133	OrewaSora	2
133	TechnoNinja64	2
133	xolstoi	2
156	the_fireminer	1
156	lotarp	1
156	beeperbeeper5	1
156	Euclidoris	1
156	InfernalMound	1
156	TheSecondLord	1
156	jacxhadow	1
156	bloodbiter	1
156	Tiberonus	1
156	MattieHD	1
156	crying_wolf_13	1
156	paranoid_plant	1
156	surfinggiraffejp	1
156	Zaridey	1
156	Donutt	1
156	Bumpy419	1
156	The_Cruncy	1
156	J4k__	1
156	IamCL4SSY	1
156	GooseWithin	1
156	AuroraSkies	1
156	sufjanlover	1
156	Deathkob	1
156	The_slideV3	1
156	SkateboardR6	1
156	cytotoxaint	1
156	Hisiste	1
156	lcvezra	1
156	Steelynan	1
156	TheOnlyRake	1
