rank	username	minecraft:mined/minecraft:tall_grass
1	beeperbeeper5	2601
2	Smoke____	2032
3	pintsizedrogue	1692
4	Mahoose	1480
5	Skylord_Luke	1246
6	Kakolbus	915
7	EMC_	832
8	djancak	789
9	Spacewardharpy7	780
10	EveryonesUncle	768
11	PlasticOtari	750
12	Jackattack53	732
13	Freak_Genius	712
14	Marbz_	690
15	thewindmillman	676
16	Hyp3rion_	669
17	Arceus1975	664
18	Jiminie	650
19	Lord_Jord	613
20	LeauVox4921	536
21	NomadicRobin_	517
22	joethahobo	508
23	kekhon	477
24	_Dean_123	465
25	Eraxa	463
26	Steelynan	458
27	Miko_Fullbuster	454
28	PigDab	438
29	SammiWolfGirl	431
30	burbankbuilder28	395
31	lordpipe	391
32	Akoot_	382
33	Blackberry1310	369
34	eitanzaki	358
35	Kowcio_	349
36	tsitrawhy	347
37	Wolf_Mauler_73	340
38	TheSecondLord	339
39	Jimi7hits	338
40	Inchef	330
41	RebelAndroid	328
42	Di_infiri	318
43	Legendosh	313
44	RadarHz	311
45	xxPipperDipperxx	305
46	YungMaki	302
47	MyNameIsDakar	294
48	HellsSponge	288
49	set67	285
50	Lutres_Torane	284
51	Ezekson	275
52	Historical_Sand	262
53	AuroraSkies	254
53	Segotep999	254
55	Swexti	248
56	Menthas	247
57	SvenskaHugo	245
57	starbits140	245
59	Soplight	242
60	Rebytre	240
61	Zythose	236
62	MinuteMira	231
63	Jeteight	216
64	diamondgolem35	212
65	TheShyPig	208
66	00000000-0000-0000-0009-01ff0c3e5e4f	207
67	CoffeeNoir	202
68	EcksDofficial	198
69	SuperPooch06	194
70	BlancoFlaco	190
71	TheDankPlatypus	186
71	LAVA129	186
71	UCP_TheKingK	186
74	DarkS0L	185
75	StinkyDiplomat	184
76	Dusk_95	177
77	ExtraDumb	176
78	Enderslayerxz3	175
79	FishyBoy3811	168
80	MissCeleste7	163
81	masskedman	150
82	Frozil12	148
83	ShedJr_	143
83	DanTheBuilderino	143
85	XxCookiequeenxX	140
86	Kkanot	139
87	ImpavidArcher	138
88	El_Jalapeno	137
89	Snowflowe	136
89	wwwwinnebagoooo	136
91	XboxPanda	135
92	_stets	132
93	Jovaphobic	131
93	Begformurrcy	131
95	monky_irl	130
96	Windo_licker	129
96	ZoomieZoomie	129
98	Huwulling	128
98	Blaiku	128
100	lillips	127
100	Racengan	127
102	shineh10	126
103	Quotary	125
104	SteveCraftBlocks	124
104	cichy096	124
106	Flores991	122
107	Fullut	119
108	Smashic	118
109	noam464	111
109	RodSerlingCringe	111
111	T045RTY	110
112	RealDelver	108
113	groofles	107
114	fffMike	106
115	SlayerCrypto	105
115	Living_Storms	105
117	500am	104
118	TheWildMateo	103
118	LeeMcGee30	103
120	HoltGrim	101
