rank	username	minecraft:mined/minecraft:orange_stained_glass
1	Manaateee	1094
2	AdmiralSmoke	928
3	beeperbeeper5	592
4	pintsizedrogue	360
5	Winklepicker279	278
6	_Virify_	133
7	mihimihimihi	132
8	SkateboardR6	120
9	Lez_	99
10	Kowcio_	87
11	joethahobo	82
12	Hoid_the_Roamer	80
12	pixelviolin	80
14	ROY4LE	64
15	fw3xy74	61
16	AltnumberF4	60
17	Spacewardharpy7	42
18	TechnoNinja64	40
19	Mattesco	33
20	r123moore	31
20	Jimb0nat0r	31
22	Jamstroxian	27
22	lordpipe	27
24	RoskobiOne	26
25	walll	24
26	The_slideV3	22
27	_Huge_Male_	20
27	Mahoose	20
27	Groundler	20
30	mwrty	18
31	xXTheWolfmanXx	16
32	Notta	14
33	YungMaki	13
34	titanlax	12
34	noam464	12
36	KingMatthew506	11
37	RebelAndroid	10
37	m_be9	10
39	theonlymagikarp	9
39	ApophisNova	9
39	Segotep999	9
39	MyNamaSheff	9
43	AuroraValkyrie	8
43	TheSecondLord	8
43	Inbefour	8
46	Inchef	7
46	xxPipperDipperxx	7
46	Onennon	7
46	PigDab	7
46	EcksD	7
46	PlasticOtari	7
52	Historical_Sand	6
52	Soplight	6
54	BobDeBouwer1337	5
54	little_dUki	5
56	Blackberry1310	4
56	Werbe	4
56	ConnorDanky_	4
59	PazinGaming	3
59	WWWWMWWWWWWWWWWW	3
59	Bumpy419	3
59	Maenara	3
59	Akoot_	3
59	wezzzi	3
59	luseis	3
59	HellsSponge	3
59	jnp_gaming	3
68	CLG_Kata	2
68	LionelHutzESQ	2
68	Comma__	2
68	Dragonfest	2
68	SuperPooch06	2
68	Wowful	2
68	NomadicRobin_	2
68	DarlaMeow	2
68	carbo_bro	2
68	Spenduh	2
68	Steelynan	2
68	VentiHilton	2
68	Mr_Teddiursa_K	2
81	Isaac70096	1
81	eitanzaki	1
81	Arteriana	1
81	Devintronix	1
81	Secret_Canary	1
81	_Dean_123	1
81	Xalithia	1
81	CaptainBadKid	1
81	Arceus1975	1
81	Snowflowe	1
81	oscminus	1
81	RobotMinion101	1
81	Kynigito	1
81	AlexxO_o	1
81	Shogunite	1
81	Blu3beast	1
81	MightyWertu	1
81	StarCookiees_	1
81	MineMaster0012	1
81	OfficerAnvil	1
81	Nicserso	1
81	Enderxz3	1
