rank	username	minecraft:mined/minecraft:oak_door
1	joethahobo	86
2	EveryonesUncle	52
3	beeperbeeper5	41
4	Freak_Genius	37
5	ExtraDumb	28
5	HellsSponge	28
7	Dedalus36	27
8	Syropatathe	26
9	diggydog67	22
10	Hermanni__	21
11	YungJakobo	20
11	set67	20
11	Akoot_	20
11	jnp_gaming	20
15	Whiterooster001	19
16	Z3braYTIL	18
16	Kferno	18
18	jacxhadow	17
19	El_Jalapeno	16
20	OtariCharlie	15
20	Keeogwi	15
20	Spenduh	15
23	q_wq	13
23	Wooptey	13
23	CoffeeNoir	13
26	lizardfightclub	11
26	bpmm	11
26	Teebone15	11
29	Myszoaz	10
29	skelecorebot	10
31	Zythose	9
31	DarkS0L	9
33	jimbo61101jr	8
33	bloodbiter	8
33	TheEnderman548	8
36	hcb238	7
36	Arceus1975	7
36	MangoTheFish	7
36	Quaintster	7
36	Racengan	7
36	SkateboardR6	7
36	CalebDHawk	7
43	pintsizedrogue	6
43	Kegradigm	6
43	crying_wolf_13	6
43	egglapras	6
43	Inchef	6
43	xxPipperDipperxx	6
43	Huic_ostiarius	6
43	DanTheBuilderino	6
43	Kubeusz2010	6
43	cichy096	6
43	RadarHz	6
43	smogfrog	6
55	soundad	5
55	Drlzyy	5
55	Swexti	5
55	TheFlfthHorseman	5
55	Upstro10	5
55	TheThomas69	5
55	M_Patata	5
55	MyNameIsDakar	5
55	MAns_44	5
55	MasterNueve	5
55	SvenskaHugo	5
66	Jackster03	4
66	PegLegPete93	4
66	r123moore	4
66	noam464	4
66	Kubelz	4
66	magmaniacmc	4
66	majlin16	4
66	GravitySaint	4
66	ProfessorDiaper	4
66	YungMaki	4
66	djancak	4
66	MissCeleste7	4
66	Quotary	4
66	SpaceTurtleOX	4
66	CrazyPotater	4
81	HazyDrummer	3
81	AshleeCW	3
81	Natofthese	3
81	SquadMonster	3
81	Blackberry1310	3
81	kekhon	3
81	_Dean_123	3
81	CyrusIsTired	3
81	Dali1465	3
81	Xalithia	3
81	Jackattack53	3
81	AnnieBathory	3
81	WarMachina	3
81	BasedEphex	3
81	Gryglu583	3
81	EfficientC52	3
81	Spacewardharpy7	3
81	ZoharGoldMine	3
81	IdeallyGrey	3
81	SpicyDuckMan	3
81	obzii	3
81	mobunni	3
81	EcksD	3
81	momis24	3
81	2blox	3
81	Jordan_R	3
81	Smoke____	3
108	Jovaphobic	2
108	ShedJr_	2
108	rarrq	2
108	Auseawesome	2
108	Sloths_Ender	2
108	SteveCraftBlocks	2
108	himak1	2
108	benediktine1	2
108	CarltheCuck	2
108	Chromary	2
108	sarahlynn00	2
108	_Boipl_	2
108	Chuvacevedo	2
108	fred870d	2
108	xo_Marren_xo	2
108	KliBeast21	2
108	_Crimson_Legate	2
108	Xclax101	2
108	Cyntrical	2
108	Groundler	2
108	lordpipe	2
108	Kowcio_	2
108	SirBreadward	2
108	Ezekson	2
132	Mr_Byzantine	1
132	6king6colt6	1
132	BlancoFlaco	1
132	hm947	1
132	Mahoose	1
132	TheMaster972	1
132	ccormacs	1
132	Prodiginus	1
132	TheSecondLord	1
132	500am	1
132	orxngejuice	1
132	LitoDelvito	1
132	CharlieButt	1
132	funnyblitz123	1
132	Winklepicker279	1
132	Hyp3rion_	1
132	Rocco_Lane	1
132	Skylord_Luke	1
132	PigDab	1
132	FishyBoy3811	1
132	Dan_Scha	1
132	Zinkacide	1
132	Deathkob	1
132	SolicitedPuma101	1
132	LexMakesHistory	1
132	Vegvisir	1
132	Airem_Core	1
132	XoTHotovich	1
132	fffMike	1
132	LeeMcGee30	1
132	VentiHilton	1
132	oxfordschool	1
132	FishisTTV	1
