rank	username	minecraft:mined/minecraft:dried_kelp_block
1	bladeefan2009	222
2	SpacesickPrism	184
3	Legendosh	95
4	gcaisawesome	70
5	Steelynan	62
6	TheShyPig	60
7	YungMaki	44
8	xxPipperDipperxx	38
8	MightyWertu	38
10	500am	33
10	FreakGenius	33
12	pintsizedrogue	31
13	himak1	28
13	The_slideV3	28
13	LetsDoItLive	28
16	PlasticOtari	27
17	Optiprimus	25
18	Powowowow	23
18	Smoke____	23
20	thewindmillman	21
21	ROY4LE	18
22	Werbe	17
23	Paleshield	16
24	ImpavidArcher	15
24	EveryonesUncle	15
24	TechnoNinja64	15
27	fkGrim	14
27	Nicserso	14
29	AuroraValkyrie	13
29	Snowflowe	13
31	stellarjay	11
31	calamariclam_I	11
33	Fuhrer_Teemo	10
34	thescout7	9
34	Ezekson	9
36	Nicky19	8
36	ConnorDanky_	8
38	Mahoose	7
38	beeperbeeper5	7
38	Marbz_	7
38	Jimi7hits	7
42	monky_irl	6
43	PhantomsGhost_	5
43	Hyp3rion_	5
43	Tyrannosplart	5
43	TheOnlyRake	5
47	CoffeeNoir	4
47	ProfessorBee	4
47	Tjhodskins19	4
47	SuperPooch06	4
47	iTurbo	4
47	wezzzi	4
47	luseis	4
47	KasterNM	4
47	robotemo	4
56	rarrq	3
56	LibertyMutual	3
56	Spacewardharpy7	3
56	RadarHz	3
60	Groovy_MoonBird	2
60	Merv__	2
60	SirUnderpants	2
60	eitanzaki	2
60	joethahobo	2
60	Digcove	2
60	heckface	2
60	eclipseboi	2
60	_Minnty_	2
60	sandmire	2
60	lorpus	2
60	valiSW	2
60	Zythose	2
60	RobotMinion101	2
60	BumbleBeever	2
60	Iamthejo	2
76	Dilshooter	1
76	Jovaphobic	1
76	6king6colt6	1
76	Gundam_Steven	1
76	Incinere	1
76	KomputerDude	1
76	Blackberry1310	1
76	Fullut	1
76	TheSansMan	1
76	tannoys	1
76	Xx_Example_xX	1
76	Huic_ostiarius	1
76	Maenara	1
76	CrumplyBanjo_	1
76	DeltGod01704	1
76	Nycteus_	1
76	Blaiku	1
76	the__Reaper4999	1
76	IAmTheWalrus910	1
76	Kura2218	1
76	IdeallyGrey	1
76	Kowcio_	1
76	RealGroot	1
76	djancak	1
76	non089	1
76	Western_1	1
76	Moetis	1
76	CalebDHawk	1
76	Hermanni__	1
76	Skippeh	1
76	EcksD	1
76	UrbanPlanningEx	1
