rank	username	minecraft:mined/minecraft:red_stained_glass
1	RoofTyler	1096
2	Onennon	459
3	jnp_gaming	453
4	Hyp3rion_	440
5	emrekn	438
6	beeperbeeper5	387
7	Jackattack53	282
8	_Virify_	262
9	Spacewardharpy7	181
10	IamCL4SSY	164
10	Kowcio_	164
12	Elastiq	144
13	YungMaki	136
14	Lez_	133
15	pintsizedrogue	129
16	Soplight	107
17	lordpipe	106
18	gusstationwerker	100
19	m_be9	91
20	Kamflame10	90
20	GlitchyPlate810	90
22	ssleepless	83
23	Nicserso	82
24	k_ce	76
25	shadowthemonkey	73
26	surfinggiraffejp	72
27	Groundler	69
28	Mahoose	66
29	Mattesco	56
30	MyNameIsJobo	55
30	Nycteus_	55
32	Andy__Dufresne	52
33	Factoroni	50
34	Bandito_Roamer	46
35	Smoke____	42
36	fffMike	41
37	ImpavidArcher	39
38	Werbe	37
38	mihimihimihi	37
40	T045RTY	36
40	Blaiku	36
42	EveryonesUncle	35
43	ROY4LE	32
44	Lord_Jord	31
45	Snowflowe	29
46	Merv__	28
46	theonlymagikarp	28
48	bloodbiter	22
48	Inbefour	22
50	joethahobo	21
50	ProfessorBee	21
50	500am	21
50	The_slideV3	21
54	Quincannon	19
54	TechnoNinja64	19
54	Yahrto	19
57	TheSecondLord	17
57	BobDeBouwer1337	17
57	Bumpy419	17
60	CoffeeNoir	16
60	Notta	16
62	mwrty	15
62	Eraxa	15
62	KingMatthew506	15
65	Maenara	14
66	CadenSteele	13
66	Frozil20	13
66	SaucyDark	13
66	jedi_george	13
66	PlasticOtari	13
71	xXTheWolfmanXx	12
71	rarrq	12
71	_Dean_123	12
71	xxPipperDipperxx	12
71	Fuad_R	12
71	Steelynan	12
77	MattieHD	11
77	Xalithia	11
77	PigDab	11
80	eitanzaki	10
80	TheDankPlatypus	10
80	HellsSponge	10
80	diggydog67	10
84	SmashingPump	9
84	Reamdin	9
84	gaziter10	9
84	pr33tu	9
84	noam464	9
84	Di_infiri	9
90	titanlax	8
90	Dooinfe	8
92	AuroraValkyrie	7
92	ZaneABrain	7
92	Inchef	7
92	Touched_Bread	7
92	Krowuss	7
92	El_Jalapeno	7
92	Optiprimus	7
92	EcksD	7
92	The_SlideV5	7
101	Groovy_MoonBird	6
101	Blu3beast	6
101	ZoomieZoomie	6
101	trexgb	6
105	NieToksikpl	5
105	Blackberry1310	5
105	Luigipunch989	5
105	xolstoi	5
105	561cool	5
110	thewindmillman	4
110	claivin	4
110	MilleGrug	4
113	Cowison	3
113	Fullut	3
113	Z3braYTIL	3
113	groggregg42	3
113	Xclax101	3
113	ConnorDanky_	3
113	Jimb0nat0r	3
120	RoskobiOne	2
120	MikeIsSalty	2
120	Kuragari_	2
120	CliffEmAll	2
120	walll	2
120	doggysam15	2
120	Zythose	2
120	wTXop	2
120	Kynigito	2
120	ougstur	2
120	TheSeismicDuck	2
120	fkGrim	2
120	lillips	2
120	FreakGenius	2
120	the__Reaper4999	2
120	Racengan	2
120	sadvavilloso	2
120	tiktok_lystoxin	2
120	jcool7	2
120	Ezekson	2
120	Legendosh	2
141	Jovaphobic	1
141	FazeObama69	1
141	6king6colt6	1
141	Iagoku	1
141	Isaac70096	1
141	Wooptey	1
141	ThiccExotic	1
141	Felaxo12	1
141	Da_Boss_Rani	1
141	Pofen	1
141	Euclidoris	1
141	Crowman1	1
141	himak1	1
141	2_young_2_die	1
141	olliebollie48	1
141	hanaryheatwave	1
141	Arceus1975	1
141	TruGuire	1
141	DaviusMaximoose	1
141	JitteryJared2	1
141	_Boipl_	1
141	Skylord_Luke	1
141	ApophisNova	1
141	k1ngGilgamesh	1
141	RobotMinion101	1
141	F_Uhre	1
141	LeGold	1
141	CaptainAvenger7	1
141	halfwayup	1
141	SaintJosie	1
141	Gab4101	1
141	McLovin003	1
141	Babushka0430	1
141	Tyrannosplart	1
141	MAns_44	1
141	fluddd	1
141	Paigefly	1
141	BlankityMcBlank	1
141	Nekomin0	1
141	Dogcorn69420	1
141	VentiHilton	1
141	MyNamaSheff	1
141	FelixPSY375	1
141	Wanjibon	1
