rank	username	minecraft:mined/minecraft:blackstone
279	NotTrixi	79
280	TheTommyGun63	77
281	wwwwinnebagoooo	76
282	Chuvacevedo	75
283	gabriels543	73
283	Maenara	73
285	FishisTTV	72
286	ItzWqlfy	71
287	Jovaphobic	70
288	orxngejuice	69
289	Krasnal1337	61
289	JingleLizi	61
289	CharlieButt	61
289	Quaintster	61
289	DeGodz4life	61
294	Da_Boss_Rani	59
295	CyrusIsTired	57
296	4383	56
296	crying_wolf_13	56
296	trixterrx	56
299	MangoTheFish	55
300	bee_gorl	53
