rank	username	minecraft:mined/minecraft:stripped_dark_oak_wood
1	EveryonesUncle	1026
2	CalebDHawk	348
3	Rebytre	263
4	500am	168
5	M_Patata	138
6	ShedJr_	131
7	Sheldor097	130
8	Merv__	116
9	MasterNueve	110
10	Leyna3	104
11	Zythose	97
12	ExtraDumb	85
13	YungJakobo	83
14	_Cloverbelle_	81
15	pintsizedrogue	75
16	noam464	68
17	oxfordschool	50
18	Kowcio_	44
19	Steelynan	38
20	Werbe	29
21	ImpavidArcher	28
22	Mahoose	24
23	SingedBread	17
24	m_be9	14
24	kekhon	14
26	Blackberry1310	12
27	Eraxa	11
28	xxPipperDipperxx	10
29	rachcl	7
29	Frozil12	7
31	seramalen	6
32	Sky_light_KING	5
33	Bandito_Roamer	4
33	Spacewardharpy7	4
35	eitanzaki	3
35	joethahobo	3
35	SuperPooch06	3
35	Groundler	3
35	lordpipe	3
35	SvenskaHugo	3
35	Lowjinx	3
35	jnp_gaming	3
35	PlasticOtari	3
35	EcksDofficial	3
45	Sleek_Storm_721	2
45	Euclidoris	2
45	The_slideV3	2
45	pixelviolin	2
45	jcool7	2
50	teslawolf38	1
50	Historical_Sand	1
50	ChosenBruh	1
50	MortimerGaming	1
50	ProfessorBee	1
50	MyNameIsJobo	1
50	The11thDoctor	1
50	Russiancat1	1
50	Honor555	1
50	YungMaki	1
50	Soplight	1
50	GlitchyPlate810	1
50	Ezekson	1
50	Enderslayerxz3	1
50	2blox	1
50	Smoke____	1
