rank	username	minecraft:mined/minecraft:creeper_head
1	kekhon	24
2	joethahobo	6
2	Tyrannosplart	6
4	YungMaki	5
5	eitanzaki	4
5	FreakGenius	4
5	fluddd	4
5	Enderxz3	4
9	Hyp3rion_	3
9	Akoot_	3
9	Ezekson	3
12	Historical_Sand	2
12	jacxhadow	2
12	Fullut	2
12	yheece	2
12	Maenara	2
12	HellsSponge	2
12	Kowcio_	2
19	pintsizedrogue	1
19	SmashingPump	1
19	Merv__	1
19	Wooptey	1
19	Mahoose	1
19	ShedJr_	1
19	TheSecondLord	1
19	lorpus	1
19	noam464	1
19	Jackattack53	1
19	oscminus	1
19	claivin	1
19	Blu3beast	1
19	sp00ky_ghost977	1
19	Soplight	1
19	xzvu	1
19	SammiWolfGirl	1
