rank	username	minecraft:mined/minecraft:decorated_pot
1	pintsizedrogue	164
2	Pumpkin_P_Patch	43
3	Enderxz3	30
4	Kowcio_	21
5	Soplight	20
6	mymayowasgone	18
7	ECstardust	17
7	Werbe	17
9	Jimb0nat0r	16
10	j5ylim	13
10	shineh10	13
10	Secret_Canary	13
13	LuvLuvLove	12
14	Mr_Byzantine	11
15	oscminus	10
16	k_ce	9
17	acatter	8
17	QuiCreans	8
17	KamFurnace	8
20	Kakolbus	6
20	craaaash	6
22	Merv__	5
22	Jackattack53	5
22	pixelviolin	5
22	TheWickedBird	5
26	Vetomo8000	4
27	KarlKaek	3
27	lorywithay	3
27	ZaneABrain	3
27	Lez_	3
27	Archsam	3
27	beeperbeeper5	3
27	12Magner05	3
27	_witch_craft_	3
27	bl1ss0	3
27	Mattesco	3
27	Myntsys	3
38	CLG_Kata	2
38	Alteriity	2
38	Huwulling	2
38	Smashic	2
38	cuddlyMonster	2
38	BubblyOrangutan	2
38	Steelynan	2
45	gren_ben	1
45	TheSecondLord	1
45	MattieHD	1
45	noam464	1
45	OreTheBear	1
45	DragonGaming_5	1
45	EveryonesUncle	1
45	Blockbard_	1
45	Buuck_	1
45	FiguraDei	1
45	StarCookiees_	1
