rank	username	minecraft:mined/minecraft:cracked_polished_blackstone_bricks
1	lizardfightclub	4753
2	thewindmillman	2378
3	excelsionprime	2339
4	pintsizedrogue	1692
5	HellsSponge	1102
6	TheSecondLord	961
7	Legendosh	822
8	YungMaki	801
9	TheShyPig	697
10	T045RTY	682
11	FreakGenius	608
12	set67	501
13	PazinGaming	489
14	500am	439
15	ConnorDanky_	424
16	Cowison	417
17	Marbz_	400
18	Enderxz3	357
19	Dakar_	351
20	Alteriity	347
21	mwrty	321
22	Kowcio_	308
23	himak1	280
24	Blaiku	253
25	ShedJr_	244
26	joethahobo	236
27	r123moore	216
27	AdmiralSmoke	216
29	Krowuss	214
30	fanofbands101	210
31	k_ce	196
32	Zythose	175
33	wwwwinnebagoooo	174
34	EveryonesUncle	173
35	ITDV	166
36	benediktine1	152
37	Racengan	148
37	_i_ERROR_i_	148
39	Hyp3rion_	147
40	livingdaydreams	144
41	Fullut	137
42	_Razaria	132
43	Iamthejo	129
44	crying_wolf_13	128
44	ooga47	128
46	CACTUSLAD	118
47	luseis	112
48	_Virify_	111
49	Skylord_Luke	106
50	MinttyFressh	104
51	Segotep999	103
52	Steelynan	98
53	Kubeusz2010	96
54	Winklepicker279	94
55	SammiWolfGirl	91
56	Secret_Canary	89
56	pixelviolin	89
58	burbankbuilder28	88
59	Mahoose	86
59	monky_irl	86
61	Decaying_Lotus	85
62	Druid95	84
63	ApophisNova	83
63	MyNamaSheff	83
65	kekhon	82
66	Moofyman	81
67	Shogunite	76
68	KeruNatsema	70
68	Eraxa	70
70	diggydog67	69
70	00000000-0000-0000-0009-01ff0c3e5e4f	69
72	ImpavidArcher	67
72	Inchef	67
72	FishyBoy3811	67
75	Apollo_993	66
75	EngagedGrub41	66
77	Werbe	60
77	Manaateee	60
77	Ezekson	60
80	4774	58
81	F_Uhre	55
82	rarrq	54
82	Akoot_	54
84	NomadicRobin_	53
85	PhantomsGhost_	52
86	Historical_Sand	49
86	djancak	49
86	PlasticOtari	49
89	Awyrlas	47
90	noam464	46
90	Rebytre	46
90	EcksD	46
93	Groovy_MoonBird	45
93	HolyVenom	45
95	12Magner05	40
95	hanaryheatwave	40
97	Maenara	39
98	beeperbeeper5	38
98	Di_infiri	38
98	DarlaMeow	38
101	Spacewardharpy7	37
102	Silvo614	35
102	Jimb0nat0r	35
104	NATE_the_HALO	33
104	tartanboy	33
106	ECstardust	30
107	Frozil20	29
107	eitanzaki	29
109	AstreaTSS	26
110	JitteryJared2	25
111	CalebDHawk	24
112	ratglock	23
112	IvarEXE	23
114	Hpdinosaur	22
114	TheOuterCore	22
116	trexgb	21
117	SquadMonster	20
117	Arceus1975	20
117	WYFYoyo	20
120	EMC_	18
121	Myrlewen	17
121	Afinnity	17
121	LazySupport00	17
124	masskedman	16
124	skrongus	16
126	__lizi	15
126	lorpus	15
126	AlexxO_o	15
129	Snowflowe	14
130	MixerDixer	13
130	fluddd	13
132	shineh10	12
132	Touched_Bread	12
134	RadarHz	11
135	q_wq	10
135	ChampPog_	10
135	ROY4LE	10
135	Kakolbus	10
135	WET_WET_WET	10
135	Luigipunch989	10
135	Eczbek	10
135	FelixPSY375	10
143	soundad	9
143	ARandomHedge	9
143	Chromary	9
146	TheFlfthHorseman	8
146	titanlax	8
146	Nycteus_	8
146	youarefrench_	8
150	itburb	7
150	Elastiq	7
150	SingedBread	7
150	Soplight	7
150	xolstoi	7
155	Travasaur	6
155	CoffeeNoir	6
155	Arch3lia	6
155	mariominejedi	6
155	GravitySaint	6
155	iSammael	6
155	2blox_	6
162	Blu3beast	5
162	hdtpm	5
162	little_dUki	5
165	tweety_sweety	4
165	Prismyst	4
165	noodlepack	4
165	MAns_44	4
165	Hisiste	4
165	Airem_Core	4
165	NiveauSubmarine	4
172	KarlKaek	3
172	diamondgolem35	3
172	PegLegPete93	3
172	oscminus	3
172	Mattesco	3
172	Luminad3	3
172	claivin	3
172	bluefragmentt	3
172	Razzgriz	3
172	MilleGrug	3
182	RebelAndroid	2
182	Blackberry1310	2
182	jacxhadow	2
182	Nicky_H225	2
182	Smashic	2
182	fade_emerge78823	2
182	shadowthemonkey	2
182	SuperPooch06	2
182	whoaluv	2
182	fw3xy74	2
182	Syropatathe	2
182	Vorlice	2
182	Sheldor097	2
182	jcool7	2
182	Winston_Ingram	2
182	Erased_Identity	2
198	BPTY4618	1
198	BlancoFlaco	1
198	hm947	1
198	SyntheticSurgeon	1
198	PhantomBionic	1
198	Lez_	1
198	Da_Boss_Rani	1
198	Crowman1	1
198	XboxPanda	1
198	pumpfonzo	1
198	The_Cruncy	1
198	Klerick	1
198	yulgur1	1
198	NameGenerat0r	1
198	THEKINGLyric10	1
198	mihimihimihi	1
198	Spenduh	1
198	MissCeleste7	1
198	Teebone15	1
