rank	username	minecraft:mined/minecraft:brick_stairs
1	Di_infiri	973
2	Legendosh	891
3	burbankbuilder28	691
4	Steelynan	607
5	Kowcio_	549
6	PlasticOtari	443
7	xolstoi	307
8	SingedBread	286
9	_stets	272
10	Dakar_	271
11	NotMeanttoChange	242
12	Kakolbus	238
13	Merv__	219
14	EveryonesUncle	178
15	SaintJosie	177
16	Soplight	172
17	Enderxz3	156
18	Deathkob	154
19	xzvu	140
20	ImpavidArcher	130
21	beeperbeeper5	123
22	m_be9	122
23	paranoid_plant	121
24	Ryan_GEMS	119
25	Manaateee	105
26	MinttyFressh	104
27	__tomato	92
28	DemTechAlpha	86
29	Diavri	84
30	Mahoose	80
31	Werbe	77
31	Quotary	77
33	Freeman666	69
34	Frozil20	64
34	Nicserso	64
36	Spacewardharpy7	63
37	PhantomsGhost_	60
37	DarlaMeow	60
39	TheShyPig	58
40	cheerytomato	56
41	SkateboardR6	50
42	_Bguette_	40
43	Jiminbub	38
44	KarlKaek	34
44	2Stout	34
46	ShedJr_	33
47	joethahobo	31
47	Russiancat1	31
47	fkGrim	31
47	luseis	31
51	EMC_	28
51	Onennon	28
53	bearlystraight	27
54	500am	26
55	Meatlaugh	25
56	thewindmillman	24
57	SpacesickPrism	23
58	El_Jalapeno	22
59	Mr_Byzantine	21
59	rarrq	21
59	TheSecondLord	21
62	NomadicRobin_	20
63	FreakGenius	19
64	Elastiq	18
65	_Huge_Male_	16
65	Historical_Sand	16
65	kekhon	16
65	_3Stump_	16
69	Awyrlas	15
69	Doom_melon	15
71	NieToksikpl	14
71	groofles	14
71	Akoot_	14
71	DarkS0L	14
75	Segotep999	13
76	pintsizedrogue	12
76	RobotMinion101	12
76	DTwenty	12
76	Deerfoot	12
76	TechnoNinja64	12
81	Pineapplesugr	11
81	Jackattack53	11
81	lcvezra	11
81	Jordan_R	11
85	titanlax	10
86	AgressiveEggdog	9
86	SquadMonster	9
86	Inchef	9
86	Shin69	9
90	tuckerdoodle	8
90	Felenov	8
90	Nekomin0	8
93	SaucyDark	7
93	SpaceGrenadier	7
93	LeauVox4921	7
93	NNikitas	7
93	ougstur	7
93	Roikdean	7
99	JohnnyFyes	6
99	Raltemoxitonica	6
99	peach0s	6
99	Blackberry1310	6
99	Ezekson	6
99	EcksD	6
105	eitanzaki	5
105	BilboBaggins23	5
105	UCP_TheKingK	5
108	12Magner05	4
108	NameGenerat0r	4
108	ReyTheLegend	4
108	bloomkieren	4
108	CalebDHawk	4
113	k_ce	3
113	MyNameIsJobo	3
113	MS_Pryxx	3
113	AdmiralSmoke	3
117	SteveCraftBlocks	2
117	xxPipperDipperxx	2
117	noam464	2
117	0nly_sn1per	2
117	Mattesco	2
117	Wowful	2
117	Fuad_R	2
117	Barlycorn	2
117	THEKINGLyric10	2
117	SvenskaHugo	2
117	YungMaki	2
117	Pundehoo	2
117	Eczbek	2
130	RebelAndroid	1
130	Lez_	1
130	Myszoaz	1
130	Stynxy	1
130	Crowman1	1
130	Jobydobe	1
130	Smashic	1
130	Masssonnn	1
130	Krowuss	1
130	Nicky19	1
130	LeonelSalamanca	1
130	The_slideV3	1
130	MakeHistory157	1
130	kyouma777	1
130	ConnorDanky_	1
