rank	username	minecraft:mined/minecraft:light_gray_bed
1	Blackberry1310	33
2	starbits140	32
3	Mahoose	27
4	Xalithia	23
5	LordSpeed37	22
6	eitanzaki	11
6	thescout7	11
6	Shogunite	11
9	noam464	9
10	rarrq	8
11	Valoth	7
11	TheSecondLord	7
11	luseis	7
11	Soplight	7
15	Historical_Sand	6
15	SvenskaAlvar	6
15	fkGrim	6
18	500am	5
18	orxngejuice	5
18	eiC_	5
18	Kateesaur	5
22	bloodbiter	4
22	BilboBaggins23	4
22	yheece	4
22	Truckoss	4
22	boolingod	4
22	sufjanlover	4
22	NameGenerat0r	4
22	SingedBread	4
22	lcvezra	4
22	BreadBacon	4
32	pintsizedrogue	3
32	Bandito_Roamer	3
32	ImpavidArcher	3
32	SnowyAvi	3
32	m_be9	3
32	Smashic	3
32	Kokeech	3
32	pixelviolin	3
32	smogfrog	3
41	RebelAndroid	2
41	T045RTY	2
41	CoffeeNoir	2
41	ShedJr_	2
41	titanlax	2
41	ZigzagLily43042	2
41	aluminumhelmet	2
41	GingerNeutron	2
41	eclipseboi	2
41	2Stout	2
41	legal_tax_evader	2
41	Fast_Turtle	2
41	Proxy_Man	2
41	Katthaj	2
41	FreakGenius	2
41	Blaiku	2
41	SkateboardR6	2
41	djancak	2
41	RadarHz	2
41	imaginek1d	2
61	k_ce	1
61	RoskobiOne	1
61	CueMix	1
61	Cowison	1
61	_Razaria	1
61	Reamdin	1
61	Arteriana	1
61	jushykins	1
61	MrExplorer	1
61	kekhon	1
61	MattieHD	1
61	excelsionprime	1
61	xXxSebastianLxXx	1
61	xxPipperDipperxx	1
61	drunkeeez	1
61	Minc_	1
61	xFaiithyX	1
61	fr_ser	1
61	Arceus1975	1
61	Sheellky	1
61	CaptainDeadBread	1
61	F_Uhre	1
61	TheShyPig	1
61	Tyrannosplart	1
61	DarlaMeow	1
61	queenalina123	1
61	CaptainMocha	1
61	_DKC	1
61	Enoughh	1
61	sp00ky_ghost977	1
61	legoclone09	1
61	Eraxa	1
61	Kowcio_	1
61	BlankityMcBlank	1
61	UCP_TheKingK	1
61	Hermanni__	1
61	potatocan	1
