rank	username	minecraft:mined/minecraft:dark_oak_wood
1	Euclidoris	1824
2	EveryonesUncle	751
3	M_Patata	547
4	beeperbeeper5	538
5	MasterNueve	503
6	SuperPooch06	260
7	Blackberry1310	242
8	Kowcio_	234
9	Manaateee	216
10	Werbe	177
11	Historical_Sand	153
12	_Cloverbelle_	126
13	BlancoFlaco	115
14	Di_infiri	111
15	noam464	107
16	Enderxz3	106
17	_i_ERROR_i_	105
18	Sheldor097	103
19	500am	87
20	eitanzaki	80
21	m_be9	79
22	PlasticOtari	73
23	Napoleonpancake	72
24	The_slideV3	65
25	Mr_Byzantine	60
26	Krowuss	55
27	Touched_Bread	51
28	rarrq	34
28	Fullut	34
30	Frozil20	26
30	groofles	26
32	Sleek_Storm_721	25
33	Rebytre	22
34	TheSecondLord	21
34	PigDab	21
34	LeGold	21
37	TheShyPig	20
38	Legendosh	19
39	emrekn	17
40	CollinMH06	16
40	IamCL4SSY	16
40	BlankityMcBlank	16
43	pintsizedrogue	15
43	ExtraDumb	15
45	SyK7	14
45	paranoid_plant	14
47	Bandito_Roamer	13
47	CalebDHawk	13
47	h2p_emrld	13
50	gcaisawesome	11
50	NameGenerat0r	11
52	ImpavidArcher	10
52	xxPipperDipperxx	10
54	KarlKaek	9
55	Mahoose	8
55	luseis	8
55	LazySupport00	8
58	AdmiralSmoke	7
59	Vetral1	6
59	bearlystraight	6
59	FishyBoy3811	6
59	pixelviolin	6
59	fffMike	6
59	xolstoi	6
65	Lez_	5
65	Auseawesome	5
65	The11thDoctor	5
68	Elastiq	4
68	Russiancat1	4
68	SvenskaHugo	4
71	avalan64	3
71	ConnorDanky_	3
73	PazinGaming	2
73	SmashingPump	2
73	teslawolf38	2
73	Natty	2
73	Dblikstad	2
73	Smashic	2
73	lordpipe	2
73	MineMaster0012	2
73	Steelynan	2
82	dudcreeper	1
82	Ryan_GEMS	1
82	301851	1
82	kekhon	1
82	ProfessorBee	1
82	lorpus	1
82	Inchef	1
82	dartwaffle	1
82	Blu3beast	1
82	Blaiku	1
82	Hisiste	1
82	Spacewardharpy7	1
82	Soplight	1
82	Spenduh	1
82	SpacesickPrism	1
82	MilleGrug	1
82	Ezekson	1
82	jnp_gaming	1
