rank	username	minecraft:mined/minecraft:pink_wall_banner
1	kekhon	29
2	beeperbeeper5	24
3	luseis	13
4	pintsizedrogue	11
5	Lez_	9
5	lordpipe	9
5	Legendosh	9
8	Huwulling	5
9	Tyrannosplart	4
9	xolstoi	4
11	Mahoose	3
11	AlexxO_o	3
13	Incinere	2
13	joethahobo	2
13	500am	2
13	xxPipperDipperxx	2
13	Akoot_	2
13	Blaiku	2
13	Kowcio_	2
13	AdmiralSmoke	2
21	k_ce	1
21	PhantomsGhost_	1
21	ECstardust	1
21	q_wq	1
21	eitanzaki	1
21	ShedJr_	1
21	SnowyAvi	1
21	Smashic	1
21	noam464	1
21	Krowuss	1
21	Ilyaskand	1
21	oscminus	1
21	DadWorksForSega	1
21	claivin	1
21	MineMaster0012	1
21	smogfrog	1
21	KamFurnace	1
