rank	username	minecraft:mined/minecraft:birch_fence
1	kekhon	803
2	Onennon	555
3	joethahobo	518
4	pintsizedrogue	516
5	beeperbeeper5	379
6	lordpipe	352
7	noam464	338
8	Mahoose	269
9	Legendosh	255
9	Smoke____	255
11	Di_infiri	242
12	Zythose	238
12	RoboTramp7865	238
14	TheShyPig	196
15	EcksDofficial	194
16	_Cloverbelle_	188
17	IAmTheWalrus910	181
18	Simon_Lowell	171
19	djancak	170
20	sp00ky_ghost977	160
21	Kynigito	158
22	thescout7	153
23	eitanzaki	150
24	Soplight	114
25	Frozil12	113
26	SaucyDark	112
27	Dedalus36	111
28	El_Jalapeno	110
29	Freak_Genius	108
30	diggydog67	106
31	TechnoNinja64	99
32	The_Quack_Dealer	96
33	Ravenbie	89
34	Ezekson	86
35	Snowflowe	85
36	KarlKaek	81
36	loveseeker	81
38	Blaiku	77
39	UrbanPlanner1978	76
40	ROY4LE	69
41	ProfessorBee	66
42	Akoot_	65
43	DermeinUser	64
44	Merv__	62
45	ImpavidArcher	61
46	Spacewardharpy7	59
47	smarticuno	50
47	monky_irl	50
49	RustyKedel	49
50	301851	48
51	Nicserso	46
52	AlexStrange	42
52	Inbefour	42
54	jspwn	41
54	E775	41
56	Ssor69	39
56	Under1	39
56	_Karmaa	39
56	cichy096	39
60	ClemenPine	38
61	teslawolf38	37
62	Blackberry1310	35
62	The11thDoctor	35
64	Jokerman369	33
64	MousePlays	33
64	anbbang	33
67	Malorn_Aetherius	32
67	eviltunix	32
67	chipklip	32
70	bigstankyy	31
70	Racengan	31
72	InfernalMound	28
72	stuy9	28
72	ReyTheLegend	28
75	500am	27
76	SkyHighSkier	26
77	UncreativeArtist	25
77	CACTUSLAD	25
79	_Dean_123	24
80	Kubeusz2010	23
81	crying_wolf_13	22
81	HellsSponge	22
81	MakeHistory157	22
84	TastefulBas	21
84	Lowjinx	21
84	Sral7	21
87	CoffeeNoir	20
87	LavenderBi1ch	20
87	Kryktal	20
87	fluddd	20
87	LetsDoItLive	20
87	stahouo	20
93	Arceus1975	19
93	PlasticOtari	19
95	Mr_Byzantine	18
95	Sabby65	18
95	burbankbuilder28	18
95	Lord_Jord	18
95	SingedBread	18
100	MinttyFressh	17
100	MyNameIsJobo	17
100	Zielo2017PL	17
100	LilLizardWizard	17
104	KlausVonStiglitz	16
104	OnlyOfficial	16
104	MelodyGaysharks	16
107	6king6colt6	15
107	Eraxa	15
107	jnp_gaming	15
110	Astronicky	14
110	_Bguette_	14
112	mwrty	13
112	YahooScreen9000	13
112	YungMaki	13
112	Quotary	13
116	Tommhh	12
116	mimbo1211	12
116	UCP_TheKingK	12
116	Steelynan	12
120	livingdaydreams	11
120	Blu3beast	11
120	wwwwinnebagoooo	11
120	stellarjay	11
120	bitsplease	11
125	AJplaysMC_	10
125	Leithz6	10
125	BuildTheGondola	10
125	Enderslayerxz3	10
129	EMC_	9
129	Euclidoris	9
129	NotTrixi	9
129	Xalithia	9
129	Drewen24	9
129	Jiminie	9
129	bndo	9
129	yatsuta	9
129	ediballbearings	9
138	ashetrays	8
138	Nicky_H225	8
138	Stiar	8
138	SuperPooch06	8
138	pappaberg	8
138	DC_XII	8
138	EveryonesUncle	8
138	Shin69	8
138	monolu	8
147	GarthWiest	7
147	shdesolt	7
147	LeauVox4921	7
147	Avrelion	7
147	PeteO1995	7
147	dendydoom	7
147	RodSerlingCringe	7
147	NoChumpChange	7
147	NameGenerat0r	7
147	BumbleBeever	7
147	__tomato	7
147	LeeMcGee30	7
159	Krasnal1337	6
159	Iagoku	6
159	IWorkAtIkea	6
159	Fullut	6
159	surfinggiraffejp	6
159	Skylord_Luke	6
159	fred870d	6
159	Sky_light_KING	6
159	Jij0	6
159	PlzNoBM	6
159	EcksD	6
170	Groovy_MoonBird	5
170	I_Am_Mushkin	5
170	RebelAndroid	5
170	TheSecondLord	5
170	TheDankPlatypus	5
170	magmaniacmc	5
170	Pootis11	5
170	SvenskaHugo	5
170	a_smol_bean	5
170	OfficerAnvil	5
170	oxfordschool	5
181	diamondgolem35	4
181	tuckerdoodle	4
181	12Magner05	4
181	Smashic	4
181	emrekn	4
181	phomic	4
181	CarltheCuck	4
181	ooga47	4
181	claivin	4
181	SammiWolfGirl	4
181	Catharsist	4
181	Nargotah	4
181	KingMatthew506	4
181	Eczbek	4
195	littlesophiagirl	3
195	The_Great_Jake	3
195	BlancoFlaco	3
195	rarrq	3
195	wiqor	3
195	Kkanot	3
195	4774	3
195	Inchef	3
195	Bolete	3
195	wTXop	3
195	Werbe	3
195	Moofyman	3
195	LeGold	3
195	ADEXTV	3
195	AlexChristian	3
195	NYJ	3
195	DarlaMeow	3
195	Warlord324	3
195	lcvezra	3
195	CalebDHawk	3
215	PhantomsGhost_	2
215	AgressiveEggdog	2
215	La_Conne	2
215	Hpdinosaur	2
215	ShedJr_	2
215	Myszoaz	2
215	DBoydart303	2
215	picardred	2
215	bloodbiter	2
215	pr33tu	2
215	TheDiamondCG	2
215	fade_emerge78823	2
215	finbob5	2
215	xxPipperDipperxx	2
215	hcb238	2
215	thewindmillman	2
215	thgrocks	2
215	lizardfightclub	2
215	sxc_	2
215	Maenara	2
215	Wowful	2
215	Deathkob	2
215	The_Skramz	2
215	DanTheBuilderino	2
215	Leeeegend	2
215	Xclax101	2
215	PortlyPete69	2
242	Foof13	1
242	KingFaenor	1
242	ssleepless	1
242	Paleshield	1
242	Wooptey	1
242	ewsophie	1
242	T045RTY	1
242	H72l9w	1
242	Whiterooster001	1
242	dopplexd	1
242	Boboczus	1
242	SteveCraftBlocks	1
242	G1ldor	1
242	Awyrlas	1
242	NotMeanttoChange	1
242	Mookle96	1
242	intropass	1
242	gcaisawesome	1
242	Yuvl	1
242	SHAOBADMAN	1
242	Giannism	1
242	ChillenChiggen	1
242	SlayerCrypto	1
242	jedi_george	1
242	RyuNeko932000	1
242	dualvoidzz	1
242	Truckoss	1
242	BRRRN179	1
242	CarryLine	1
242	Rasmanden	1
242	Gryglu583	1
242	Fuhrer_Teemo	1
242	Deerfoot	1
242	_Laverne_	1
242	33sudo	1
242	Nagasaki_Riku	1
242	ayamefag	1
242	TheEnderman548	1
242	07shiny	1
242	pixelviolin	1
242	MineMaster0012	1
242	tsitrawhy	1
242	SSytex_X	1
242	HAruSAme14	1
242	ItsJunoIGuess	1
242	mawileite	1
242	FelixPSY375	1
242	JasmineGK	1
242	adiccting01	1
242	Powowowow	1
242	CrazyPotater	1
242	h2p_emrld	1
