rank	username	minecraft:mined/minecraft:stripped_warped_hyphae
1	Manaateee	1280
2	Xalithia	409
3	EveryonesUncle	164
4	TheSecondLord	155
5	pretty_pink_reno	116
6	StarCookiees_	111
7	Yamdalorian	72
8	rarrq	65
9	Mattesco	61
10	MattieHD	57
11	SpacesickPrism	53
12	pintsizedrogue	16
12	bl1ss0	16
14	SuperPooch06	14
15	noam464	12
15	fragrantmonke444	12
17	Spacewardharpy7	11
18	00000000-0000-0000-0009-01fe065167f0	9
19	hermmm_	7
20	kekhon	6
21	Huwulling	3
21	Tersea_	3
21	Fuad_R	3
21	Kowcio_	3
21	Steelynan	3
26	12Magner05	2
26	pixelviolin	2
28	Mahoose	1
28	iSammael	1
28	Legendosh	1
