rank	username	minecraft:mined/minecraft:cherry_hanging_sign
1	Lez_	29
2	StarCookiees_	6
3	pintsizedrogue	5
3	SteveCraftBlocks	5
3	xolstoi	5
6	Jackattack53	1
6	Hyp3rion_	1
6	OreTheBear	1
6	oscminus	1
