rank	username	minecraft:mined/minecraft:acacia_button
1	Jackattack53	21
2	FreddyFart	14
3	ImpavidArcher	12
3	Kowcio_	12
5	Mahoose	11
6	beeperbeeper5	9
7	legal_tax_evader	7
7	Enderxz3	7
9	MeowMeowMcmuffin	6
9	SvenskaHugo	6
9	Ezekson	6
12	pintsizedrogue	4
12	Bandito_Roamer	4
12	abdomera	4
12	12Magner05	4
12	RobotMinion101	4
12	Manaateee	4
18	Merv__	3
18	Aavermu	3
18	Moofyman	3
18	duqboy	3
18	Soplight	3
18	Steelynan	3
24	CLG_Kata	2
24	lorpus	2
24	Mattesco	2
24	PigDab	2
24	starbits140	2
24	Yamdalorian	2
30	Groovy_MoonBird	1
30	Lez_	1
30	Blackberry1310	1
30	jushykins	1
30	Di_infiri	1
30	thewindmillman	1
30	AlexxO_o	1
30	jewbacaman	1
30	EveryonesUncle	1
30	ProfessorDiaper	1
30	StarCookiees_	1
30	Soul_Atreus	1
30	laron58	1
30	EcksD	1
30	TheWickedBird	1
