rank	username	minecraft:mined/minecraft:black_carpet
1	joethahobo	9893
2	Hermanni__	3790
3	noam464	3453
4	Creativebuilder2	3149
5	SvenskaHugo	2790
6	HellsSponge	2287
7	beeperbeeper5	1933
8	CattSoup	1814
9	Manaateee	1595
10	YungMaki	1543
11	Blaiku	1281
12	mwrty	1052
13	Lez_	806
14	SaucyDark	687
15	AdmiralSmoke	640
16	Swexti	496
17	jnp_gaming	468
18	Mahoose	406
19	500am	367
20	FreakGenius	366
21	burbankbuilder28	312
22	PigDab	257
23	bloodbiter	250
24	Quaintster	233
25	MAns_44	232
26	Crowman1	213
27	Rumpletaezer	208
28	titanlax	201
29	eitanzaki	180
30	weabis	167
31	kekhon	166
32	Mattesco	149
33	Eraxa	146
34	thewindmillman	145
34	cichy096	145
36	fluddd	142
37	TheShyPig	128
37	Kowcio_	128
39	Kubeusz2010	117
40	Njensen7	113
41	Hyp3rion_	111
42	Lord_Jord	108
43	EMC_	102
43	El_Jalapeno	102
45	Spacewardharpy7	99
46	Snowflowe	96
46	IamCL4SSY	96
48	cedric72	91
48	Legendosh	91
50	Touched_Bread	89
51	RoskobiOne	87
52	Huwulling	81
53	_i_ERROR_i_	71
53	EcksD	71
55	Akoot_	66
56	Di_infiri	59
57	Merv__	57
57	Factoroni	57
59	TheSecondLord	55
60	bigstankyy	53
61	Smashic	52
62	Ryan_GEMS	51
63	thescout7	50
64	NameGenerat0r	47
65	Blackberry1310	44
66	Steelynan	43
67	rarrq	42
68	xxPipperDipperxx	41
69	emrekn	40
69	yheece	40
71	Reamdin	39
72	LeonelSalamanca	35
72	UrbanPlanningEx	35
74	Kubelz	34
74	non089	34
76	pintsizedrogue	33
76	Mr_Byzantine	33
76	Meatlaugh	33
79	H72l9w	32
80	Onennon	31
81	ConnorDanky_	30
82	Soplight	29
83	ProfessorBee	27
83	himak1	27
83	lcvezra	27
86	420BreadLizard	24
87	Wowful	23
87	Racengan	23
87	Enderxz3	23
90	dabloons	22
90	Frozil20	22
92	Groovy_MoonBird	21
92	__Fanda__	21
92	Krowuss	21
95	Werbe	18
95	FelixPSY375	18
95	PlasticOtari	18
98	gcaisawesome	17
99	Inbefour	16
100	RebelAndroid	15
100	Moofyman	15
102	NieToksikpl	14
102	m_be9	14
104	mihimihimihi	13
105	Fullut	12
105	GreedyFern8581	12
107	Sleek_Storm_721	11
107	lillips	11
107	tsitrawhy	11
107	PlzNoBM	11
107	CalebDHawk	11
107	camando92	11
113	lordpipe	10
113	Kyrum2169	10
113	Dogcorn69420	10
113	Jimb0nat0r	10
117	Incinere	9
117	12Magner05	9
117	MakeHistory157	9
117	TheALV	9
121	squigglybones	8
121	ImpavidArcher	8
121	NinjaKnifeKill	8
121	Megarboh	8
121	RIPB0ZO	8
121	SuperPooch06	8
127	6king6colt6	7
127	Tolhart	7
127	ITDV	7
127	r123moore	7
127	okCrypto	7
127	_Bguette_	7
127	__tomato	7
127	obzii	7
135	Winklepicker279	6
135	Jackattack53	6
135	Gryglu583	6
135	CuzIm2Kev	6
135	Tyrannosplart	6
135	Segotep999	6
135	Spenduh	6
135	Ezekson	6
143	AuroraValkyrie	5
143	TheWildMateo	5
143	KlausVonStiglitz	5
143	Blu3beast	5
143	pixelviolin	5
143	UCP_TheKingK	5
143	starbits140	5
143	Quotary	5
143	TechnoNinja64	5
152	ShedJr_	4
152	heckface	4
152	SteveCraftBlocks	4
152	intropass	4
152	oscminus	4
152	claivin	4
152	Winston_Ingram	4
152	_3Stump_	4
152	OfficerAnvil	4
161	xvphmura	3
161	CLG_Kata	3
161	chipklip	3
161	Cryptacity	3
161	NoxxxxiS	3
161	TheDankPlatypus	3
161	hanaryheatwave	3
161	Leyna3	3
161	fw3xy74	3
161	NomadicRobin_	3
161	aldplaysmc	3
161	luseis	3
161	3_Solar_3	3
161	stavgod	3
161	MineMaster0012	3
161	djancak	3
161	PortlyPete69	3
161	SpacesickPrism	3
161	xolstoi	3
180	_stets	2
180	teslawolf38	2
180	Hysna	2
180	Natty	2
180	nbbt	2
180	MinttyFressh	2
180	MattieHD	2
180	IKeepDying	2
180	Hoshi	2
180	Zaridey	2
180	Drake_l0ver	2
180	fr_ser	2
180	Chromary	2
180	masskedman	2
180	Sral7	2
195	NatalieTW	1
195	PhantomsGhost_	1
195	Foof13	1
195	KarlKaek	1
195	gren_ben	1
195	Hpdinosaur	1
195	Alteriity	1
195	ZaneABrain	1
195	SquadMonster	1
195	Sleepy_Time_	1
195	Ssor69	1
195	CaracolCxnt	1
195	Jakobo1337	1
195	Moyd_	1
195	catandmoose	1
195	pr33tu	1
195	_Dean_123	1
195	TheDiamondCG	1
195	Cambo5000	1
195	set67	1
195	Inchef	1
195	LittleIan365	1
195	drunkeeez	1
195	tobinwilliams	1
195	Bumpy419	1
195	HAIRYCLOUD626	1
195	Blitzwingbanter	1
195	d4mndaniel2	1
195	The_Cruncy	1
195	ougstur	1
195	halfwayup	1
195	Klerick	1
195	GooseWithin	1
195	MrQuanQuan	1
195	yulgur1	1
195	EveryonesUncle	1
195	Deathkob	1
195	Lutres_	1
195	DemTechAlpha	1
195	DarlaMeow	1
195	501g	1
195	C0oOK13M0N5T3R	1
195	Nycteus_	1
195	MightyWertu	1
195	iSammael	1
195	WyngGoy	1
195	Ze_BaronKrigler	1
195	Optiprimus	1
195	ReyTheLegend	1
195	Pundehoo	1
195	SammiWolfGirl	1
195	MilleGrug	1
195	Eczbek	1
195	ChrisChan	1
195	ZoomieZoomie	1
195	Iamthejo	1
195	smogfrog	1
195	icim	1
195	MJgaming_	1
