rank	username	minecraft:mined/minecraft:jungle_stairs
1	Inbefour	235
2	cedric72	215
2	Enderslayerxz3	215
4	EveryonesUncle	203
5	kinas45y5	195
6	Freak_Genius	189
7	TheShyPig	184
8	Factoroni	176
9	BronkerBrum	106
10	beeperbeeper5	96
11	Onennon	92
12	Kukkelikuk	88
13	Stiar	84
14	Steelynan	83
15	titanlax	78
16	SvenskaHugo	74
17	Prodiginus	70
18	thescout7	65
19	Airem_Core	61
19	Smoke____	61
21	CookTheChef3	46
22	Hyp3rion_	43
23	soundad	36
24	Deathkob	34
25	TechnoNinja64	33
26	SaucyDark	31
26	Winklepicker279	31
28	PigDab	30
29	Racengan	28
30	Akoot_	27
31	Merv__	26
32	joethahobo	25
33	xxPipperDipperxx	22
34	himak1	21
34	Toiton	21
36	eitanzaki	20
36	Soplight	20
38	kekhon	19
38	PlasticOtari	19
40	Windo_licker	17
40	WET_WET_WET	17
40	El_Jalapeno	17
43	rarrq	16
43	500am	16
45	MyNameIsJobo	14
45	Bumpy419	14
47	ShedJr_	13
47	Zythose	13
47	Lord_Jord	13
47	jnp_gaming	13
51	The_slideV3	12
52	AnnieBathory	11
52	oxfordschool	11
54	Bandito_Roamer	10
55	loveseeker	9
55	ItsJunoIGuess	9
57	chrolus	8
57	HellsSponge	8
57	Eraxa	8
57	KingMatthew506	8
57	Rainaldus	8
62	Kamflame10	7
62	thewindmillman	7
62	King_Pancake1	7
62	RobotMinion101	7
62	1442	7
67	Blackberry1310	6
67	07shiny	6
67	coobert42	6
70	the_fireminer	5
70	LotusProject	5
70	Ecplosive	5
70	Hoid_the_Roamer	5
70	ooga47	5
70	Rasmanden	5
70	Vorlice	5
70	Hylo482y	5
78	AuroraValkyrie	4
78	teslawolf38	4
78	CryoInferno_	4
78	T045RTY	4
78	TheSecondLord	4
78	type11	4
78	fred870d	4
78	LexMakesHistory	4
86	dimondking777	3
86	Foof13	3
86	I_Am_Mushkin	3
86	bloodbiter	3
86	Awyrlas	3
86	intropass	3
86	Di_infiri	3
86	burbankbuilder28	3
86	BlossomOwO	3
86	Maenara	3
86	wezzzi	3
86	yulgur1	3
86	Nekomin0	3
86	OfficerAnvil	3
86	KASAN420	3
101	Silenttieg	2
101	Mahoose	2
101	301851	2
101	Swexti	2
101	PegLegPete93	2
101	SuperPooch06	2
101	Queen_Jalapeno	2
101	natajimi	2
101	Fuhrer_Teemo	2
101	chipklip	2
101	Quaintster	2
101	Kferno	2
113	rats_life	1
113	pintsizedrogue	1
113	Groovy_MoonBird	1
113	KarlKaek	1
113	ImpavidArcher	1
113	FirsTimeGamingTV	1
113	Fullut	1
113	Covalents	1
113	TylerDupree	1
113	Noah_Bez	1
113	noam464	1
113	BlueZabu	1
113	Bazongoman	1
113	mariominejedi	1
113	andy_rex	1
113	_Boipl_	1
113	Kouridragon	1
113	CarryLine	1
113	LilLizardWizard	1
113	NomadicRobin_	1
113	ori0le	1
113	lillips	1
113	Keeogwi	1
113	Barlycorn	1
113	Spacewardharpy7	1
113	sp00ky_ghost977	1
113	voiding_	1
113	Segotep999	1
113	SammiWolfGirl	1
113	Skippeh	1
113	Ezekson	1
113	Nicserso	1
113	MusicMe1005	1
113	EcksDofficial	1
113	diggydog67	1
