rank	username	minecraft:mined/minecraft:prismarine_stairs
1	TheShyPig	387
2	hm947	225
3	Legendosh	188
4	Fullut	160
5	h2p_emrld	109
6	ImpavidArcher	100
7	Powowowow	95
8	Lord_Jord	85
9	Notta	80
10	Ezekson	76
11	skitzxo	73
12	TheSecondLord	67
13	m_be9	66
14	joethahobo	60
15	Hiryu27	59
16	Soplight	51
17	FreakGenius	48
18	eitanzaki	46
19	Yamdalorian	44
20	PlasticOtari	41
21	Merv__	40
21	Vellu21	40
23	Bumpy419	31
24	Mahoose	28
24	PortlyPete69	28
26	rarrq	25
27	Maenara	20
28	Hyp3rion_	18
28	TheWickedBird	18
30	Frozil20	17
30	Enderxz3	17
32	corvidpartyfor6	13
32	YungMaki	13
34	lizardfightclub	12
34	xDraggin	12
36	Incinere	9
36	gcaisawesome	9
38	drunkeeez	8
39	LittleBug562	7
39	HellsSponge	7
41	Mr_Byzantine	6
41	Blu3beast	6
41	Groundler	6
41	Spacewardharpy7	6
41	2blox_	6
46	CLG_Kata	5
46	noam464	5
46	EngagedGrub41	5
49	EMC_	4
49	myaccountwasgone	4
49	poopybh	4
49	Arceus1975	4
49	Mattesco	4
54	Di_infiri	3
54	Jackattack53	3
54	fragrantmonke444	3
54	Snowflowe	3
54	The_slideV3	3
54	Eraxa	3
54	TechnoNinja64	3
61	pintsizedrogue	2
61	Tersea_	2
61	ratglock	2
61	Vorlice	2
61	Steelynan	2
66	beeperbeeper5	1
66	CliffEmAll	1
66	ooga47	1
66	Cruncy_	1
66	GooseWithin	1
66	Blaiku	1
