rank	username	minecraft:mined/minecraft:warped_stairs
1	rarrq	433
2	beeperbeeper5	206
3	kekhon	167
4	pintsizedrogue	160
5	Lutres_	148
6	SpacesickPrism	139
7	Mahoose	110
8	StarCookiees_	109
9	Lez_	106
10	Marbz_	85
10	Manaateee	85
12	TheEnderMan548	83
12	Enderxz3	83
14	Dakar_	67
15	YungMaki	66
16	Kowcio_	64
17	Biites	49
18	Akoot_	47
19	AdmiralSmoke	45
20	Fullut	43
20	Steelynan	43
22	Eraxa	40
22	00000000-0000-0000-0009-01ff0c3e5e4f	40
24	weabis	38
25	Apollo_993	36
26	Legendosh	32
27	Ezekson	28
28	noam464	24
29	Hpdinosaur	23
29	Hoid_the_Roamer	23
29	Nicserso	23
32	Lord_Jord	19
33	Mr_Byzantine	18
33	Fuad_R	18
33	CalebDHawk	18
36	Jackattack53	15
37	HolyVenom	14
38	Xalithia	13
38	Jonafrog99	13
40	thewindmillman	12
40	0Vyp_	12
40	Optiprimus	12
43	BobDeBouwer1337	11
43	Shogunite	11
45	TheDankPlatypus	10
46	_Huge_Male_	9
46	joethahobo	9
46	TheSecondLord	9
46	PlasticOtari	9
50	12Magner05	8
50	Vegvisir	8
50	Decaying_Lotus	8
53	KarlKaek	7
53	catandmoose	7
53	EveryonesUncle	7
56	PazinGaming	6
57	ITDV	4
57	IgnoredBee	4
57	luseis	4
57	Soplight	4
57	SammiWolfGirl	4
57	Jimb0nat0r	4
63	Wooptey	3
63	Myszoaz	3
63	jessewegottacook	3
63	PigDab	3
63	LexMakesHistory	3
68	Sleepy_Time_	2
68	Alfred603	2
68	500am	2
68	halfwayup	2
68	SvenskaHugo	2
73	BPTY4618	1
73	Blackberry1310	1
73	SteveCraftBlocks	1
73	SuperPooch06	1
73	ooga47	1
73	Mattesco	1
73	FreakGenius	1
73	diggydog67	1
