rank	username	minecraft:mined/minecraft:lime_stained_glass
1	beeperbeeper5	347
2	Mythic1130	338
3	stavgod	289
4	NameGenerat0r	280
5	_Virify_	273
5	Lez_	273
7	eitanzaki	259
8	Inbefour	229
9	noam464	194
10	Hyp3rion_	137
11	thewindmillman	129
12	PortlyPete69	116
13	Spacewardharpy7	85
14	IamCL4SSY	78
15	oreee	66
16	gusstationwerker	65
17	gcaisawesome	64
18	Groundler	63
19	Jackattack53	62
20	El_Jalapeno	61
21	Werbe	60
22	500am	54
23	Fuad_R	53
24	MyNameIsJobo	52
25	Fullut	49
26	ROY4LE	46
27	Swexti	41
28	EveryonesUncle	36
29	lordpipe	32
30	fffMike	31
31	RoskobiOne	29
32	Mattesco	22
33	Racengan	18
34	Smoke____	16
35	EcksD	14
36	pixelviolin	12
37	Wooptey	11
38	mwrty	10
39	The_slideV3	9
40	SaucyDark	7
40	Snowflowe	7
40	Dusk_95	7
43	AuroraValkyrie	6
43	titanlax	6
43	Inchef	6
46	masskedman	5
46	ProfessorDiaper	5
48	CliffEmAll	4
48	xxPipperDipperxx	4
48	Onennon	4
48	luseis	4
48	lillips	4
48	Kowcio_	4
48	underscore_2	4
48	MilleGrug	4
48	little_dUki	4
57	Groovy_MoonBird	3
57	rarrq	3
57	thescout7	3
57	Maenara	3
57	jnp_gaming	3
62	LionelHutzESQ	2
62	Blackberry1310	2
62	Kakolbus	2
62	SlayerCrypto	2
62	Di_infiri	2
62	PigDab	2
62	ConnorDanky_	2
69	Mahoose	1
69	joethahobo	1
69	Z3braYTIL	1
69	groggregg42	1
69	Hoshi	1
69	Chromary	1
69	Bumpy419	1
69	XXyeetmasterXX3	1
69	Akoot_	1
69	claivin	1
69	MightyWertu	1
69	WiseMasterr	1
69	KingMatthew506	1
