rank	username	minecraft:mined/minecraft:potted_acacia_sapling
1	KarlKaek	23
2	Mahoose	18
3	dopplexd	6
4	pintsizedrogue	4
4	bloodbiter	4
6	kekhon	3
6	fkGrim	3
8	BlancoFlaco	2
9	Ardennes	1
9	Inchef	1
9	2Stout	1
9	ApophisNova	1
9	Werbe	1
9	Dusk_95	1
9	sadvavilloso	1
9	MyNamaSheff	1
