rank	username	minecraft:mined/minecraft:green_candle
1	pintsizedrogue	29
2	_HoneySlime_	3
3	EMC_	2
4	Merv__	1
4	TheSecondLord	1
4	Snowflowe	1
4	lordpipe	1
