rank	username	minecraft:mined/minecraft:magenta_wool
1	beeperbeeper5	2102
2	EcksDofficial	366
3	Wooptey	164
4	NomadicRobin_	157
5	oxfordschool	144
6	Ezekson	139
7	mwrty	100
8	Blackberry1310	95
9	Hermanni__	84
10	TheEnderman548	82
11	Chromary	79
12	OtariCharlie	72
13	Smoke____	59
14	500am	52
15	Afinnity	50
15	YungMaki	50
17	PlzNoBM	29
18	6king6colt6	22
19	WET_WET_WET	20
20	lordpipe	19
21	Mahoose	18
22	queenalina123	16
23	AJplaysMC_	14
24	noam464	13
25	TheSecondLord	12
26	Werbe	10
26	Inbefour	10
26	HellsSponge	10
26	AssEatrAndLicker	10
30	Rumpletaezer	8
31	Fullut	7
32	SoftSix	6
32	ROY4LE	6
32	PeteO1995	6
32	Legendosh	6
36	lcvezra	5
37	Merv__	4
37	RebelAndroid	4
37	kekhon	4
37	RobotMinion101	4
37	Blaiku	4
37	Groundler	4
37	Eraxa	4
37	ProbsNotNova	4
37	Quotary	4
46	InfernalMound	2
46	xxPipperDipperxx	2
46	Jackattack53	2
46	The11thDoctor	2
46	Fuhrer_Teemo	2
46	Freak_Genius	2
46	Frozil12	2
46	Xclax101	2
54	ImpavidArcher	1
54	eitanzaki	1
54	LotusProject	1
54	Zaridey	1
54	PigDab	1
54	ILoveCarrot	1
54	Captain_Nasty	1
54	chipklip	1
54	NameGenerat0r	1
54	Quaintster	1
54	Blu3beast	1
54	WyngGoy	1
54	KG1999	1
54	Kowcio_	1
54	Enderslayerxz3	1
54	kinas45y5	1
