rank	username	minecraft:mined/minecraft:red_tulip
1	Legendosh	328
2	500am	296
3	pintsizedrogue	239
3	TheWickedBird	239
5	lordpipe	202
6	Rasmanden	190
7	Steelynan	164
8	Di_infiri	161
9	TheShyPig	133
10	Enderxz3	132
11	Fullut	126
12	Mahoose	124
13	YungMaki	121
14	Hyp3rion_	117
15	SaucyDark	115
16	Pofen	109
17	Merv__	102
18	Rumpletaezer	99
19	Killswitch_RW	93
19	wezzzi	93
19	Njensen7	93
22	beeperbeeper5	91
23	El_Jalapeno	90
24	AnnieBathory	84
25	Racengan	82
26	KeruNatsema	72
26	XxCookiequeenxX	72
26	FreakGenius	72
29	xxPipperDipperxx	71
29	Krowuss	71
31	YATO202010	70
32	ConnorDanky_	69
33	kekhon	64
34	Onennon	61
34	SpacesickPrism	61
36	wwwwinnebagoooo	57
37	DarlaMeow	55
38	LeauVox4921	54
39	SSytex_X	53
40	Bandito_Roamer	52
40	toetagnyc	52
42	IAmTheWalrus910	51
43	3_Solar_3	50
43	Yamdalorian	50
45	BlancoFlaco	49
46	RoskobiOne	45
46	Marbz_	45
46	_k2x	45
49	Lez_	41
49	Snowflowe	41
49	__tomato	41
52	Dumkii	37
52	KlausVonStiglitz	37
54	PeteO1995	36
54	TheWildMateo	36
56	CaracolCxnt	35
56	PlasticOtari	35
58	Malorn_Aetherius	34
58	luseis	34
60	ImpavidArcher	32
60	Inbefour	32
62	Deathkob	31
63	CornOnTheCobalt	30
64	eitanzaki	29
64	Buuck_	29
64	Sheldor097	29
67	Lirael42	28
68	Kakolbus	27
68	sq0id	27
70	Blazebit	26
70	Boipl	26
70	Truckoss	26
73	noam464	25
73	Akoot_	25
73	MrShojo	25
73	miramyu	25
77	rarrq	24
77	Skylord_Luke	24
77	HesDemonPants	24
80	skitzxo	23
81	nattybears	22
81	surfinggiraffejp	22
81	Arceus1975	22
84	Bumpy419	21
84	Xclax101	21
84	diggydog67	21
87	CoffeeNoir	20
87	Blackberry1310	20
87	Windo_licker	20
87	wobn	20
91	StinkyDiplomat	19
91	TheKingK_	19
93	Awyrlas	18
93	Bawbman	18
95	Apollo_993	17
95	Zippyzam	17
95	thescout7	17
95	SuperPooch06	17
95	F_Uhre	17
95	TheSeismicDuck	17
101	Wooptey	16
101	fluddd	16
101	Vicemaniac	16
104	MattieHD	15
104	Winklepicker279	15
104	pappaberg	15
104	Shin69	15
104	Kowcio_	15
104	Soplight	15
104	_i_ERROR_i_	15
104	TrollerYT	15
112	Dakar_	14
112	LuisCarreroBla	14
112	SammiWolfGirl	14
112	jnp_gaming	14
116	Huwulling	13
116	titanlax	13
116	jushykins	13
116	grislgrobl	13
120	Cowison	12
120	DinoDoctor_	12
120	RebelAndroid	12
120	excelsionprime	12
120	kars0n	12
120	epiksk8erduck	12
120	Mr_Sun15	12
120	AuroraSkies	12
120	master9067	12
120	Vol_Rod33	12
120	HellsSponge	12
131	Napoleonpancake	11
131	6king6colt6	11
131	sufjanlover	11
131	Quincannon	11
135	Prismyst	10
135	_HoneySlime_	10
135	KillerNekoRain	10
135	SvenskaHugo	10
135	satuern	10
140	AuroraValkyrie	9
140	Reamdin	9
140	_Nat666	9
140	_Dean_123	9
140	TheDiamondCG	9
140	Kubelz	9
140	MyNameIsJobo	9
140	caesarleon	9
140	corpsecity	9
140	Spacewardharpy7	9
140	noodlesforbrains	9
151	TheSecondLord	8
151	m_be9	8
151	Cortexia	8
151	Scathra	8
