rank	username	minecraft:mined/minecraft:lever
1	T045RTY	479
2	HellsSponge	404
3	Di_infiri	323
4	eitanzaki	296
5	noam464	295
6	Hyp3rion_	240
7	beeperbeeper5	239
8	Historical_Sand	237
9	thescout7	235
10	PortlyPete69	208
11	Jackattack53	204
12	MyNameIsJobo	185
13	thewindmillman	184
14	Zythose	153
15	Freak_Genius	141
16	lillips	131
17	Smoke____	124
18	Arceus1975	123
19	Dedalus36	122
20	claivin	111
21	Spacewardharpy7	106
22	censorsheep	98
23	Soplight	97
24	TechnoNinja64	94
25	PigDab	86
25	BumbleBeever	86
27	ImpavidArcher	83
27	Ezekson	83
29	kekhon	80
29	Racengan	80
31	Blackberry1310	76
32	EMC_	74
33	OfficerAnvil	71
34	Bumpy419	70
35	PlasticOtari	68
36	Strangemonkey71	63
36	EcksD	63
38	gcaisawesome	58
38	Blu3beast	58
40	GravitySaint	57
41	El_Jalapeno	56
41	pixelviolin	56
43	PhantomsGhost_	55
44	Merv__	53
44	Mahoose	53
44	joethahobo	53
44	TheSecondLord	53
48	EveryonesUncle	52
49	bigstankyy	51
50	Werbe	49
50	FreddyFart	49
52	_Dean_123	46
52	SammiWolfGirl	46
54	Warlord324	45
55	sp00ky_ghost977	44
56	Fullut	43
57	MightyWertu	41
58	ProfessorBee	39
58	Skippeh	39
60	12Magner05	37
60	Factoroni	37
62	The_slideV3	36
62	BlankityMcBlank	36
64	Hermanni__	35
64	Quotary	35
66	lordpipe	34
66	07shiny	34
68	pintsizedrogue	32
68	RebelAndroid	32
68	Xclax101	32
71	rarrq	31
71	IAmTheWalrus910	31
73	Lutres_Torane	30
73	jnp_gaming	30
75	YungMaki	29
75	Enderslayerxz3	29
77	Wowful	28
77	sebastiensaborio	28
79	stuy9	27
80	Inbefour	26
80	Deathkob	26
80	Frozil12	26
83	500am	25
83	xxPipperDipperxx	25
83	Snowflowe	25
83	FishyBoy3811	25
87	Jovaphobic	24
87	Nicky_H225	24
87	eiC_	24
87	SSytex_X	24
91	slkiey	23
92	fffMike	22
93	eviltunix	21
93	RobotMinion101	21
95	bloodbiter	20
95	TheShyPig	20
95	Sky_light_KING	20
95	ese_wn_po	20
95	DanTheBuilderino	20
95	WyngGoy	20
101	AnnieBathory	19
101	fkGrim	19
101	mawileite	19
101	Kubeusz2010	19
105	m_be9	18
105	__tomato	18
105	KingMatthew506	18
105	Legendosh	18
105	2blox	18
110	teslawolf38	17
110	SlayerCrypto	17
110	burbankbuilder28	17
110	Hiryu27	17
110	Akoot_	17
110	JESS_THE_RERE	17
110	SkateboardR6	17
110	cichy096	17
118	ivorico	16
118	jacxhadow	16
118	SteveCraftBlocks	16
118	MinerDec	16
118	cedric72	16
118	DemTechAlpha	16
118	Jordan_R	16
125	Groovy_MoonBird	15
125	heckface	15
125	Ardennes	15
125	TTNG	15
125	Lord_Jord	15
125	Jiminie	15
125	LexMakesHistory	15
125	ayamefag	15
125	Kateesaur	15
134	Guillemet	14
134	mwrty	14
134	SellyZ	14
134	Kouridragon	14
134	Blaiku	14
134	TheDumbHuman	14
134	Eraxa	14
134	Shin69	14
134	starbits140	14
134	CalebDHawk	14
134	alderban107	14
145	Tobinator_007	13
145	SaucyDark	13
145	Nach0Bear	13
145	mariominejedi	13
145	Fuhrer_Teemo	13
145	Hisiste	13
145	oxfordschool	13
152	KarlKaek	12
152	Swexti	12
152	dopplexd	12
152	Paintz	12
152	Skylord_Luke	12
152	Maenara	12
152	chipklip	12
152	Idobetoasty	12
152	Sral7	12
161	xXTheWolfmanXx	11
161	ssleepless	11
161	jushykins	11
161	egglapras	11
161	r123moore	11
161	TheDankPlatypus	11
161	Rumpletaezer	11
161	masskedman	11
161	valkam13	11
161	KlausVonStiglitz	11
161	Nagasaki_Riku	11
161	Luigipunch989	11
161	anbbang	11
161	JayToe	11
175	_Virify_	10
175	Hyugo	10
175	H72l9w	10
175	fr0stss	10
175	ayqq	10
175	CarltheCuck	10
175	yulgur1	10
175	Barlycorn	10
175	Dusk_95	10
175	AvaRosey	10
175	KG1999	10
175	obzii	10
175	PlzNoBM	10
175	jcool7	10
175	HesDemonPants	10
190	weezygator	9
190	_stets	9
190	tsohomie	9
190	Awyrlas	9
190	Inchef	9
190	CaptainSteve345	9
190	Winklepicker279	9
190	loveseeker	9
190	ApophisNova	9
190	Onennon	9
190	audiocracked	9
190	madderfall	9
190	DarlaMeow	9
190	Steven1282598	9
190	Typadopoulos	9
190	MyNamaSheff	9
206	SuperPooch06	8
206	Aerqophs	8
206	seramalen	8
206	ILoveCarrot	8
206	Gryglu583	8
206	NameGenerat0r	8
206	radioactv_jelly	8
206	yatsuta	8
206	vandmanden	8
215	picardred	7
215	ratglock	7
215	NotMeanttoChange	7
215	Xalithia	7
215	Nyxiom_	7
215	ClemenPine	7
215	proxivitoid	7
215	_ritter	7
215	Leithz6	7
215	Nicserso	7
225	Houstonion	6
225	awesomeoneme	6
225	MOSS000	6
225	wiqor	6
225	Kakolbus	6
225	CaptainAvenger7	6
225	Bloo2406	6
225	ReyTheLegend	6
225	FelixPSY375	6
225	Zoeyfortnite	6
225	Teebone15	6
236	Cowison	5
236	SlowMoNinja1994	5
236	Flores991	5
236	youhjjhhhjj	5
236	Natty	5
236	titanlax	5
236	Rich_Kat	5
236	MinttyFressh	5
236	TheThomas69	5
236	_Nuf	5
236	Motsaro	5
236	Mewar	5
236	platinumzero	5
236	M_Patata	5
236	tobinwilliams	5
236	Project_MKBRD	5
236	Kim_Jong_eel	5
236	dezxalo	5
236	Aangezet	5
236	DTwenty	5
236	Syropatathe	5
236	Soap_Bender	5
236	MustaLoordi	5
236	Nycteus_	5
236	_czarny	5
236	csendeslol	5
236	Cocoamallows	5
236	Optiprimus	5
236	underscore_2	5
236	MilleGrug	5
266	Louiis123	4
266	RyuTurtle	4
266	KingFaenor	4
266	Incinere	4
266	Jackster03	4
266	Comma__	4
266	eclipseboi	4
266	Kkanot	4
266	paranoid_plant	4
266	Scathra	4
266	Covalents	4
266	BlueZabu	4
266	Avermu	4
266	gabriels543	4
266	AJplaysMC_	4
266	Donutt	4
266	MustardDrinker	4
266	HolyVenom	4
266	TheSeismicDuck	4
266	avalan64	4
266	_Bguette_	4
266	Meatlaugh	4
266	Cyntrical	4
266	Fildyr	4
266	Matorz	4
266	MasterNueve	4
266	ItsDeltaMC	4
266	stavgod	4
266	Soul_Atreus	4
266	SvenskaHugo	4
266	Kowcio_	4
266	gaming4Naming	4
266	Kferno	4
266	xX_Stalin69_Xx	4
266	tartanboy	4
