rank	username	minecraft:mined/minecraft:dead_bush
1	Sral7	3301
2	500am	1024
3	pintsizedrogue	963
4	ConnorDanky_	700
5	MilleGrug	572
6	joethahobo	397
7	YungMaki	387
8	Mahoose	365
9	TheBananaKat	331
10	AdmiralSmoke	313
11	PlasticOtari	299
12	Frozil20	290
13	FreakGenius	287
14	TheShyPig	267
15	Spacewardharpy7	233
16	QuiCreans	228
17	RatatJuice	212
18	diggydog67	207
19	tuckerdoodle	205
20	KingMatthew506	197
21	oscminus	183
22	bmac2718	181
22	kekhon	181
24	PortlyPete69	176
25	Kowcio_	171
26	lordpipe	170
27	AltnumberF4	166
28	MovingFish7	162
29	HellsSponge	153
30	MirielThePastor	152
31	Marbz_	148
32	mariominejedi	132
33	Onennon	128
33	EveryonesUncle	128
35	beeperbeeper5	127
36	Blackberry1310	126
36	set67	126
38	noam464	124
39	TheSecondLord	122
40	SDMNAEK	120
41	xolstoi	118
42	ROY4LE	113
43	thewindmillman	109
44	luseis	106
45	ApophisNova	98
46	Legendosh	97
47	MyNamaSheff	96
48	PazinGaming	94
49	SammiWolfGirl	93
50	Blaiku	85
51	Rumpletaezer	84
52	yheece	83
53	2Stout	81
54	EcksD	77
55	Alteriity	73
56	MAns_44	72
57	RebelAndroid	71
58	Manaateee	69
58	SvenskaHugo	69
58	Jimb0nat0r	69
61	TheEnderMan548	68
62	Merv__	67
62	skrongus	67
64	Kim_Jong_eel	65
65	Rebytre	63
66	Vizzoid	62
67	Creativebuilder2	61
67	Enderxz3	61
69	Fullut	60
69	NomadicRobin_	60
69	mihimihimihi	60
69	Spenduh	60
73	Steelynan	59
74	Ezekson	55
75	EMC_	54
76	Nicserso	52
77	shineh10	50
77	Smashic	50
77	Kakolbus	50
80	gcaisawesome	49
81	Huwulling	48
81	SuperPooch06	48
83	eitanzaki	47
83	rarrq	47
83	Hyp3rion_	47
83	Nyxiom_	47
87	RoskobiOne	46
87	SpaceTurtleOX	46
89	_Huge_Male_	44
89	Di_infiri	44
89	SkateboardR6	44
92	PhantomsGhost_	43
93	CedeMC	41
93	Maenara	41
93	Inbefour	41
96	Sleek_Storm_721	40
96	bloodbiter	40
98	Bandito_Roamer	39
99	k_ce	38
99	WarMachina	38
99	TheSeismicDuck	38
99	StarCookiees_	38
99	Segotep999	38
104	ImpavidArcher	37
104	M_Patata	37
104	MasterNueve	37
107	excelsionprime	36
107	lillips	36
107	SprinklerMan	36
110	TechnoNinja64	35
111	Xalithia	34
111	Werbe	34
111	the_russell1611	34
111	CrazyPotater	34
115	CoffeeNoir	33
115	TheDankPlatypus	33
117	Cowison	32
117	TheMaster972	32
117	The11thDoctor	32
120	eviltunix	31
120	PaperCanvas	31
122	Mr_Byzantine	30
122	H72l9w	30
122	Racengan	30
125	Jonafrog99	29
126	imthatpikachu	28
127	Cryptacity	27
127	tortillatitan	27
127	Reneedium	27
130	SHAOBADMAN	26
130	MyNameIsJobo	26
130	Deerfoot	26
130	Hermanni__	26
134	Euclidoris	25
134	Zaridey	25
134	Skylord_Luke	25
134	SingedBread	25
134	halfbakedlasagna	25
139	Nucket	24
139	Hoid_the_Roamer	24
139	Skippeh	24
142	teslawolf38	23
142	IgnoredBee	23
142	Swexti	23
142	HAIRYCLOUD626	23
142	NameGenerat0r	23
142	claivin	23
142	BartekB19	23
142	TheALV	23
142	ZeroKraken	23
151	corvidpartyfor6	22
151	_Magdo_	22
151	GravitySaint	22
151	cog	22
155	Groovy_MoonBird	21
155	Deathkob	21
155	BlueTree_	21
155	djancak	21
155	jnp_gaming	21
155	WinterYoke	21
161	ShedJr_	20
161	Kokeech	20
161	BlankityMcBlank	20
164	Vryistal	19
164	CLG_Kata	19
164	Crowman1	19
164	XboxPanda	19
164	prizm_	19
164	Parcc	19
164	SirBreadward	19
171	NatalieTW	18
171	Notta	18
171	Bumpy419	18
171	DarlaMeow	18
171	Luigipunch989	18
176	Hysna	17
176	SellyZ	17
176	TheWildMateo	17
176	pixelviolin	17
180	kalzor	16
180	actuallycedric	16
182	hbaoo	15
182	KingFaenor	15
182	Wolf_Mauler_73	15
182	Wooptey	15
182	Scattman_	15
182	CollinMH06	15
182	King_Pancake1	15
182	_Bguette_	15
182	Tyrannosplart	15
182	ebanana	15
182	Xclax101	15
182	Cocoamallows	15
182	MadmanRaven	15
195	livingdaydreams	14
195	Lez_	14
195	lunathelemon	14
195	xxPipperDipperxx	14
195	groofles	14
195	ProfessorDiaper	14
195	xzvu	14
202	Nicky_H225	13
202	DSYisDizzy	13
202	theonlymagikarp	13
202	legal_tax_evader	13
202	Jackattack53	13
202	Sneaky_56	13
202	MustardSquid	13
209	j5ylim	12
209	Albertalo	12
209	trixterrx	12
209	Snowflowe	12
209	_8man	12
209	nut_e	12
209	Afinnity	12
209	yulgur1	12
209	Blu3beast	12
209	obzii	12
219	Ailmast	11
219	ECstardust	11
219	Ssor69	11
219	m_be9	11
219	KingEgg1	11
219	burbankbuilder28	11
219	Krowuss	11
219	AlexxO_o	11
219	dvlle	11
219	Karbl	11
219	__tomato	11
230	ColeSnyder	10
230	301851	10
230	Historical_Sand	10
230	12Magner05	10
230	PegLegPete93	10
230	GooseWithin	10
230	FreddyFart	10
230	_Karmaa	10
230	Weepingbiel	10
230	IsoldeB	10
240	SmashingPump	9
240	Sleepy_Time_	9
240	BobDeBouwer1337	9
240	mattybeewrapss	9
240	_Nuf	9
240	Scathra	9
240	Marahuyo00	9
240	mexicancharlie	9
240	Akoot_	9
240	RenoDesu	9
240	bruh072	9
240	JasmineGK	9
252	Paint	8
252	AuroraValkyrie	8
252	DepressedCubic	8
252	SirUnderpants	8
252	cheerytomato	8
252	Awyrlas	8
252	fade_emerge78823	8
252	StylesK	8
252	ChillenChiggen	8
252	LAVA129	8
252	Mattesco	8
252	jochem2134	8
252	AlphaWolfPlaysMC	8
252	LeonelSalamanca	8
252	Nycteus_	8
252	Barlycorn	8
252	MissCeleste7	8
269	_stets	7
269	Koffeeinz	7
269	thatbeanyboi	7
269	Chromary	7
269	Rocco_Lane	7
269	wfk7	7
269	Benjii05	7
269	sxc_	7
269	StinkyDiplomat	7
269	El_Jalapeno	7
269	RaiaMala_	7
269	Optiprimus	7
269	tonyth3tiger	7
269	Dogcorn69420	7
269	Iamthejo	7
269	smogfrog	7
269	00000000-0000-0000-0009-01ff0c3e5e4f	7
286	Jovaphobic	6
286	q_wq	6
286	builtlasagna	6
286	SpaceGrenadier	6
286	uhm__okay	6
286	Saucepeh	6
286	ProfessorBee	6
286	Master_Kol	6
286	__Fanda__	6
286	Zythose	6
286	AnnieBathory	6
286	The_Cruncy	6
286	Moofyman	6
286	brickman241	6
286	Deadlyy	6
