rank	username	minecraft:mined/minecraft:infested_chiseled_stone_bricks
1	h2p_emrld	224
2	claivin	33
3	thescout7	6
4	Frozil12	3
5	Drlzyy	2
5	TheSecondLord	2
5	chipklip	2
8	pintsizedrogue	1
8	rarrq	1
8	Euclidoris	1
8	noam464	1
8	M_Patata	1
8	fred870d	1
8	_Bguette_	1
8	Warlord324	1
8	MasterNueve	1
