rank	username	minecraft:mined/minecraft:obsidian
1	Hyp3rion_	40897
2	HellsSponge	30005
3	NatalieTW	28463
4	Spacewardharpy7	26803
5	thewindmillman	25516
6	yulgur1	24289
7	PigDab	16949
8	noam464	10384
9	joethahobo	8887
10	Blaiku	8625
11	eitanzaki	8244
12	RebelAndroid	8053
13	Historical_Sand	7820
14	mwrty	6967
15	TheShyPig	6924
16	Di_infiri	6891
17	NomadicRobin_	6418
18	DanTheBuilderino	6131
19	Rebytre	5294
20	Iamthejo	5228
21	Deathkob	4826
22	MilleGrug	4798
23	Ezekson	4499
24	stavgod	4441
25	Enderxz3	4327
26	beeperbeeper5	4231
27	Blackberry1310	3964
28	Strangemonkey71	3617
29	12Magner05	3382
30	EcksD	3286
31	Snowflowe	3276
32	Marbz_	3255
33	Blu3beast	3210
34	Bumpy419	3110
35	lordpipe	3078
36	Razzgriz	3033
37	Werbe	2941
38	alderban107	2794
39	Franco093	2722
40	Cowison	2495
41	Eraxa	2446
42	Skippeh	2370
43	ConnorDanky_	2295
44	Smoke____	2258
45	PortlyPete69	2108
46	gcaisawesome	2047
47	IAmTheWalrus910	2046
48	Fullut	1982
49	Mewar	1877
50	Hermanni__	1876
51	audiocracked	1862
52	Frozil20	1802
53	MyNameIsJobo	1746
54	Zythose	1646
55	claivin	1629
56	YungMaki	1605
57	IamCL4SSY	1598
58	FreakGenius	1564
59	WET_WET_WET	1520
60	TechnoNinja64	1482
61	Jackattack53	1419
62	SkateboardR6	1409
63	sxc_	1392
64	mihimihimihi	1322
65	masskedman	1293
66	gabriels543	1284
67	El_Jalapeno	1228
68	Tyrannosplart	1163
69	Mahoose	1102
70	TheSecondLord	1100
71	EveryonesUncle	1031
72	MinttyFressh	1013
73	Arceus1975	1007
74	pintsizedrogue	997
75	EMC_	994
76	RealGroot	991
77	Rasmanden	966
78	2Stout	948
79	ShedJr_	859
80	Winklepicker279	853
81	Soplight	848
82	500am	819
83	non089	815
84	TheSeismicDuck	799
85	rarrq	794
86	Kowcio_	757
87	Valoth	747
88	jnp_gaming	727
89	_Virify_	722
90	m_be9	706
91	Eczbek	704
92	ImpavidArcher	678
93	Kakolbus	665
94	NoChumpChange	663
95	FlashMigma	644
96	Maenara	635
97	ThisUserIsStump	634
97	Legendosh	634
99	PlasticOtari	633
100	ROY4LE	623
101	Racengan	621
102	TheEnderMan548	606
103	F_Uhre	603
104	Inbefour	598
105	diggydog67	588
106	MangoTheFish	586
107	xxPipperDipperxx	579
108	wwwwinnebagoooo	578
109	Lord_Jord	564
110	soundad	558
111	SpaceGrenadier	550
112	T045RTY	538
113	thescout7	532
114	Nycteus_	520
115	Mythic1130	518
116	Sral7	512
117	BumbleBeever	507
117	HesDemonPants	507
119	Elastiq	501
120	Groundler	498
121	Quaintster	491
122	Akoot_	490
123	CrateOfBoxes	479
124	kekhon	472
125	obzii	465
126	xzvu	459
127	trexgb	456
128	MightyWertu	445
129	drumine	433
130	BartekB19	421
131	Groovy_MoonBird	417
132	groofles	416
133	CoffeeNoir	412
134	fffMike	411
135	eiC_	406
135	vandmanden	406
137	MirielThePastor	402
138	censorsheep	400
139	r123moore	390
140	ssleepless	389
141	MakeHistory157	385
142	pixelviolin	377
143	layabout100	372
144	Secret_Canary	369
145	NotKaden_	364
146	XboxPanda	355
147	Smashic	354
148	Njensen7	349
148	EngagedGrub41	349
150	ooga47	341
151	BobDeBouwer1337	340
152	Dogcorn69420	338
152	Aryamanee	338
154	Dreamdbr14	335
155	Inchef	331
156	calamariclam_I	327
157	Merv__	326
157	Skylord_Luke	326
159	set67	324
160	FreddyFart	322
161	Jovaphobic	320
162	TheALV	314
163	luseis	313
164	Onennon	311
165	Cocoamallows	304
166	Esme_1	300
167	Mattesco	298
168	ApophisNova	297
168	MyNamaSheff	297
170	Kubeusz2010	293
171	benediktine1	289
172	SquadMonster	286
173	_Boipl_	285
174	fkGrim	280
175	Jorrdi	270
176	Jimb0nat0r	268
177	SammiWolfGirl	263
178	_Karmaa	260
179	eviltunix	256
180	SuperPooch06	249
181	M_Patata	246
182	6king6colt6	240
183	MasterNueve	236
184	PhantomsGhost_	235
184	Ssor69	235
186	Vizzoid	233
187	I_Am_Mushkin	229
187	GlitchyPlate810	229
189	Hisiste	228
190	jcool7	227
191	cedric72	225
192	__tomato	222
192	PlzNoBM	222
194	zToasty69z	220
194	fluddd	220
196	xolstoi	217
197	thgrocks	214
198	WyngGoy	212
198	FelixPSY375	212
200	burbankbuilder28	203
201	binman420	202
202	RyuNeko932000	200
202	SvenskaHugo	200
204	_Dean_123	199
205	fw3xywashere	197
206	Euclidoris	196
207	SaucyDark	195
208	h2p_emrld	193
209	diamondgolem35	191
209	voiding_	191
211	mariominejedi	189
212	Steelynan	186
213	XxCookiequeenxX	185
214	Awyrlas	183
215	ebanana	174
216	ThatMan_Dave	173
217	teslawolf38	172
218	Xalithia	171
218	Wowful	171
218	Zoeyfortnite	171
221	HiveSkins	168
221	301851	168
223	gusstationwerker	166
223	MelodyGaysharks	166
225	JayToe	164
226	SoftSix	163
226	ese_wn_po	163
228	Nicserso	162
229	FishyBoy3811	161
230	TooManyDuck	159
230	Incinere	159
232	ougstur	157
233	stellarjay	154
234	FirsTimeGamingTV	153
235	Hoid_the_Roamer	152
236	hcb238	151
237	xDraggin	150
237	lcvezra	150
239	Deodorante	146
240	Da_Boss_Rani	145
241	ThiccExotic	144
242	tuckerdoodle	143
242	Alteriity	143
242	lizardfightclub	143
245	SellyZ	139
245	DarlaMeow	139
245	Luigipunch989	139
248	hm947	138
249	Zaridey	135
250	NieToksikpl	133
250	DarkS0L	133
250	AltnumberF4	133
253	TheThomas69	130
253	pappaberg	130
253	Lutres_Torane	130
256	gaziter10	127
256	Sheldor097	127
258	corvidpartyfor6	126
258	Kamflame10	126
260	little_dUki	125
261	Comma__	124
261	ZA07	124
263	The11thDoctor	123
263	MAns_44	123
265	ITDV	121
265	MattieHD	121
267	Kouridragon	120
268	shrimp_flips	117
268	ediballbearings	117
270	ClemenPine	116
270	Factoroni	116
270	ItsJunoIGuess	116
273	Megarboh	115
273	Rocco_Lane	115
275	DASH_X7	114
276	Tobinator_007	113
276	NATE_the_HALO	113
278	bigstankyy	112
279	JESS_THE_RERE	111
280	picardred	110
280	bloomkieren	110
282	Myszoaz	109
283	ibarker21	108
283	RobotMinion101	108
285	Covalents	107
286	Swexti	106
286	Dusk_95	106
288	Chromary	105
289	BreadBacon	104
290	Jij0	102
290	SpacesickPrism	102
292	Iagoku	101
292	Soap_Bender	101
292	The_slideV3	101
295	Jackster03	100
295	Corbsman	100
297	Rumpletaezer	98
297	CaptainDeadBread	98
299	RefluxRatio	97
300	LeauVox4921	96
