rank	username	minecraft:mined/minecraft:dark_oak_slab
1	burbankbuilder28	6242
2	500am	3165
3	Eraxa	2313
4	FreakGenius	2227
5	rarrq	2181
6	pintsizedrogue	1729
7	MyNameIsJobo	1680
8	TheShyPig	1647
9	kekhon	1622
10	CharlieButt	1429
11	SammiWolfGirl	1317
12	fluddd	1119
13	Prodiginus	1084
14	Merv__	1078
15	luseis	1077
16	xolstoi	1030
17	TheDankPlatypus	1023
18	Ssor69	1022
19	SaucyDark	958
20	Mahoose	878
21	Dusk_95	859
22	_Karmaa	817
23	Zythose	816
24	_Razaria	805
25	EveryonesUncle	786
26	Onennon	739
27	PlasticOtari	686
28	Blackberry1310	679
29	Kakolbus	659
30	Chromary	645
31	m_be9	615
32	Arceus1975	604
33	CalebDHawk	582
34	thewindmillman	550
35	jacxhadow	536
36	PortlyPete69	516
37	_Dean_123	505
38	EMC_	495
39	MrExplorer	479
40	emrekn	478
41	Winklepicker279	444
42	Ezekson	440
43	beeperbeeper5	411
44	Rich_Kat	397
45	ImpavidArcher	395
45	CattSoup	395
47	Jij0	386
48	HellsSponge	383
49	intropass	376
50	TheSecondLord	364
51	RoofTyler	357
52	RatatJuice	356
53	groofles	339
54	BlancoFlaco	331
55	tsitrawhy	315
56	pixelviolin	312
57	joethahobo	311
58	Frozil20	300
59	Inbefour	279
60	Fullut	270
60	Bumpy419	270
62	himak1	257
63	lcvezra	253
64	dongli	252
65	Eczbek	250
66	Meatlaugh	244
67	Smoke____	241
68	2Stout	237
69	Jakobo1337	229
70	Skippeh	214
71	ConnorDanky_	199
72	Historical_Sand	195
73	eitanzaki	192
73	theofiel	192
73	Steelynan	192
76	M_Patata	184
76	Enderxz3	184
78	prizm_	183
79	MasterNueve	182
80	Rumpletaezer	180
80	Airem_Core	180
82	xxPipperDipperxx	179
83	Cowison	177
84	ZaneABrain	176
84	ZoomieZoomie	176
86	Nycteus_	173
87	Soplight	171
88	ChocolatePepsi	165
89	El_Jalapeno	164
90	fkGrim	163
91	binman420	161
91	2bolx_	161
93	KarlKaek	152
93	purpolepickle	152
95	Biites	151
96	RoskobiOne	145
97	Megarboh	142
97	XxCookiequeenxX	142
99	xzvu	140
100	LeeMcGee30	139
101	Shogunite	131
102	anbbang	129
103	The_Fulgurator	128
104	Alteriity	127
104	thescout7	127
106	Tobinator_007	125
107	CheifJumbo	124
108	djancak	121
109	Smashic	119
110	UCP_TheKingK	117
111	NoxxxxiS	116
111	Di_infiri	116
113	Werbe	115
113	MyNameIsDakar	115
115	Bandito_Roamer	113
115	RebelAndroid	113
115	SvenskaHugo	113
115	jnp_gaming	113
119	Lord_Jord	110
120	Barlycorn	109
121	Natty	108
122	claivin	105
123	titanlax	102
123	Russiancat1	102
125	teslawolf38	99
125	NomadicRobin_	99
127	dopplexd	97
127	_Dri_	97
129	dartwaffle	96
130	mwrty	95
131	T045RTY	94
131	Hermanni__	94
133	NotMeanttoChange	93
134	noam464	91
134	Smussa	91
136	Euclidoris	90
136	set67	90
136	Mattesco	90
136	IamCL4SSY	90
140	SaintJosie	89
141	12Magner05	87
141	Spacewardharpy7	87
143	JoCoLi	86
144	AlphaWolfPlaysMC	85
144	TechnoNinja64	85
144	Sral7	85
147	Groovy_MoonBird	84
147	brycepants	84
149	YungMaki	83
150	RobotMinion101	82
151	Huwulling	81
151	Leyna3	81
151	__tomato	81
154	selectrix	80
154	Deathkob	80
154	NameGenerat0r	80
157	AnnieBathory	79
158	SuperPooch06	78
158	Smiguli_	78
160	gcaisawesome	75
161	tobinwilliams	74
162	Kowcio_	73
163	Hiryu27	72
164	Inchef	71
165	Legendosh	70
166	Esme_1	69
166	Ardennes	69
168	Crowman1	68
168	Sheellky	68
170	Ryker	66
171	Incinere	63
171	heckface	63
171	parodypatient	63
174	sp00ky_ghost977	62
174	FelixPSY375	62
176	diamondgolem35	61
176	Rebytre	61
178	Akoot_	60
178	Xclax101	60
180	Lez_	58
180	CornOnTheCobalt	58
182	censorsheep	57
183	r123moore	55
184	CoffeeNoir	54
185	Windo_licker	52
186	XboxPanda	51
186	lordpipe	51
188	gabriels543	50
189	audiocracked	49
189	The_slideV3	49
191	FirsTimeGamingTV	48
191	orxngejuice	48
193	NieToksikpl	47
194	LeGold	46
194	MakeHistory157	46
196	Kkanot	45
196	olliebollie48	45
196	wwwwinnebagoooo	45
196	JasmineGK	45
200	_stets	42
201	Ecplosive	40
201	ApophisNova	40
201	420BreadLizard	40
201	MyNamaSheff	40
201	WYFYoyo	40
206	AngalexikCZ	39
206	Karetoko	39
206	BlankityMcBlank	39
209	ChosenBruh	38
209	avalan64	38
211	07shiny	37
212	SellyZ	35
212	cichy096	35
214	ZigzagLily43042	34
215	DemTechAlpha	33
215	Ze_BaronKrigler	33
215	smogfrog	33
218	6king6colt6	32
218	MattieHD	32
218	MonitorLizards	32
218	00000000-0000-0000-0009-01f80c5e9346	32
222	lillips	31
222	KingMatthew506	31
224	monky_irl	30
224	Nekomin0	30
226	PegLegPete93	29
226	PuustaKauasPdnt	29
228	CollinMH06	27
228	silverpopcorn	27
228	MovingFish7	27
231	livingdaydreams	26
231	Lumien_	26
231	Awyrlas	26
231	MineMaster0012	26
235	Sleek_Storm_721	25
235	Cortexia	25
237	youhjjhhhjj	24
237	G1ldor	24
237	Blu3beast	24
240	bigstankyy	23
240	Touched_Bread	23
242	Notta	22
242	SteveCraftBlocks	22
242	ItzYaBoiPicard	22
242	Skomo	22
242	AuroraSkies	22
242	Lutres_Torane	22
242	Typadopoulos	22
249	Hyugo	21
249	SpaceGrenadier	21
249	Stiar	21
249	benediktine1	21
253	JayToe	20
254	Mr_Byzantine	19
254	Purplehere	19
254	Wowful	19
254	LexMakesHistory	19
258	cheerytomato	18
258	shyshyannne	18
258	KliBeast21	18
258	DarkS0L	18
258	MightyWertu	18
258	Kyrum2169	18
258	alderban107	18
265	rachcl	17
265	SDMNAEK	17
265	Toriankel	17
265	Yahir091	17
265	Kijiki	17
265	Kubeusz2010	17
271	ProbablyNick	16
271	Harotio	16
271	Skylord_Luke	16
274	LittleBug562	15
274	groggregg42	15
274	Motsaro	15
274	Snowflowe	15
274	MAns_44	15
274	Deguns123	15
280	ratglock	14
280	ProfessorBee	14
280	LeauVox4921	14
280	drunkeeez	14
280	KeruNatsema	14
285	LoboTheLobster	13
285	MindyDooWho	13
285	ROY4LE	13
285	Felenov	13
285	Blaiku	13
285	obzii	13
291	Eraza	12
291	bpmm	12
291	KlausVonStiglitz	12
291	annoyingenderman	12
291	EcksD	12
291	bladeefan2009	12
297	ITDV	11
297	CliffEmAll	11
297	Nicky_H225	11
297	fallingemma	11
