rank	username	minecraft:mined/minecraft:red_mushroom_block
1	thewindmillman	15227
2	YungMaki	7832
3	Blaiku	7578
4	Lez_	6171
5	Werbe	5987
6	Di_infiri	4914
7	12Magner05	4724
8	joethahobo	4307
9	_Nuf	4054
10	pintsizedrogue	3165
11	EMC_	3137
12	Enderxz3	2456
13	kekhon	2268
14	MightyWertu	2266
15	noam464	2252
16	xxPipperDipperxx	2160
17	Smoke____	2148
18	Soplight	2087
19	luseis	1980
20	Kowcio_	1803
21	claivin	1440
22	burbankbuilder28	1405
23	Sral7	1354
24	Hyp3rion_	1335
25	diggydog67	1207
26	gcaisawesome	1118
27	TechnoNinja64	1054
28	ApophisNova	1039
28	MyNamaSheff	1039
30	Arceus1975	1015
31	eitanzaki	1012
32	FreakGenius	1010
33	Hermanni__	1006
34	Wolverine4302	961
35	AuroraValkyrie	887
36	Historical_Sand	875
37	Elastiq	784
38	EveryonesUncle	692
39	lordpipe	675
40	IamCL4SSY	588
41	Blazebit	586
42	Steelynan	528
43	Awyrlas	526
44	CoffeeNoir	500
45	groofles	499
46	Mattesco	495
46	PigDab	495
48	MyNameIsDakar	464
49	Euclidoris	461
50	Blackberry1310	455
51	Ezekson	440
52	beeperbeeper5	425
53	HellsSponge	408
54	XxCookiequeenxX	404
55	H72l9w	400
56	m_be9	383
56	calamariclam_I	383
58	Zoeyfortnite	365
59	Jovaphobic	360
60	Kubelz	356
60	TheDankPlatypus	356
62	chipklip	352
63	Tyrannosplart	337
64	Maenara	332
65	teslawolf38	324
66	Frozil20	323
67	Spacewardharpy7	318
68	GravitySaint	315
69	Shiirazu	310
70	Xclax101	297
71	set67	288
72	SpaceGrenadier	282
73	Inchef	271
73	NameGenerat0r	271
75	Ryker	270
76	Marbz_	258
77	ShedJr_	255
78	RobotMinion101	253
79	KomputerDude	248
80	Akoot_	243
81	Fullut	226
82	djancak	225
83	Rumpletaezer	215
84	PeteO1995	213
84	censorsheep	213
86	WET_WET_WET	194
87	binman420	193
88	PortlyPete69	188
89	RatatJuice	186
90	titanlax	184
90	lcvezra	184
92	500am	183
92	Rebytre	183
94	gilesmcriles	182
95	NieToksikpl	180
95	Deathkob	180
95	El_Jalapeno	180
98	UCP_TheKingK	176
99	TheFlfthHorseman	166
100	ExtraDumb	164
100	ThiccExotic	164
102	WyngGoy	161
103	stuy9	160
104	lillips	153
105	LeEricc	145
106	aa2x_	143
106	SammiWolfGirl	143
108	TheShyPig	137
109	ItzYaBoiPicard	136
110	Notta	135
110	Lord_Jord	135
110	wezzzi	135
110	sp00ky_ghost977	135
110	EngagedGrub41	135
110	Nicserso	135
116	FirsTimeGamingTV	134
117	SaucyDark	132
117	ConnorDanky_	132
119	TheSeismicDuck	129
120	SmashingPump	128
120	actuallysadie	128
120	AngalexikCZ	128
123	Wowful	126
124	Kakolbus	125
125	TheOnlyRake	124
126	WithoutPyr	123
126	Russiancat1	123
128	thescout7	122
129	LexMakesHistory	118
130	fluddd	110
131	DinoDoctor_	100
132	iElijah	98
132	Blu3beast	98
132	Kubeusz2010	98
135	BlankityMcBlank	94
136	Chromary	92
137	SaintJosie	91
138	Ananas55	90
138	Koffeeinz	90
138	BilboBaggins23	90
138	LeGold	90
138	AlphaWolfPlaysMC	90
138	Darkgon	90
138	Lekol	90
138	stellarjay	90
138	tompup	90
138	Misterkill700	90
148	Moofyman	89
149	NormanFetus	88
150	carpet4_69	87
151	KingFaenor	86
151	MinerDec	86
153	Seyaboy	85
154	fanofbands101	83
154	jnp_gaming	83
156	ROY4LE	81
157	PlasticOtari	78
158	Windo_licker	73
159	Inbefour	72
160	Fast_Turtle	68
160	Eraxa	68
162	Ninzyyy	65
163	F_22_	61
164	Mahoose	58
164	Crasswolf	58
166	Hpdinosaur	56
166	_Razaria	56
168	Killercatty78	55
168	GlitchyPlate810	55
170	CollinMH06	54
170	VilsSwag	54
172	Scathra	53
173	RebelAndroid	52
174	Drewen24	50
175	Nekomin0	49
176	Scattman_	48
176	dezxalo	48
176	sxc_	48
176	Legendosh	48
180	SingedBread	47
180	bladeefan2009	47
182	MakeHistory157	46
183	Lotheburgh	45
183	BigBootyHudge	45
183	Merv__	45
183	6king6colt6	45
183	Incinere	45
183	openatheclose	45
183	Sna_Ke	45
183	Prismyst	45
183	TuesdayEpisode	45
183	Khelvoryk	45
183	Cryptacity	45
183	ProfessorBee	45
183	crying_wolf_13	45
183	BINKENSTOCK	45
183	MindyDooWho	45
183	fade_emerge78823	45
183	Asteri05	45
183	Paintz	45
183	dragonwarrior206	45
183	mimbo1211	45
183	TableTim	45
183	fallingemma	45
183	hanaryheatwave	45
183	LunarRedPanda	45
183	AlexxO_o	45
183	KeruNatsema	45
183	H_O_M_H	45
183	NYJ	45
183	avalan64	45
183	The_slideV3	45
183	sq0id	45
183	pixelviolin	45
183	Kyrum2169	45
183	ediballbearings	45
183	Winston_Ingram	45
183	TheALV	45
183	KingMatthew506	45
