rank	username	minecraft:mined/minecraft:oak_trapdoor
1	Mr_Byzantine	1308
2	StinkyDiplomat	1102
3	PlzNoBM	1065
4	ShedJr_	1058
5	Mahoose	1036
6	FreakGenius	735
7	pintsizedrogue	664
8	HellsSponge	597
9	noam464	590
10	FishyBoy3811	480
11	Di_infiri	475
12	Lez_	452
13	beeperbeeper5	429
14	PlasticOtari	425
15	TheShyPig	396
16	m_be9	386
17	EveryonesUncle	378
18	Mewar	361
19	fr0stss	348
20	_8man	339
21	Racengan	315
22	joethahobo	288
23	_Virify_	270
24	Spacewardharpy7	265
25	eitanzaki	234
26	Studio4x32	229
27	Buuck_	206
28	Yamdalorian	187
29	Onennon	175
30	doublemaki	171
31	Merv__	169
32	legal_tax_evader	166
32	Dogcorn69420	166
34	luseis	165
34	Nicserso	165
36	Enderxz3	163
37	non089	161
37	fffMike	161
39	burbankbuilder28	160
40	Lorcout	158
41	500am	155
42	EcksD	154
43	Jackattack53	152
43	Ezekson	152
45	EMC_	148
46	SkateboardR6	140
47	QuiCreans	137
48	Frozil20	132
48	CoffeeNoir	132
48	the_russell1611	132
51	Alteriity	130
52	TheSecondLord	129
53	Manaateee	124
54	KarlKaek	123
55	_witch_craft_	121
56	Legendosh	120
57	wiqor	115
58	kekhon	114
59	thewindmillman	113
60	Reneedium	111
61	Werbe	109
62	CalebDHawk	107
62	jcool7	107
64	_Nuf	104
65	RatatJuice	100
66	hermmm_	97
67	Steelynan	96
68	Rebytre	95
69	Niklas20114552	94
70	Ryan_GEMS	92
70	Swexti	92
70	craaaash	92
73	ssleepless	89
74	mariominejedi	87
74	Groundler	87
76	MovingFish7	84
76	LuvLuvLove	84
78	Smashic	83
78	Winklepicker279	83
78	pixelviolin	83
81	_Wannabe_	82
82	CattSoup	81
83	AlexxO_o	80
84	Secret_Canary	79
85	Eraxa	78
86	Soplight	77
87	Kowcio_	75
88	07shiny	74
88	EngagedGrub41	74
90	Megarboh	72
90	thescout7	72
92	Groovy_MoonBird	71
93	kyouma777	70
93	Eczbek	70
95	Lord_Jord	68
96	Blackberry1310	65
97	AstreaTSS	64
98	hydrothebot	63
99	PigDab	62
99	Inbefour	62
99	_Karmaa	62
102	PazinGaming	59
102	shineh10	59
102	Crowman1	59
102	_Dean_123	59
106	gcaisawesome	58
107	Leyna3	57
107	PortlyPete69	57
109	Kubeusz2010	56
110	Awyrlas	55
111	dimondking777	54
111	Fullut	54
111	DanTheBuilderino	54
114	BPTY4618	52
114	WyngGoy	52
116	2Stout	51
116	Akoot_	51
118	CharlieButt	50
119	q_wq	49
119	I_Am_Mushkin	49
119	dopplexd	49
119	SpacesickPrism	49
119	jnp_gaming	49
124	Luigipunch989	47
125	Elastiq	46
126	__tomato	45
126	mawileite	45
128	rarrq	44
128	Pumpkin_P_Patch	44
130	Hetti301	43
130	ougstur	43
130	zmpeg	43
133	Krowuss	42
133	Soap_Bender	42
135	robertsnose	41
135	Kakolbus	41
135	Vanni9	41
135	Segotep999	41
139	SpaceGrenadier	40
139	Gzrdy	40
141	skroobiez	39
142	SteveCraftBlocks	38
142	lpinfinity	38
142	mwrty	38
142	audiocracked	38
146	RoskobiOne	37
146	Marbz_	37
146	Deathkob	37
149	Arceus1975	36
149	epiksk8erduck	36
149	MC_Skribble	36
152	Archsam	35
152	excelsionprime	35
154	Myszoaz	34
155	McCakeAh	33
155	TheDankPlatypus	33
155	wobn	33
158	Kyrum2169	32
159	Mattesco	31
160	Ozixar	30
160	titanlax	30
160	Tersea_	30
160	12Magner05	30
160	Meatlaugh	30
160	The_slideV3	30
166	bloodbiter	29
166	ThePoliteG	29
166	DeeDeeThonk	29
166	That_tech_head	29
166	El_Jalapeno	29
166	Quotary	29
172	Covalents	28
172	Luminad3	28
172	Xclax101	28
172	TechnoNinja64	28
172	TwinTowerV2	28
177	CLG_Kata	27
177	ConnorDanky_	27
179	MattieHD	26
179	slkiey	26
179	XxCookiequeenxX	26
179	stellarjay	26
183	Flex_Tape_Phil	25
183	mymayowasgone	25
183	Zlatovlas	25
186	ImpavidArcher	24
186	Rumpletaezer	24
186	Hyp3rion_	24
186	Powowowow	24
190	SBean737	23
190	ooga47	23
190	AspenLightVT	23
190	Lutres_	23
190	MustaLoordi	23
190	vandmanden	23
196	MyNameIsJobo	22
196	QuesoCrusaderIII	22
198	Reamdin	21
198	Literally_Rat	21
198	Sleepy_Time_	21
198	smarticuno	21
198	Tyrannosplart	21
198	Darkgon	21
198	MrShojo	21
198	Paguz01	21
206	Cowison	20
206	Ryker	20
206	OreTheBear	20
206	MightyWertu	20
206	stavgod	20
206	DracZz	20
212	SuperPooch06	19
212	Donutt	19
212	Btabtab	19
212	groofles	19
212	blackeemperor	19
217	PhantomsGhost_	18
217	TheKingK_	18
217	Pearlescents	18
220	fade_emerge78823	17
220	xorompole	17
220	FelixPSY375	17
223	_Huge_Male_	16
223	WinterSepp	16
223	soundad	16
223	ECstardust	16
223	heckface	16
223	Bumpy419	16
223	oscminus	16
223	RobotMinion101	16
223	Sharkbyte0	16
223	Sorry_Arey07	16
223	_flud	16
223	Barlycorn	16
223	ZeaBaron	16
236	jimbo61101jr	15
236	Wooptey	15
236	livingdaydreams	15
236	eiC_	15
236	AJplaysMC_	15
236	JitteryJared2	15
236	Dan_Scha	15
236	Avocadogerms	15
236	BumbleBeever	15
236	lordpipe	15
236	Jimb0nat0r	15
236	Sral7	15
248	Iagoku	14
248	Huwulling	14
