rank	username	minecraft:mined/minecraft:chiseled_nether_bricks
1	PigDab	183
2	jacxhadow	106
3	Kowcio_	38
4	Olib3ar	37
5	diamondgolem35	27
6	BobDeBouwer1337	16
6	Legendosh	16
8	robertsnose	13
9	Kakolbus	11
10	_i_ERROR_i_	10
11	Enderxz3	7
12	yuuxxii	4
12	Mookle96	4
14	thewindmillman	3
15	pintsizedrogue	2
15	Jindong	2
15	TheSecondLord	2
15	noam464	2
15	Agent108	2
15	Manaateee	2
15	Druid95	2
15	Yamdalorian	2
23	beeperbeeper5	1
23	NieToksikpl	1
23	Di_infiri	1
23	EveryonesUncle	1
23	pixelviolin	1
23	doublemaki	1
