rank	username	minecraft:mined/minecraft:infested_cobblestone
1	claivin	75
2	FallenCorps	4
3	Jackster03	3
3	h2p_emrld	3
5	thescout7	2
5	fred870d	2
5	chipklip	2
8	nataliecool	1
8	rarrq	1
8	potato292	1
8	mimbo1211	1
8	_Cloverbelle_	1
8	rotten_mango	1
8	HellsSponge	1
8	Frozil12	1
8	iGotUrHost	1
8	Bawbman	1
