rank	username	minecraft:mined/minecraft:cauldron
1	beeperbeeper5	349
2	noam464	309
3	pintsizedrogue	252
4	EveryonesUncle	242
5	PlasticOtari	237
6	Enderxz3	96
7	non089	85
8	Lez_	79
9	FreakGenius	63
10	12Magner05	57
11	Racengan	54
12	thewindmillman	52
13	Mahoose	50
14	Spacewardharpy7	49
14	Eraxa	49
16	kekhon	44
17	Hyp3rion_	43
18	Jackattack53	41
19	bearlystraight	38
19	Manaateee	38
21	Historical_Sand	36
21	500am	36
21	AdmiralSmoke	36
24	xolstoi	34
25	TheBananaKat	31
26	prizm_	30
26	HellsSponge	30
28	TheSecondLord	27
28	Soplight	27
28	SammiWolfGirl	27
31	Legendosh	26
32	SmashingPump	23
32	SvenskaHugo	23
32	MineMaster0012	23
32	Ezekson	23
36	Merv__	22
36	eitanzaki	22
36	pixelviolin	22
39	mihimihimihi	21
40	m_be9	20
41	Deathkob	18
41	fffMike	18
43	ECstardust	17
43	jessewegottacook	17
43	hanaryheatwave	17
43	luseis	17
43	sp00ky_ghost977	17
48	ImpavidArcher	16
48	jacxhadow	16
48	TheShyPig	16
48	FlashMigma	16
52	jushykins	15
52	Fullut	15
52	Di_infiri	15
52	StinkyDiplomat	15
56	T045RTY	14
56	Kakolbus	14
56	Xclax101	14
56	WYFYoyo	14
60	Solar_Power	13
61	KarlKaek	12
61	Hpdinosaur	12
61	titanlax	12
61	calamariclam_I	12
65	MattieHD	11
65	Awyrlas	11
65	Arceus1975	11
65	YungMaki	11
65	FormulaNewt3627	11
65	skrongus	11
71	RatatJuice	10
71	Kkanot	10
71	_Bguette_	10
71	djancak	10
75	Mr_Byzantine	9
75	Incinere	9
75	Prismyst	9
75	Crowman1	9
75	Megarboh	9
75	set67	9
75	SHAOBADMAN	9
75	JitteryJared2	9
75	GooseWithin	9
75	weabis	9
75	FishisTTV	9
86	Groovy_MoonBird	8
86	q_wq	8
86	ewsophie	8
86	bloodbiter	8
86	eiC_	8
