rank	username	minecraft:mined/minecraft:cut_red_sandstone
1	AdmiralSmoke	514
2	Legendosh	332
3	ROY4LE	108
4	Parcc	90
5	El_Jalapeno	67
6	PlasticOtari	39
7	Frozil20	37
8	Lez_	31
8	SuperPooch06	31
10	legal_tax_evader	24
11	Mr_Byzantine	20
12	RatatJuice	19
13	TheShyPig	17
14	ProfessorBee	15
15	weabis	14
16	joethahobo	13
16	kekhon	13
16	Steelynan	13
19	RobotMinion101	11
19	FreakGenius	11
21	oreee	8
22	Xclax101	6
23	Mahoose	2
23	The_Quack_Dealer	2
23	Kowcio_	2
26	noam464	1
26	Di_infiri	1
26	SvenskaSara	1
26	Manaateee	1
26	Arlosaurus	1
26	ItsDeltaMC	1
