rank	username	minecraft:mined/minecraft:white_shulker_box
1	Hyp3rion_	3311
2	Blaiku	2710
3	Mahoose	2025
4	Jackattack53	1767
5	Snowflowe	1569
6	m_be9	1239
7	luseis	971
8	jnp_gaming	918
9	Eraxa	849
10	pintsizedrogue	756
11	EveryonesUncle	709
12	Krowuss	690
13	Lez_	629
14	Spacewardharpy7	595
15	vandmanden	564
16	Kowcio_	546
17	Enderxz3	540
18	Manaateee	513
19	Hiryu27	481
20	oscminus	457
21	ECstardust	439
22	PlasticOtari	435
23	hanaryheatwave	428
24	Frozil20	420
25	Soplight	417
26	noam464	402
27	TheSecondLord	393
28	Mattesco	391
29	Segotep999	358
29	non089	358
31	thewindmillman	342
32	TheSeismicDuck	310
33	legal_tax_evader	299
34	claivin	292
35	joethahobo	286
36	beeperbeeper5	277
37	500am	276
38	Mr_Byzantine	268
39	doublemaki	260
40	TheKingK_	251
41	CoffeeNoir	236
42	Literally_Rat	235
43	shineh10	230
44	Alteriity	224
44	lordpipe	224
46	Yamdalorian	220
47	Jovaphobic	219
48	HellsSponge	208
49	QuiCreans	204
50	Blackberry1310	200
51	TwinTowerV2	196
52	ImpavidArcher	194
53	Elastiq	192
54	craaaash	190
54	Truckoss	190
56	12Magner05	189
57	SaucyDark	185
57	Pumpkin_P_Patch	185
59	rarrq	183
60	Marbz_	180
61	teslawolf38	178
62	Fullut	175
63	r123moore	169
64	cuddlyMonster	163
65	thescout7	162
66	Buuck_	159
67	Njensen7	154
68	HUNTERmaun	152
69	Huwulling	144
69	kekhon	144
69	ConnorDanky_	144
72	mwrty	143
73	emreknugrlu	141
74	MattieHD	133
75	Crizma_	128
76	NatalieTW	127
76	IamCL4SSY	127
78	Apollo_993	119
79	TheDankPlatypus	118
80	Steelynan	111
81	LuvLuvLove	109
82	Fuad_R	108
83	seanitoo	107
83	SammiWolfGirl	107
85	Winklepicker279	106
85	Lord_Jord	106
87	TheWickedBird	105
88	CLG_Kata	104
88	Iamthejo	104
90	Rumpletaezer	103
91	T045RTY	100
91	_Karmaa	100
93	set67	96
93	Juh1s	96
95	__tomato	94
96	Ezekson	91
97	BronkerBrum	90
98	Gus2005	89
99	Xclax101	88
100	MightyWertu	87
101	Smashic	86
102	miramyu	82
103	ShedJr_	81
103	Maenara	81
105	eitanzaki	80
105	gcaisawesome	80
107	yulgur1	78
107	sp00ky_ghost977	78
109	Jimb0nat0r	77
110	XboxPanda	76
110	AlexxO_o	76
112	_Virify_	75
112	Merv__	75
112	Zythose	75
112	diggydog67	75
116	PigDab	74
116	iSammael	74
118	Skylord_Luke	72
118	Sheldor097	72
120	Awyrlas	71
120	Arceus1975	71
120	pixelviolin	71
123	StarCookiees_	70
123	JayToe	70
125	powercas_gamer	68
126	Akoot_	67
127	paranoid_plant	66
127	TheWildMateo	66
127	mihimihimihi	66
130	Bumpy419	64
131	MixerDixer	62
132	Wanjibon	60
133	SoftSix	59
133	Hisiste	59
133	xzvu	59
136	Iagoku	58
136	geekbird	58
138	himak1	55
138	Sral7	55
140	gamerlord1324	54
141	diamondgolem35	53
141	EcksD	53
143	Werbe	52
143	Rasmanden	52
145	fade_emerge78823	51
146	Cryptacity	50
146	hoaimi	50
146	FiguraDei	50
146	jcool7	50
150	WyngGoy	49
151	SyntheticSurgeon	48
151	__Auspicious	48
153	Azmodan_246	47
153	SpacesickPrism	47
153	NATE_the_HALO	47
156	Rani_R	46
156	Kekoo	46
158	Racengan	45
159	skroobiez	44
159	milltesco	44
159	ClemenPine	44
159	Groundler	44
159	KingMatthew506	44
159	camando92	44
165	NinjaKnifeKill	43
165	SvenskaHugo	43
167	groofles	42
168	catandmoose	41
168	Xalithia	41
168	HesDemonPants	41
171	PazinGaming	40
171	xxPipperDipperxx	40
171	fw3xy	40
174	mymayowasgone	39
174	Sleepy_Evelyn	39
174	corvidpartyfor6	39
174	bl1ss0	39
178	Myszoaz	38
178	ApophisNova	38
178	masskedman	38
178	MyNamaSheff	38
182	ssleepless	37
182	prizm_	37
184	MSK__	36
184	SnowyAvi	36
184	SteveCraftBlocks	36
184	U_Mos_	36
188	Crowman1	35
188	NameGenerat0r	35
188	_Mythic____	35
191	Groovy_MoonBird	34
191	TooManyDuck	34
191	GooseWithin	34
191	Hahaa_0	34
191	wwwwinnebagoooo	34
196	lorpus	32
196	ElectricDragon81	32
196	robonya_	32
196	CalebDHawk	32
200	Rich_Kat	31
200	weabis	31
200	starbits140	31
203	SlayerCrypto	30
204	Malorn_Aetherius	29
204	Cocoamallows	29
204	MC_Skribble	29
204	EngagedGrub41	29
208	MOSS000	28
208	Ssor69	28
208	Legendosh	28
211	PaperCanvas	27
211	SexcMf	27
213	Historical_Sand	26
213	Kakolbus	26
215	EMC_	25
215	Ryan_GEMS	25
215	titanlax	25
215	Koalander	25
215	Spenduh	25
220	AspenLightVT	24
220	FreakGenius	24
220	chiakirice	24
223	KarlKaek	23
223	Ecplosive	23
223	Hoid_the_Roamer	23
223	Skippeh	23
227	imcombxt	22
228	Secret_Canary	21
228	1442	21
228	SingedBread	21
228	fffMike	21
228	CattSoup	21
228	TechnoNinja64	21
234	Aavermu	20
234	Di_infiri	20
234	pappaberg	20
234	EdGalbraith	20
234	Karbl	20
239	Euclidoris	19
239	ee_echo_oo	19
239	yheece	19
239	Jonafrog99	19
239	WET_WET_WET	19
239	07shiny	19
239	LeEricc	19
246	BPTY4618	18
246	Prodiginus	18
246	Auseawesome	18
246	SellyZ	18
246	walll	18
246	MAns_44	18
252	Crowvens	17
252	SolarKar	17
252	TheShyPig	17
252	ItsJWolff	17
252	little_dUki	17
257	Onennon	16
257	cedric72	16
257	Fizznut909	16
260	YinToYin	15
260	Yatitay	15
260	NotMyLucKMC	15
