rank	username	minecraft:mined/minecraft:skeleton_wall_skull
1	YungMaki	19
2	luseis	15
3	RealGroot	9
4	rarrq	7
5	RoofTyler	6
5	SingedBread	6
7	beeperbeeper5	5
8	Mahoose	4
8	Blaiku	4
10	pintsizedrogue	3
10	Apollo_993	3
10	TheSecondLord	3
10	Fullut	3
10	lorpus	3
10	binman420	3
10	fluddd	3
10	ConnorDanky_	3
18	eitanzaki	2
18	Huwulling	2
18	Inbefour	2
18	lillips	2
18	Blu3beast	2
18	33sudo	2
18	Kubeusz2010	2
18	Enderxz3	2
26	Jovaphobic	1
26	Groovy_MoonBird	1
26	k_ce	1
26	DinoDoctor_	1
26	ShedJr_	1
26	joethahobo	1
26	MrExplorer	1
26	TheDiamondCG	1
26	Onennon	1
26	fw3xywashere	1
26	claivin	1
26	Dusk_95	1
26	zKaneki	1
26	Kowcio_	1
26	Goldiethebear03	1
26	SSytex_X	1
26	ZoomieZoomie	1
26	PlasticOtari	1
