rank	username	minecraft:mined/minecraft:chiseled_bookshelf
1	oscminus	117
2	Lez_	65
3	TheWickedBird	55
4	QuiCreans	51
5	bl1ss0	31
6	pixelviolin	29
7	Merv__	22
8	pintsizedrogue	17
9	MrShojo	15
10	Reneedium	13
11	k_ce	12
11	KamFurnace	12
13	Enderxz3	11
14	Kowcio_	9
15	Zee_zey	8
15	MattieHD	8
17	Steelynan	7
18	Gzrdy	6
18	Pumpkin_P_Patch	6
20	Manaateee	5
21	Secret_Canary	4
22	Napoleonpancake	3
22	ECstardust	3
22	crashomon	3
22	FormulaNewt3627	3
26	beeperbeeper5	2
26	gabukun_	2
26	Moofyman	2
26	pretty_pink_reno	2
26	StarCookiees_	2
26	Jimb0nat0r	2
26	skitzxo	2
33	Tersea_	1
33	noam464	1
33	WET_WET_WET	1
33	Hyp3rion_	1
33	Mattesco	1
33	Soplight	1
