rank	username	minecraft:mined/minecraft:cave_vines
1	Enderslayerxz3	238
2	pintsizedrogue	185
3	500am	145
4	Steelynan	135
5	Ryker	123
6	Inchef	92
7	Rebytre	82
8	mobunni	78
9	chrolus	70
10	AlexxO_o	67
11	Lez_	62
12	wwwwinnebagoooo	58
12	Smoke____	58
14	Jiminie	52
15	tsitrawhy	48
15	PlasticOtari	48
17	00000000-0000-0000-0009-01f898304150	41
18	RoskobiOne	37
19	Tommhh	35
19	Valoth	35
21	thewindmillman	33
22	Hermanni__	28
23	PigDab	24
23	SvenskaHugo	24
23	EtherealEspresso	24
23	TheALV	24
27	diamondgolem35	23
27	MinttyFressh	23
27	Fuad_R	23
30	Gamergirl420628	21
30	Ezekson	21
30	00000000-0000-0000-0009-01ff0c3e5e4f	21
33	Legendosh	20
34	xxPipperDipperxx	19
34	regulator75	19
36	MyNameIsDakar	18
37	_stets	17
37	eitanzaki	17
37	_Dean_123	17
37	microcrisp	17
41	EMC_	16
41	Sleepy_Time_	16
41	beeperbeeper5	16
44	BINKENSTOCK	15
45	SquadMonster	14
45	AuroraSkies	14
45	Segotep999	14
48	2blox	13
48	WYFYoyo	13
50	Marbz_	12
51	rachcl	11
51	ApophisNova	11
51	MyNamaSheff	11
51	00000000-0000-0000-0009-01fbab7ea71d	11
55	_Razar	10
55	Mahoose	10
55	Rocco_Lane	10
58	DinoDoctor_	9
58	TheSecondLord	9
58	Smashic	9
58	TheDankPlatypus	9
58	Kakolbus	9
58	Human_Resource	9
58	Spenduh	9
58	SammiWolfGirl	9
66	TerraVl	8
66	dartwaffle	8
66	Deathkob	8
69	Touched_Bread	7
69	groofles	7
69	iHuntWeeaboos	7
69	pixelviolin	7
73	Alteriity	6
73	dimitri0s	6
73	12Magner05	6
73	cwartzo	6
73	lizardfightclub	6
78	Lumien_	5
78	Jeteight	5
78	kyouma777	5
78	MilleGrug	5
78	RadarHz	5
78	coobert42	5
84	CoffeeNoir	4
84	Prismyst	4
84	corvidpartyfor6	4
84	fade_emerge78823	4
84	SuperPooch06	4
84	KeruNatsema	4
84	ToastedGamingYT	4
84	Dan_Scha	4
84	Nycteus_	4
84	ItsDeltaMC	4
84	Soplight	4
95	ShedJr_	3
95	Blackberry1310	3
95	Hyp3rion_	3
95	Skylord_Luke	3
95	LeGold	3
95	GigaSl	3
95	MAns_44	3
95	SingedBread	3
95	Kekoo	3
95	SpacesickPrism	3
95	Quotary	3
95	the_cocos	3
107	joethahobo	2
107	NieToksikpl	2
107	IcyUzi	2
107	_Pins_	2
107	LeauVox4921	2
107	MEMES4_LIFE	2
107	XxCookiequeenxX	2
107	DarkS0L	2
107	NameGenerat0r	2
107	fluddd	2
107	Toriankel	2
107	lordpipe	2
107	Sheldor097	2
107	athereall	2
107	Kittaze	2
107	_Dri_	2
123	IronArshXS	1
123	RatatJuice	1
123	RebelAndroid	1
123	Huwulling	1
123	rarrq	1
123	Khelvoryk	1
123	Auseawesome	1
123	Chickenchaser2	1
123	kekhon	1
123	_HoneySlime_	1
123	SteveCraftBlocks	1
123	Enigma0251	1
123	orxngejuice	1
123	RustyBr0	1
123	Moofyman	1
123	Ghemmah	1
123	fw3xywashere	1
123	EveryonesUncle	1
123	shrimp_flips	1
123	Racengan	1
123	Spacewardharpy7	1
123	sp00ky_ghost977	1
123	Kowcio_	1
123	YungMaki	1
123	MineMaster0012	1
123	GlitchyPlate810	1
123	obzii	1
123	EcksD	1
123	kinas45y5	1
