rank	username	minecraft:mined/minecraft:crimson_trapdoor
1	ShedJr_	267
2	FreakGenius	203
3	12Magner05	150
4	Di_infiri	141
5	Winklepicker279	109
6	beeperbeeper5	102
7	thewindmillman	89
8	Marbz_	87
9	PlasticOtari	85
10	Legendosh	74
11	Mahoose	61
12	AdmiralSmoke	60
13	Enderxz3	57
14	noam464	49
14	PigDab	49
16	Luigipunch989	44
17	kekhon	38
17	xxPipperDipperxx	38
19	rarrq	35
20	livingdaydreams	30
20	Rebytre	30
22	shadowthemonkey	28
23	Spacewardharpy7	27
24	Dakar_	25
25	RebelAndroid	23
26	lorpus	19
26	Steelynan	19
28	EveryonesUncle	16
28	Kowcio_	16
30	Awyrlas	15
30	Optiprimus	15
32	Lez_	14
33	luseis	13
34	Arceus1975	12
35	chipklip	11
35	lillips	11
37	soundad	10
38	pintsizedrogue	9
38	Chromary	9
38	fluddd	9
38	mihimihimihi	9
38	Ze_BaronKrigler	9
38	YungMaki	9
44	hm947	8
44	mobunni	8
46	SteveCraftBlocks	7
46	NomadicRobin_	7
46	Jimb0nat0r	7
49	Fullut	6
49	Lord_Jord	6
51	eitanzaki	5
51	Snowflowe	5
51	_Mythic____	5
51	brofrickcheaters	5
55	k_ce	4
55	_Virify_	4
55	500am	4
55	Hyp3rion_	4
55	zToasty69z	4
55	Manaateee	4
55	SvenskaHugo	4
62	diamondgolem35	3
62	Jackattack53	3
62	Elastiq	3
65	Frozil20	2
65	KarlKaek	2
65	Hpdinosaur	2
65	joethahobo	2
65	JitteryJared2	2
65	weabis	2
65	Blaiku	2
65	ConnorDanky_	2
73	Mr_Byzantine	1
73	TheSecondLord	1
73	r123moore	1
73	djancak	1
73	SpacesickPrism	1
73	MissCeleste7	1
73	anbbang	1
73	BiggieDawg	1
73	xolstoi	1
