rank	username	minecraft:mined/minecraft:blue_concrete_powder
1	RoboTramp7865	497
2	mwrty	171
3	PlasticOtari	73
4	KingMatthew506	41
5	EMC_	38
6	HyperCave	30
7	Xclax101	26
8	Merv__	22
9	beeperbeeper5	21
10	xxPipperDipperxx	20
10	Steelynan	20
12	HellsSponge	13
13	MattieHD	12
14	sp00ky_ghost977	11
15	ImpavidArcher	10
16	Iamthejo	9
17	Tobinator_007	5
17	King_Pancake1	5
17	Kowcio_	5
17	starbits140	5
17	ConnorDanky_	5
22	Snowflowe	4
23	Lez_	3
23	_Dean_123	3
23	Mattesco	3
23	lordpipe	3
27	Groovy_MoonBird	2
27	PazinGaming	2
27	TheSecondLord	2
27	Inchef	2
27	ROY4LE	2
27	XboxPanda	2
27	Jackattack53	2
27	Hoid_the_Roamer	2
27	Truckoss	2
27	ElKaySVK	2
27	YungMaki	2
38	TheBiggestFeller	1
38	Mahoose	1
38	titanlax	1
38	jacxhadow	1
38	kekhon	1
38	noam464	1
38	Orcus113	1
38	Deathkob	1
38	RoofTyler	1
38	Spacewardharpy7	1
38	__tomato	1
38	Kubeusz2010	1
38	Legendosh	1
38	Jimb0nat0r	1
