rank	username	minecraft:mined/minecraft:brain_coral_wall_fan
1	Kouridragon	772
2	Legendosh	504
3	Enderxz3	289
4	ImpavidArcher	271
5	doublemaki	184
6	pintsizedrogue	183
7	TheShyPig	177
8	Hyp3rion_	158
9	500am	123
10	Nicserso	103
11	Lez_	98
12	EcksD	88
13	ApophisNova	76
13	MyNamaSheff	76
15	Alteriity	74
15	noam464	74
17	12Magner05	70
17	Onennon	70
19	_Dean_123	68
19	luseis	68
21	Mahoose	66
21	Jackattack53	66
23	AuroraValkyrie	65
23	MattieHD	65
25	j5ylim	59
26	RoskobiOne	55
26	skroobiez	55
26	Fullut	55
26	lordpipe	55
30	Mewar	53
31	Merv__	52
32	livingdaydreams	49
32	XxCookiequeenxX	49
34	craaaash	48
35	Di_infiri	46
36	PazinGaming	45
37	Xalithia	43
37	HellsSponge	43
39	Kura2218	41
40	__tomato	39
41	milltesco	38
42	mihimihimihi	34
43	thewindmillman	32
44	Kakolbus	31
45	Marbz_	30
45	Vetral1	30
47	Quaintster	26
47	Blu3beast	26
49	eiC_	24
49	djancak	24
51	Maenara	23
51	KingMatthew506	23
53	Jovaphobic	22
54	kekhon	21
54	_3Stump_	21
56	SaucyDark	20
56	Vanni9	20
56	cytotoxaint	20
56	TheWickedBird	20
60	Yamdalorian	19
61	Inbefour	18
62	Archsam	17
63	Rumpletaezer	16
63	PigDab	16
63	h2p_emrld	16
66	Ssor69	15
66	Arceus1975	15
66	Mattesco	15
69	ShedJr_	14
69	Blackberry1310	14
69	EdGalbraith	14
69	Manaateee	14
69	IdeallyGrey	14
74	Iagoku	13
74	joethahobo	13
74	urbeans	13
77	Krowuss	12
77	Spacewardharpy7	12
79	Bandito_Roamer	11
79	MyMawgDonaldsGon	11
79	surfinggiraffejp	11
79	Luigipunch989	11
83	_witch_craft_	10
83	Noah_Bez	10
83	TheDankPlatypus	10
83	Typadopoulos	10
83	iSammael	10
83	PlasticOtari	10
83	diggydog67	10
90	beeperbeeper5	9
90	titanlax	9
90	aec9	9
90	Deathkob	9
90	ZoharGoldMine	9
95	eitanzaki	8
95	Historical_Sand	8
95	r123moore	8
95	HolyVenom	8
95	TheSeismicDuck	8
95	Pumpkin_P_Patch	8
95	SpacesickPrism	8
95	ZeroKraken	8
95	Jimb0nat0r	8
104	TheSecondLord	7
104	_Nat666	7
104	Inchef	7
104	Hiryu27	7
104	EveryonesUncle	7
104	Karbl	7
104	El_Jalapeno	7
104	censorsheep	7
104	Xclax101	7
104	Druid95	7
104	pixelviolin	7
104	Kowcio_	7
104	Steelynan	7
104	Biites	7
104	TwinTowerV2	7
104	Spaghettatron	7
120	dimondking777	6
120	diamondgolem35	6
120	T045RTY	6
120	CollinMH06	6
120	hanaryheatwave	6
120	Kynigito	6
120	AlexxO_o	6
120	Blaiku	6
120	Fizznut909	6
120	PortlyPete69	6
120	Powowowow	6
120	TechnoNinja64	6
132	legal_tax_evader	5
132	Voxin2K	5
132	groofles	5
132	balin55	5
132	1442	5
132	NameGenerat0r	5
132	FreakGenius	5
132	miramyu	5
132	_i_ERROR_i_	5
132	OfficerAnvil	5
132	HesDemonPants	5
143	H0UNDFRMH3LL	4
143	Groovy_MoonBird	4
143	Apollo_993	4
143	Prismyst	4
143	ratglock	4
143	lpinfinity	4
143	gamerlord1324	4
143	Azmodan_246	4
143	Eerini	4
143	Akoot_	4
143	Nicky19	4
143	WyngGoy	4
143	stellarjay	4
143	MilleGrug	4
143	erkada	4
143	FishisTTV	4
159	hm947	3
159	emrekn	3
159	MyNameIsJobo	3
159	SuperPooch06	3
159	Bumpy419	3
159	Jiminbub	3
159	fkGrim	3
159	SkateboardR6	3
159	Factoroni	3
159	fffMike	3
159	Sral7	3
170	robertsnose	2
170	LovelyDane	2
170	RatatJuice	2
170	xPixelRainx	2
170	Cryptacity	2
170	catandmoose	2
170	i2f8x4h8ro	2
170	excelsionprime	2
170	UncreativeArtist	2
170	RobotMinion101	2
170	KeruNatsema	2
170	Jimi7hits	2
170	GooseWithin	2
170	xDraggin	2
170	KlausVonStiglitz	2
170	DarlaMeow	2
170	_Karmaa	2
170	Lekol	2
170	Gus2005	2
170	_flud	2
170	MakeHistory157	2
170	SexcMf	2
170	BlankityMcBlank	2
170	Western_1	2
170	ConnorDanky_	2
195	dudcreeper	1
195	hollowww	1
195	Foof13	1
195	q_wq	1
195	Frozil20	1
195	6king6colt6	1
195	DinoDoctor_	1
195	tuckerdoodle	1
195	CoffeeNoir	1
195	Huwulling	1
195	gaziter10	1
195	IWorkAtIkea	1
195	Euclidoris	1
195	Ozixar	1
195	bloodbiter	1
195	Secret_Canary	1
195	poopybh	1
195	crying_wolf_13	1
195	Covalents	1
195	NotoriousNina	1
195	Chromary	1
195	Studyhallsaver	1
195	Silvo614	1
195	domagawha	1
195	SvenskaSara	1
195	Donutt	1
195	Rebytre	1
195	oscminus	1
195	Werbe	1
195	Dragonlfw	1
195	J4k__	1
195	HoldThatPee	1
195	fw3xy	1
195	jambvds	1
195	YungWali	1
195	Fuad_R	1
195	AstreaTSS	1
195	claivin	1
195	cutelilreno	1
195	MightyWertu	1
195	Barlycorn	1
195	timbermonke	1
195	lolpoottoot	1
195	sp00ky_ghost977	1
195	_Mythic____	1
195	bloomkieren	1
195	Spenduh	1
195	xzvu	1
195	CalebDHawk	1
195	jcool7	1
195	EngagedGrub41	1
195	Skippeh	1
195	HelloIamSora	1
