rank	username	minecraft:mined/minecraft:light_blue_carpet
1	HellsSponge	495
2	joethahobo	179
3	noam464	144
4	Swexti	95
5	Ezekson	93
6	YungMaki	89
7	kekhon	80
8	Hermanni__	58
9	pintsizedrogue	56
10	RebelAndroid	51
11	Smoke____	42
12	TheShyPig	41
13	beeperbeeper5	40
14	Njensen7	39
15	Akoot_	37
15	ayamefag	37
17	MinttyFressh	35
18	Mahoose	34
19	12Magner05	32
20	Blackberry1310	31
21	Rumpletaezer	30
22	Blaiku	28
23	lcvezra	26
24	Lez_	23
25	RoskobiOne	22
25	2blox	22
27	Frozil20	20
28	eitanzaki	18
28	xxPipperDipperxx	18
30	Eraxa	16
31	Merv__	15
31	Spacewardharpy7	15
31	PlasticOtari	15
34	Fullut	14
34	r123moore	14
34	pappaberg	14
34	Inbefour	14
38	TheSecondLord	11
38	500am	11
38	mwrty	11
38	oxfordschool	11
42	Segotep999	10
43	LoboTheLobster	9
43	slkiey	9
43	stahouo	9
46	InfernalMound	8
46	fluddd	8
46	EcksD	8
49	ShedJr_	7
49	Di_infiri	7
49	LilLizardWizard	7
49	Negriuke	7
53	LeauVox4921	6
53	NomadicRobin_	6
55	Reamdin	5
55	Myszoaz	5
55	nocturne78	5
55	_Dean_123	5
55	PeteO1995	5
55	Kowcio_	5
55	LeeMcGee30	5
62	heckface	4
62	0nly_sn1per	4
62	SSytex_X	4
62	SpacesickPrism	4
62	TechnoNinja64	4
62	00000000-0000-0000-0009-01f6557d802a	4
68	T045RTY	3
68	WarHammer3	3
68	Voxin2K	3
68	lordpipe	3
68	erkada	3
73	numbra	2
73	Huwulling	2
73	titanlax	2
73	pr33tu	2
73	SoftSix	2
73	thewindmillman	2
73	burbankbuilder28	2
73	FishyBoy3811	2
73	Lord_Jord	2
73	Jiminie	2
73	monky_irl	2
73	SvenskaHugo	2
73	Legendosh	2
86	Groovy_MoonBird	1
86	Drlzyy	1
86	ImpavidArcher	1
86	SaucyDark	1
86	hm947	1
86	hzs91	1
86	Historical_Sand	1
86	I_Moose	1
86	Awyrlas	1
86	Jackattack53	1
86	Hiryu27	1
86	Werbe	1
86	PigDab	1
86	HolyVenom	1
86	audiocracked	1
86	DarlaMeow	1
86	Racengan	1
86	KG1999	1
86	_Yonk_	1
86	CalebDHawk	1
86	Kubeusz2010	1
86	Dr0xzy	1
86	MelodyGaysharks	1
