rank	username	minecraft:mined/minecraft:spruce_planks
1	EveryonesUncle	10415
2	rarrq	8274
3	Ezekson	7401
4	pintsizedrogue	5181
5	Di_infiri	5112
6	Legendosh	4480
7	Blackberry1310	3876
8	El_Jalapeno	3590
9	m_be9	3553
10	500am	3416
11	EcksDofficial	3357
12	Onennon	3282
13	HellsSponge	3204
14	burbankbuilder28	3161
15	Deathkob	3082
16	kekhon	2933
17	Barlycorn	2824
18	_Dean_123	2817
19	Rumpletaezer	2790
20	Mahoose	2721
21	lcvezra	2666
22	Xclax101	2606
23	diamondgolem35	2566
24	TheShyPig	2526
25	q_wq	2263
26	Skylord_Luke	1896
27	TheSecondLord	1872
28	ImpavidArcher	1828
29	beeperbeeper5	1737
30	_Karmaa	1735
31	Winklepicker279	1721
32	Dusk_95	1691
33	Inchef	1652
33	Eraxa	1652
35	lordpipe	1649
36	Spenduh	1612
37	6king6colt6	1581
38	Frozil12	1546
39	fffMike	1402
40	thescout7	1358
41	Smoke____	1357
42	Sky_light_KING	1286
43	PigDab	1280
44	SkateboardR6	1279
45	Bumpy419	1230
46	Chromary	1207
47	Ze_BaronKrigler	1183
48	Spacewardharpy7	1132
49	EMC_	1096
50	Freak_Genius	1075
51	Arceus1975	1068
52	MattieHD	1035
53	RodSerlingCringe	1033
54	jnp_gaming	1032
55	MyNameIsJobo	1017
56	Natty	1014
57	PlasticOtari	991
58	fkGrim	988
59	ApophisNova	984
59	MyNamaSheff	984
61	Snowflowe	972
62	_NieToksikpl_	949
63	xxPipperDipperxx	948
64	hm947	935
65	claivin	900
66	KarlKaek	887
67	Zythose	856
68	gaziter10	853
69	Kakolbus	848
70	sebastiensaborio	836
71	TooManyDuck	814
72	joethahobo	781
73	pixelviolin	770
74	Merv__	759
75	The_Quack_Dealer	715
76	Kowcio_	696
77	Skippeh	691
78	Jovaphobic	671
79	CSG_Haru	664
80	Werbe	660
80	AssEatrAndLicker	660
82	Ardennes	645
83	Meatlaugh	640
84	Z3braYTIL	625
85	Racengan	624
86	NotKaden_	619
87	JESS_THE_RERE	611
88	SUN_DREAM	607
89	fallingemma	596
90	Swexti	577
91	alderban107	556
92	Soplight	554
93	Cortexia	549
94	xorompole	543
95	Quotary	537
96	Lord_Zacler	529
97	2blox	526
98	monolu	520
99	Inbefour	518
100	SammiWolfGirl	516
101	cowgirlkasia	511
102	DC_XII	510
103	SuperPooch06	505
104	eitanzaki	497
105	Akoot_	496
106	Xalithia	491
106	sp00ky_ghost977	491
108	the_russell1611	490
109	oxfordschool	475
110	Drlzyy	459
111	Klerick	458
112	Groovy_MoonBird	449
112	set67	449
114	Comma__	445
115	CruncyIsTaken	441
116	TechnoNinja64	439
117	egglapras	436
118	Cowison	433
119	awesomeoneme	430
120	Arteriana	418
121	John6970	412
121	krutas2000	412
123	rotten_mango	406
124	seramalen	405
125	ROY4LE	400
126	noam464	394
127	H72l9w	392
128	Groundler	384
129	Nycteus_	383
130	Fullut	381
131	Enderslayerxz3	378
132	Kymarmalade	370
133	Jackster03	368
133	Steven1282598	368
135	BlankityMcBlank	359
136	PortlyPete69	358
137	Blu3beast	357
138	07shiny	356
139	MeetTheWollo	353
140	_k2x	351
141	diggydog67	349
142	YungMaki	347
143	Bobby808	328
144	EcksD	326
145	Cocoamallows	322
146	_Razar	321
146	Enigma0251	321
148	epiksk8erduck	320
149	whoaluv	319
150	Jackattack53	317
151	Jiminbub	314
152	RobotMinion101	313
152	sammidk	313
154	__Fanda__	304
155	CoffeeNoir	303
156	Incinere	298
157	Laykon	296
158	Alphanzt99	293
159	fluddd	289
159	laron58	289
161	DarlaMeow	281
162	Kkanot	279
162	EfficientC52	279
164	YungJakobo	276
165	elleparo	271
166	nut_e	268
167	BlueZabu	267
168	teslawolf38	265
169	Quincannon	264
170	Historical_Sand	263
171	T045RTY	261
171	fred870d	261
171	Wolverine4302	261
174	Luigipunch989	260
175	Bloo2406	259
176	IWorkAtIkea	258
177	SpicyMeatballs	257
178	MovingFish7	252
179	roxycherry	249
179	IAmTheWalrus910	249
181	XxCookiequeenxX	247
182	2Stout	243
183	wezzzi	242
184	HavickMC	241
185	ewsophie	240
186	dopplexd	239
187	livingdaydreams	238
187	blackmage426	238
189	obzii	237
190	ChocolatePepsi	232
191	DermeinUser	231
191	_Boipl_	231
193	littlesophiagirl	227
194	chipklip	226
195	_Bguette_	224
196	squigglybones	221
196	Gingayy	221
198	Nicserso	220
199	ConcretePirate	215
200	Warlord324	214
201	strongman951753	213
201	Bazongoman	213
203	drumine	209
203	a_smol_bean	209
203	561cool	209
206	TakeThis2UrGrave	208
207	jacxhadow	206
208	SquadMonster	205
209	MightyWertu	200
210	Matyyy15	199
211	ratglock	198
211	cytotoxaint	198
211	YoshikageBites	198
214	Renchi19	197
215	ProbablyNick	196
216	Tolhart	193
217	Froste131	191
217	titanlax	191
217	JohnPrice	191
220	QueenOfDirt	190
221	JoCoLi	183
221	Soffbord	183
223	Kamflame10	179
223	kinas45y5	179
225	soundad	178
225	Hermanni__	178
225	Smaldo	178
228	rats_life	176
228	AlazelTheReal	176
228	CalebDHawk	176
231	LexMakesHistory	174
232	_Cloverbelle_	173
233	Lord_Jord	172
234	Powowowow	168
235	heysushii	166
236	seanitoo	163
237	bigstankyy	161
237	AltnumberF4	161
239	CrookedKaptain	160
240	SaucyDark	157
240	pappaberg	157
242	Covalents	154
243	DanTheBuilderino	152
243	__tomato	152
245	IceYoung	151
246	layabout100	150
247	RedcatVII	149
247	trexgb	149
249	TheBiggestFeller	146
250	Xovalt_	145
251	NebulousBadger	144
251	WYFYoyo	144
253	potato292	143
254	Jokerman369	140
255	numbra	139
256	ooga47	138
256	MyNameIsDakar	138
258	ShedJr_	137
258	gcaisawesome	137
260	TheSeismicDuck	136
261	Guillemet	135
261	Rasmanden	135
263	The_slideV3	130
264	ProfessorBee	129
264	Maenara	129
266	Healthing	125
267	halfbakedlasagna	123
268	Nach0Bear	122
268	The_Fulgurator	122
270	PhantomBionic	121
271	TheOuterCore	120
272	Pootis11	119
273	yatsuta	118
273	Kubeusz2010	118
275	picardred	116
276	Donutt	115
277	LordSpeed37	114
