rank	username	minecraft:mined/minecraft:jungle_sapling
1	Blackberry1310	131
2	Hyp3rion_	120
3	AdmiralSmoke	62
4	titanlax	61
4	HellsSponge	61
6	PigDab	59
7	Bandito_Roamer	51
8	Marbz_	49
9	Snowflowe	38
10	cedric72	33
11	PeteO1995	29
12	El_Jalapeno	26
13	KingMatthew506	24
14	Comma__	23
15	Prodiginus	22
16	Onennon	21
17	Mr_Byzantine	20
18	beeperbeeper5	19
18	eviltunix	19
18	Xalithia	19
18	TheShyPig	19
22	EveryonesUncle	16
22	Manaateee	16
24	Kamflame10	15
24	FreakGenius	15
26	Steelynan	14
27	ROY4LE	12
28	ImpavidArcher	11
28	Historical_Sand	11
30	Groundler	10
30	TechnoNinja64	10
32	SaucyDark	9
32	yheece	9
32	BronkerBrum	9
32	Lord_Jord	9
32	SpacesickPrism	9
37	Apollo_993	8
37	Merv__	8
37	Di_infiri	8
40	Swexti	7
40	Windo_licker	7
40	luseis	7
40	DemTechAlpha	7
40	Soplight	7
45	kekhon	6
45	eiC_	6
45	MyNameIsJobo	6
48	Groovy_MoonBird	5
48	eitanzaki	5
48	Lez_	5
48	DadWorksForSega	5
48	Drawgirl	5
48	jnp_gaming	5
48	PlasticOtari	5
55	Frozil20	4
55	tuckerdoodle	4
55	nocturne78	4
55	Dblikstad	4
55	ZigzagLily43042	4
55	12Magner05	4
55	PegLegPete93	4
55	Stiar	4
55	Winklepicker279	4
55	legal_tax_evader	4
55	WhyTho_1	4
55	LeeMcGee30	4
67	Cryptacity	3
67	TheSecondLord	3
67	PaperCanvas	3
67	Deerfoot	3
67	calamariclam_I	3
72	jessewegottacook	2
72	IWorkAtIkea	2
72	Fullut	2
72	excelsionprime	2
72	Kubelz	2
72	CollinMH06	2
72	Hoid_the_Roamer	2
72	KeruNatsema	2
72	StinkyDiplomat	2
72	Blaiku	2
72	Airem_Core	2
72	07shiny	2
72	MilleGrug	2
72	Nicserso	2
86	Thaumatarge	1
86	KingFaenor	1
86	jessemgaming	1
86	T045RTY	1
86	Ssor69	1
86	Notta	1
86	Smashic	1
86	himak1	1
86	noam464	1
86	thewindmillman	1
86	Bumpy419	1
86	Skylord_Luke	1
86	ooga47	1
86	Moofyman	1
86	natajimi	1
86	Fuad_R	1
86	Blu3beast	1
86	Xclax101	1
86	Vicemaniac	1
86	sp00ky_ghost977	1
86	Optiprimus	1
86	MustardSquid	1
86	SvenskaHugo	1
86	MineMaster0012	1
86	EngagedGrub41	1
86	ConnorDanky_	1
86	HesDemonPants	1
86	h2p_emrld	1
